"State","DivisionId","DivisionAb","DivisionName","TCPCandidate","PreferenceVotes","CandidateId","CandidateSurname","PartyAb"
"ACT",318,"BEAN","Bean",1,53455,32253,"SMITH","ALP"
"ACT",318,"BEAN","Bean",2,39484,33397,"COCKS","LP"
"ACT",101,"CANB","Canberra",1,57961,32233,"PAYNE","ALP"
"ACT",101,"CANB","Canberra",2,28442,32881,"ZAKI","LP"
"ACT",102,"FENN","Fenner",1,52462,32258,"LEIGH","ALP"
"ACT",102,"FENN","Fenner",2,34171,32861,"CASTLEY","LP"
"NSW",103,"BANK","Banks",1,40121,32664,"GAMBIAN","ALP"
"NSW",103,"BANK","Banks",2,51609,33334,"COLEMAN","LP"
"NSW",104,"BART","Barton",1,53418,32681,"BURNEY","ALP"
"NSW",104,"BART","Barton",2,36489,33269,"SHRESTHA","LP"
"NSW",105,"BENN","Bennelong",1,54809,33140,"ALEXANDER","LP"
"NSW",105,"BENN","Bennelong",2,41496,32637,"OWLER","ALP"
"NSW",106,"BERO","Berowra",1,61675,33171,"LEESER","LP"
"NSW",106,"BERO","Berowra",2,32272,32652,"GOMPERTZ","ALP"
"NSW",107,"BLAX","Blaxland",1,52299,32645,"CLARE","ALP"
"NSW",107,"BLAX","Blaxland",2,28509,33320,"GUNEY","LP"
"NSW",108,"BRFD","Bradfield",1,63997,33227,"FLETCHER","LP"
"NSW",108,"BRFD","Bradfield",2,32146,32658,"HAVILAND","ALP"
"NSW",109,"CALA","Calare",1,38282,32711,"JENNINGS","ALP"
"NSW",109,"CALA","Calare",2,66006,32494,"GEE","NP"
"NSW",111,"CHIF","Chifley",1,56761,32680,"HUSIC","ALP"
"NSW",111,"CHIF","Chifley",2,34245,33181,"CHETTIPALLY","LP"
"NSW",112,"COOK","Cook",1,64894,33135,"MORRISON","LP"
"NSW",112,"COOK","Cook",2,29129,32745,"O'BRIEN","ALP"
"NSW",113,"COWP","Cowper",1,65302,32446,"CONAGHAN","NP"
"NSW",113,"COWP","Cowper",2,40226,32606,"WOODWARD","ALP"
"NSW",114,"CUNN","Cunningham",1,63836,32636,"BIRD","ALP"
"NSW",114,"CUNN","Cunningham",2,36841,33210,"ATLEE","LP"
"NSW",115,"DOBE","Dobell",1,52244,32669,"McBRIDE","ALP"
"NSW",115,"DOBE","Dobell",2,49209,33134,"PILON","LP"
"NSW",117,"EMON","Eden-Monaro",1,50472,32831,"KELLY","ALP"
"NSW",117,"EMON","Eden-Monaro",2,48787,33136,"KOTVOJS","LP"
"NSW",118,"FARR","Farrer",1,67908,33253,"LEY","LP"
"NSW",118,"FARR","Farrer",2,29341,32914,"DRABSCH","ALP"
"NSW",119,"FOWL","Fowler",1,53540,32853,"HAYES","ALP"
