election_date,alp_tpp_pct,coalition_tpp_pct,winner,year
1949-12-10,49.0,51.0,Coalition,1949
1951-04-28,49.3,50.7,Coalition,1951
1954-05-29,50.7,49.3,Coalition,1954
1955-12-10,45.8,54.2,Coalition,1955
1958-11-22,45.9,54.1,Coalition,1958
1961-12-09,50.5,49.5,Coalition,1961
1963-11-30,47.4,52.6,Coalition,1963
1966-11-26,43.1,56.9,Coalition,1966
1969-10-25,50.2,49.8,Coalition,1969
1972-12-02,52.7,47.3,ALP,1972
1974-05-18,51.7,48.3,ALP,1974
1975-12-13,44.3,55.7,Coalition,1975
1977-12-10,45.4,54.6,Coalition,1977
1980-10-18,49.6,50.4,Coalition,1980
1983-03-05,53.23,46.77,ALP,1983
1984-12-01,51.77,48.23,ALP,1984
1987-07-11,50.83,49.17,ALP,1987
1990-03-24,49.9,50.1,ALP,1990
1993-03-13,51.44,48.56,ALP,1993
1996-03-02,46.37,53.63,Coalition,1996
1998-10-03,50.98,49.02,Coalition,1998
2001-11-10,49.05,50.95,Coalition,2001
2004-10-09,47.26,52.74,Coalition,2004
2007-11-24,52.7,47.3,ALP,2007
2010-08-21,50.12,49.88,ALP,2010
2013-09-07,46.51,53.49,Coalition,2013
2016-07-02,49.64,50.36,Coalition,2016
2019-05-18,48.47,51.53,Coalition,2019
2022-05-21,52.13,47.87,ALP,2022
