country,election_year,date_raw,pollster,sample_size,party,pct,source_table,actual_pct,error
australia,2010,17–19 Aug 2010,,,ALP (2PP),50.2,australia_2010_table0.csv,50.12,0.0800000000000054
australia,2010,13–15 Aug 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,6–8 Aug 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,30 Jul – 1 Aug 2010,,,ALP (2PP),50.0,australia_2010_table0.csv,50.12,-0.11999999999999744
australia,2010,23–25 Jul 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,16–18 Jul 2010,,,ALP (2PP),55.0,australia_2010_table0.csv,50.12,4.880000000000003
australia,2010,25–27 Jun 2010,,,ALP (2PP),53.0,australia_2010_table0.csv,50.12,2.8800000000000026
australia,2010,18–20 Jun 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,28–30 May 2010,,,ALP (2PP),51.0,australia_2010_table0.csv,50.12,0.8800000000000026
australia,2010,14–16 May 2010,,,ALP (2PP),50.0,australia_2010_table0.csv,50.12,-0.11999999999999744
australia,2010,30 Apr-2 May 2010,,,ALP (2PP),49.0,australia_2010_table0.csv,50.12,-1.1199999999999974
australia,2010,16–18 Apr 2010,,,ALP (2PP),54.0,australia_2010_table0.csv,50.12,3.8800000000000026
australia,2010,26–28 Mar 2010,,,ALP (2PP),56.0,australia_2010_table0.csv,50.12,5.880000000000003
australia,2010,12–14 Mar 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,26–28 Feb 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,12–14 Feb 2010,,,ALP (2PP),53.0,australia_2010_table0.csv,50.12,2.8800000000000026
australia,2010,29–31 Jan 2010,,,ALP (2PP),52.0,australia_2010_table0.csv,50.12,1.8800000000000026
australia,2010,15–17 Jan 2010,,,ALP (2PP),54.0,australia_2010_table0.csv,50.12,3.8800000000000026
australia,2010,4–6 Dec 2009,,,ALP (2PP),56.0,australia_2010_table0.csv,50.12,5.880000000000003
australia,2010,27–29 Nov 2009,,,ALP (2PP),57.0,australia_2010_table0.csv,50.12,6.880000000000003
australia,2010,13–15 Nov 2009,,,ALP (2PP),56.0,australia_2010_table0.csv,50.12,5.880000000000003
