country,election_year,leader_party,final_leader_pct,poll_volatility,actual_margin,n_polls
australia,2010,ALP (2PP),51.24,2.785253061282693,0.23999999999999488,65
australia,2013,L/NP (2PP),53.0,0.9949874371066205,6.980000000000004,11
australia,2016,L/NP (2PP),50.6,2.681807833154392,0.7199999999999989,225
australia,2019,L/NP (2PP),48.6,1.4237716988127471,3.0600000000000023,196
australia,2022,ALP (2PP),51.46,3.625391411818714,4.260000000000005,126
canada,2004,LPC,33.52,2.726653814777561,7.0972587529014675,40
canada,2006,CPC,36.94,4.161309733082312,6.0379725965011275,202
canada,2008,CPC,36.32,2.658434841828876,11.39114146338078,300
canada,2015,LPC,38.48,3.5329001792553894,7.556526834485897,115
canada,2019,CPC,32.260000000000005,1.8886395349724592,1.3399019712621367,118
uk,1997,LAB,45.84,3.2367313173822,12.552088320875693,83
uk,2001,LAB,43.94,3.271535286940416,8.978281993324867,58
uk,2005,LAB,37.24,1.9854901290692883,2.8230160506343225,96
uk,2010,CON,36.38,2.507501314948477,7.0640156746903635,173
uk,2015,CON,35.160000000000004,1.7926422409145197,6.359913380639004,232
uk,2017,CON,42.6,2.8892206021666977,2.356110001110409,129
uk,2019,CON,43.66,7.186326108314945,11.54929185912087,256
us,2000,DEM,43.1830368,2.565099179552032,0.30932680669865675,251
us,2004,REP,48.5291886,1.4236591616563439,2.427148878251849,251
us,2008,DEM,50.6827604,1.483016071244966,7.229864489451991,251
us,2012,DEM,47.8712722,0.8626438715957552,3.799233667533386,251
us,2016,DEM,45.799278,2.100946976461844,2.015067979377534,251
