country,election_year,party,poll_date,pct,rolling_avg,momentum_1st_diff,momentum_2nd_diff
australia,2010,ALP (2PP),2007-11-22,52.0,52.0,,
australia,2010,ALP (2PP),2008-01-20,58.0,55.0,6.0,
australia,2010,ALP (2PP),2008-02-17,57.0,55.666666666666664,-1.0,-7.0
australia,2010,ALP (2PP),2008-03-02,63.0,57.5,6.0,7.0
australia,2010,ALP (2PP),2008-03-16,59.0,57.8,-4.0,-10.0
australia,2010,ALP (2PP),2008-04-06,59.0,59.2,0.0,4.0
australia,2010,ALP (2PP),2008-04-20,61.0,59.8,2.0,2.0
australia,2010,ALP (2PP),2008-05-04,57.0,59.8,-4.0,-6.0
australia,2010,ALP (2PP),2008-05-18,57.0,58.6,0.0,4.0
australia,2010,ALP (2PP),2008-06-01,57.0,58.2,0.0,0.0
australia,2010,ALP (2PP),2008-06-15,59.0,58.2,2.0,2.0
australia,2010,ALP (2PP),2008-06-29,55.0,57.0,-4.0,-6.0
australia,2010,ALP (2PP),2008-07-13,55.0,56.6,0.0,4.0
australia,2010,ALP (2PP),2008-07-27,57.0,56.6,2.0,2.0
australia,2010,ALP (2PP),2008-08-10,57.0,56.6,0.0,-2.0
australia,2010,ALP (2PP),2008-08-24,56.0,56.0,-1.0,-1.0
australia,2010,ALP (2PP),2008-09-07,56.0,56.2,0.0,1.0
australia,2010,ALP (2PP),2008-09-21,55.0,56.2,-1.0,-1.0
australia,2010,ALP (2PP),2008-10-12,55.0,55.8,0.0,1.0
australia,2010,ALP (2PP),2008-10-26,54.0,55.2,-1.0,-1.0
australia,2010,ALP (2PP),2008-11-09,55.0,55.0,1.0,2.0
australia,2010,ALP (2PP),2008-11-23,55.0,54.8,0.0,-1.0
australia,2010,ALP (2PP),2008-12-07,59.0,55.6,4.0,4.0
australia,2010,ALP (2PP),2009-01-18,54.0,55.4,-5.0,-9.0
australia,2010,ALP (2PP),2009-02-08,58.0,56.2,4.0,9.0
australia,2010,ALP (2PP),2009-02-22,58.0,56.8,0.0,-4.0
australia,2010,ALP (2PP),2009-03-09,56.0,57.0,-2.0,-2.0
australia,2010,ALP (2PP),2009-03-22,56.0,56.4,0.0,2.0
australia,2010,ALP (2PP),2009-04-05,58.0,57.2,2.0,2.0
australia,2010,ALP (2PP),2009-04-19,58.0,57.2,0.0,-2.0
australia,2010,ALP (2PP),2009-05-03,55.0,56.6,-3.0,-3.0
australia,2010,ALP (2PP),2009-05-17,56.0,56.6,1.0,4.0
australia,2010,ALP (2PP),2009-05-31,55.0,56.4,-1.0,-2.0
australia,2010,ALP (2PP),2009-06-14,53.0,55.4,-2.0,-1.0
australia,2010,ALP (2PP),2009-06-28,56.0,55.0,3.0,5.0
australia,2010,ALP (2PP),2009-07-12,55.0,55.0,-1.0,-4.0
australia,2010,ALP (2PP),2009-07-26,57.0,55.2,2.0,3.0
australia,2010,ALP (2PP),2009-08-09,57.0,55.6,0.0,-2.0
australia,2010,ALP (2PP),2009-08-23,55.0,56.0,-2.0,-2.0
australia,2010,ALP (2PP),2009-09-06,55.0,55.8,0.0,2.0
australia,2010,ALP (2PP),2009-09-20,55.0,55.8,0.0,0.0
australia,2010,ALP (2PP),2009-10-04,58.0,56.0,3.0,3.0
australia,2010,ALP (2PP),2009-10-18,59.0,56.4,1.0,-2.0
australia,2010,ALP (2PP),2009-11-01,52.0,55.8,-7.0,-8.0
australia,2010,ALP (2PP),2009-11-15,56.0,56.0,4.0,11.0
australia,2010,ALP (2PP),2009-11-29,57.0,56.4,1.0,-3.0
australia,2010,ALP (2PP),2009-12-06,56.0,56.0,-1.0,-2.0
australia,2010,ALP (2PP),2010-01-17,54.0,55.0,-2.0,-1.0
australia,2010,ALP (2PP),2010-01-31,52.0,55.0,-2.0,0.0
australia,2010,ALP (2PP),2010-02-14,53.0,54.4,1.0,3.0
australia,2010,ALP (2PP),2010-02-28,52.0,53.4,-1.0,-2.0
australia,2010,ALP (2PP),2010-03-14,52.0,52.6,0.0,1.0
australia,2010,ALP (2PP),2010-03-28,56.0,53.0,4.0,4.0
australia,2010,ALP (2PP),2010-04-18,54.0,53.4,-2.0,-6.0
australia,2010,ALP (2PP),2010-05-02,49.0,52.6,-5.0,-3.0
australia,2010,ALP (2PP),2010-05-16,50.0,52.2,1.0,6.0
australia,2010,ALP (2PP),2010-05-30,51.0,52.0,1.0,0.0
