country,election_year,party,actual_pct,is_winner,baseline_vote_prediction,baseline_error,baseline_abs_error,ridge_vote_prediction,ridge_error,ridge_abs_error,logistic_win_probability
us,2000,DEM,48.20364535317434,1,43.1830368,-5.020608553174334,5.020608553174334,42.65457397305248,-5.549071380121859,5.549071380121859,0.6745730782801912
uk,2010,LIB,23.02728101600924,0,26.72,3.6927189839907584,3.6927189839907584,32.23166098179247,9.204379965783232,9.204379965783232,0.7140779682759372
uk,2001,LAB,40.67507571760156,1,43.94,3.2649242823984395,3.2649242823984395,41.48214237168045,0.8070666540788949,0.8070666540788949,0.7605778251443479
canada,2004,LPC,36.72929932408394,1,33.52,-3.2092993240839363,3.2092993240839363,37.73184040534928,1.002541081265342,1.002541081265342,0.1703573220090607
canada,2004,NDP,15.68337439333352,0,18.4,2.7166256066664793,2.7166256066664793,26.040487393940925,10.357113000607406,10.357113000607406,0.0357448556318667
uk,1997,LAB,43.20796614899999,1,45.84,2.63203385100001,2.63203385100001,42.8336438240745,-0.3743223249254939,0.3743223249254939,0.793497730464623
uk,2015,LAB,30.44959813535456,0,32.84,2.390401864645444,2.390401864645444,31.67373751661384,1.2241393812592811,1.2241393812592811,0.3779497199343365
us,2008,DEM,52.86371641269292,1,50.6827604,-2.180956012692924,2.180956012692924,46.79960809830738,-6.0641083143855425,6.0641083143855425,0.7623057845223541
us,2004,REP,50.68196562112873,1,48.5291886,-2.1527770211287347,2.1527770211287347,45.07711374306157,-5.604851878067166,5.604851878067166,0.7199451599120003
canada,2008,NDP,18.18154218784132,0,20.32,2.1384578121586806,2.1384578121586806,22.94551922917684,4.763977041335519,4.763977041335519,0.2096744857182649
uk,2005,LAB,35.18455629037208,1,37.24,2.055443709627923,2.055443709627923,35.16706629377198,-0.017489996600097868,0.017489996600097868,0.5276448744390418
us,2008,REP,45.63385192324093,0,43.6603474,-1.9735045232409334,1.9735045232409334,41.76453253845045,-3.8693193847904794,3.8693193847904794,0.643827803997149
canada,2006,LPC,30.231267680936675,0,28.48,-1.7512676809366745,1.7512676809366745,29.600223815146435,-0.6310438657902395,0.6310438657902395,0.4771681163770334
canada,2004,CPC,29.632040571182472,0,31.360000000000003,1.727959428817531,1.727959428817531,36.066484707413615,6.434444136231143,6.434444136231143,0.138879029253387
uk,2010,LAB,28.99027149513312,0,27.34,-1.6502714951331185,1.6502714951331185,28.72734365610256,-0.26292783903056005,0.26292783903056005,0.405301470918232
uk,2015,CON,36.80951151599356,1,35.160000000000004,-1.6495115159935594,1.6495115159935594,33.55163609062442,-3.257875425369143,3.257875425369143,0.4462343472490478
us,2004,DEM,48.25481674287688,0,46.64033920000001,-1.6144775428768767,1.6144775428768767,43.751577016943386,-4.503239725933497,4.503239725933497,0.688793880401252
canada,2008,CPC,37.65330561863149,1,36.32,-1.333305618631492,1.333305618631492,35.091190773087625,-2.562114845543867,2.562114845543867,0.5402184019187836
australia,2010,ALP (2PP),50.12,1,51.24,1.1200000000000045,1.1200000000000045,48.31698230217663,-1.803017697823364,1.803017697823364,0.8392795069922767
australia,2010,L/NP (2PP),49.88,0,48.760000000000005,-1.1199999999999974,1.1199999999999974,46.40556274756513,-3.474437252434875,3.474437252434875,0.8031009978797193
us,2000,REP,47.89431854647568,0,46.7963518,-1.0979667464756844,1.0979667464756844,44.74098429447379,-3.1533342520018905,3.1533342520018905,0.6971170309487772
canada,2008,GPC,6.777454635560008,0,7.739999999999999,0.9625453644399915,0.9625453644399915,13.164545189051791,6.387090553491784,6.387090553491784,0.0703731787617098
uk,2005,LIB,22.04733435062049,0,22.94,0.8926656493795129,0.8926656493795129,24.15777538317277,2.1104410325522807,2.1104410325522807,0.2183217964888136
canada,2008,LPC,26.262164155250712,0,25.44,-0.8221641552507108,0.8221641552507108,27.47459146060937,1.2124273053586592,1.2124273053586592,0.3610411352625883
uk,2015,LIB,7.870067700897711,0,8.620000000000001,0.7499322991022899,0.7499322991022899,13.13546338136177,5.265395680464059,5.265395680464059,0.0507364935980847
canada,2006,GPC,4.4817498415182015,0,5.220000000000001,0.7382501584817991,0.7382501584817991,10.41206008004675,5.930310238528548,5.930310238528548,0.0479294752885829
canada,2006,CPC,36.2692402774378,1,36.94,0.6707597225621953,0.6707597225621953,36.07142272010462,-0.19781755733318107,0.19781755733318107,0.6709243376570061
canada,2006,NDP,17.477014318331875,0,18.12,0.6429856816681259,0.6429856816681259,20.5251053623786,3.048091044046725,3.048091044046725,0.1665466561655923
canada,2006,BQ,10.482448086033228,0,11.08,0.5975519139667718,0.5975519139667718,14.858837117400462,4.376389031367234,4.376389031367234,0.0820673955699269
australia,2013,ALP (2PP),46.51,0,47.0,0.490000000000002,0.490000000000002,42.31912468035546,-4.19087531964454,4.19087531964454,0.566342673148267
australia,2013,L/NP (2PP),53.49,1,53.0,-0.490000000000002,0.490000000000002,46.86661801328948,-6.62338198671052,6.62338198671052,0.6987375671144315
uk,2005,CON,32.36154023973776,0,32.84,0.4784597602622469,0.4784597602622469,31.69262192288309,-0.6689183168546649,0.6689183168546649,0.4135358697823685
canada,2008,BQ,9.97514582240337,0,9.56,-0.4151458224033693,0.4151458224033693,13.940117264339836,3.9649714419364663,3.9649714419364663,0.0641188339191282
uk,2001,LIB,18.25862278406621,0,17.86,-0.3986227840662089,0.3986227840662089,20.65217920732368,2.393556423257472,2.393556423257472,0.180132396068669
uk,2001,CON,31.69679372427669,0,31.34,-0.35679372427669165,0.35679372427669165,30.910689156299075,-0.7861045679776169,0.7861045679776169,0.4272598307955005
uk,2010,CON,36.05428716982348,1,36.38,0.32571283017652064,0.32571283017652064,35.33761241833846,-0.7166747514850229,0.7166747514850229,0.5957989783520943
australia,2016,ALP (2PP),49.64,0,49.4,-0.240000000000002,0.240000000000002,46.93027414484365,-2.70972585515635,2.70972585515635,0.8169129164149407
australia,2016,L/NP (2PP),50.36,1,50.6,0.240000000000002,0.240000000000002,47.84582762299732,-2.51417237700268,2.51417237700268,0.8337330295774344
canada,2004,BQ,12.38588949466048,0,12.24,-0.14588949466048007,0.14588949466048007,21.012700283974883,8.626810789314403,8.626810789314403,0.0154079788736127
canada,2004,GPC,4.292368531206952,0,4.38,0.08763146879304795,0.08763146879304795,15.24143258070335,10.949064049496398,10.949064049496398,0.0076883889307625
uk,1997,CON,30.6558778281243,0,30.74,0.08412217187569837,0.08412217187569837,30.38616558343244,-0.26971224469185984,0.26971224469185984,0.4152673067049552
us,2000,OTHER,3.902036100349978,0,3.8291923,-0.07284380034997806,0.07284380034997806,12.156038700625686,8.254002600275708,8.254002600275708,0.0243487591410655
uk,1997,LIB,16.75797291873973,0,16.759999999999998,0.0020270812602696253,0.0020270812602696253,19.95575332449463,3.1977804057549015,3.1977804057549015,0.1756374681110599
