country,election_year,party,dataset_split,election_date,last_poll_date,days_before_election,final_poll_pct,final_rolling_avg,final_momentum_1st,final_momentum_2nd,recent_30d_mean,recent_30d_std,recent_30d_observations,recent_30d_trend_per_day,final_vs_recent_30d_mean,mean_poll_pct,poll_std,min_poll_pct,max_poll_pct,mean_rolling_avg,mean_momentum_1st,mean_momentum_2nd,n_poll_observations,campaign_span_days,actual_pct,is_winner
australia,2010,ALP (2PP),development,2010-08-21,2010-08-19,2,50.2,51.24,-1.7999999999999972,-1.7999999999999972,51.239999999999995,0.9329523031752475,5,-0.01955469506292313,7.105427357601002e-15,55.26461538461538,2.7637449937598335,49.0,63.0,55.36010256410256,-0.028124999999999956,-0.12380952380952376,65,1001,50.12,1
australia,2010,L/NP (2PP),development,2010-08-21,2010-08-19,2,49.8,48.760000000000005,1.7999999999999972,1.7999999999999972,48.760000000000005,0.9329523031752475,5,0.0195546950629236,0.0,44.73538461538462,2.7637449937598335,37.0,51.0,44.63989743589744,0.028124999999999956,0.12380952380952376,65,1001,49.88,0
australia,2013,L/NP (2PP),development,2013-09-07,2013-09-07,0,52.0,53.0,0.0,1.5,52.8,0.9486832980505143,11,-0.046538461538462216,0.20000000000000284,52.8,0.9486832980505143,50.8,54.0,52.883333333333326,-0.1,0.0,11,5,53.49,1
australia,2013,ALP (2PP),development,2013-09-07,2013-09-07,0,48.0,47.0,0.0,-1.5,47.2,0.9486832980505143,11,0.046538461538459266,-0.20000000000000284,47.2,0.9486832980505143,46.0,49.2,47.116666666666674,0.1,0.0,11,5,46.51,0
australia,2016,L/NP (2PP),development,2016-07-02,2016-07-01,1,50.5,50.6,-0.5,-1.0,50.05263157894737,0.7415264633476512,19,0.0331531995196442,0.5473684210526315,48.81777777777778,2.675841623688093,42.5,57.0,48.84259259259259,-0.011160714285714286,-0.006726457399103139,225,1030,50.36,1
australia,2016,ALP (2PP),development,2016-07-02,2016-07-01,1,49.5,49.4,0.5,1.0,49.94736842105263,0.7415264633476512,19,-0.0331531995196422,-0.5473684210526315,51.17777777777778,2.686086694132388,43.0,57.5,51.15214814814815,0.011160714285714286,0.006726457399103139,225,1030,49.64,0
australia,2019,L/NP (2PP),holdout,2019-05-18,2019-05-18,0,48.0,48.6,-0.5,0.0,48.625,0.45069390943299864,16,-0.01110848499172777,-0.02499999999999858,47.451530612244895,1.4201349835532782,44.0,52.0,47.4749574829932,-0.015384615384615385,0.002577319587628866,196,1053,51.53,1
australia,2019,ALP (2PP),holdout,2019-05-18,2019-05-18,0,52.0,51.4,0.5,0.0,51.375,0.45069390943299864,16,0.011108484991727459,0.02499999999999858,52.548469387755105,1.4201349835532782,48.0,56.0,52.5250425170068,0.015384615384615385,-0.002577319587628866,196,1053,48.47,0
australia,2022,ALP (2PP),holdout,2022-05-21,2022-05-21,0,52.1,51.46,-0.8999999999999986,-0.8999999999999986,53.16470588235295,2.146663944348392,17,-0.07406410763751578,-1.7047058823529468,50.089444444444446,3.6109762795341127,42.0,58.0,50.02145370370371,0.02904000000000002,0.00459677419354839,126,1099,52.13,1
australia,2022,L/NP (2PP),holdout,2022-05-21,2022-05-21,0,47.9,47.34,0.8999999999999986,0.8999999999999986,46.12941176470588,1.326545582854582,17,0.06741590819153034,1.210588235294125,46.79944444444444,2.602277484062074,42.0,53.0,46.86743518518518,-0.02904000000000002,-0.00459677419354839,126,1099,47.87,0
canada,2004,LPC,development,2004-06-28,2004-06-24,4,32.6,33.52,-0.3999999999999986,0.6000000000000014,33.32222222222222,1.7354332009794349,36,-0.058473382780959315,0.19777777777778027,34.015,2.69235491716824,29.0,42.0,34.40508333333334,-0.21538461538461534,-0.03684210526315786,40,30,36.72929932408394,1
canada,2004,CPC,development,2004-06-28,2004-06-24,4,31.8,31.360000000000003,-0.1999999999999993,-2.1999999999999997,31.827777777777776,2.59792771166977,36,0.047375833255092925,-0.46777777777777274,31.595,2.5859185988735223,25.0,37.0,31.454,0.09743589743589745,-0.03157894736842113,40,30,29.632040571182472,0
canada,2004,NDP,development,2004-06-28,2004-06-24,4,19.0,18.4,2.0,5.0,18.194444444444443,1.9410684979104287,36,0.011735987231245635,0.2055555555555557,18.1,1.881488772222678,15.0,22.0,18.045416666666664,0.02564102564102564,0.07894736842105263,40,30,15.68337439333352,0
canada,2004,BQ,development,2004-06-28,2004-06-24,4,11.2,12.24,-1.8000000000000007,-2.8000000000000007,11.45,1.0374916331657276,36,0.028673364003379824,0.7900000000000009,11.355,1.0368100115257375,9.0,13.0,11.292666666666667,0.00512820512820511,-0.02105263157894739,40,30,12.38588949466048,0
canada,2004,GPC,development,2004-06-28,2004-06-24,4,4.9,4.38,-0.0999999999999996,-1.0999999999999996,4.768571428571429,1.0972098193851083,35,-0.011095069815549028,-0.3885714285714288,4.602631578947369,1.2031727447626182,2.0,7.0,4.507807017543859,0.05135135135135136,0.02500000000000001,38,30,4.292368531206952,0
canada,2006,CPC,development,2006-01-23,2006-01-23,0,36.3,36.94,-0.7000000000000028,0.2999999999999971,36.54558823529412,2.2899674942163424,68,0.2054551172653658,0.3944117647058789,31.924752475247526,4.150996681952779,23.0,42.0,31.859917491749176,0.03333333333333331,-0.0055000000000000075,202,574,36.2692402774378,1
canada,2006,LPC,development,2006-01-23,2006-01-23,0,30.2,28.48,3.1999999999999997,3.1999999999999997,29.35735294117647,2.6161442315244026,68,-0.269252470874437,-0.8773529411764684,32.95891089108911,4.00337046143191,24.0,41.0,33.01972772277228,-0.03233830845771146,0.029500000000000012,202,574,30.231267680936675,0
canada,2006,NDP,development,2006-01-23,2006-01-23,0,17.5,18.12,-1.5,-1.5,17.273529411764706,1.484490172639873,68,0.10988581022019346,0.8464705882352952,17.27326732673267,1.9283651871139584,12.0,24.0,17.25161716171617,0.008955223880597036,-0.003999999999999986,202,574,17.477014318331875,0
canada,2006,BQ,development,2006-01-23,2006-01-23,0,10.5,11.08,-0.5,0.5,11.548529411764706,1.0251962003123833,68,-0.07241963009726236,-0.4685294117647061,12.3994923857868,1.3328911159953705,10.0,16.0,12.408307952622673,-0.00969387755102041,0.00974358974358981,197,574,10.482448086033228,0
canada,2006,GPC,development,2006-01-23,2006-01-23,0,4.5,5.220000000000001,-1.5,-3.5,5.1265625,0.9153623236695675,64,0.007735294117646957,0.09343750000000028,5.208074534161491,1.2202217065263998,1.0,10.0,5.209616977225673,0.0012500000000000067,-0.026415094339622625,161,574,4.4817498415182015,0
