country,election_year,source_feature_rows,post_election_rows,dataset_split,model_party_rows,winner_rows,earliest_model_poll,latest_model_poll
australia,2010,450,0,development,2,1,2010-08-19,2010-08-19
australia,2013,66,0,development,2,1,2013-09-07,2013-09-07
australia,2016,1350,0,development,2,1,2016-07-01,2016-07-01
australia,2019,1157,0,holdout,2,1,2019-05-18,2019-05-18
australia,2022,983,0,holdout,2,1,2022-05-21,2022-05-21
canada,2004,198,0,development,5,1,2004-06-24,2004-06-24
canada,2006,964,0,development,5,1,2006-01-23,2006-01-23
canada,2008,1478,0,development,5,1,2008-10-14,2008-10-14
canada,2015,575,0,holdout,5,1,2015-10-19,2015-10-19
canada,2019,703,0,holdout,5,1,2019-10-21,2019-10-21
uk,1997,249,0,development,3,1,1997-05-01,1997-05-01
uk,2001,174,0,development,3,1,2001-06-07,2001-06-07
uk,2005,288,0,development,3,1,2005-05-05,2005-05-05
uk,2010,877,0,development,3,1,2010-05-06,2010-05-06
uk,2015,1160,0,development,3,1,2015-05-07,2015-05-07
uk,2017,745,0,holdout,3,1,2017-06-08,2017-06-08
uk,2019,1713,0,holdout,3,1,2019-12-12,2019-12-12
us,2000,753,0,development,3,1,2000-11-07,2000-11-07
us,2004,502,0,development,2,1,2004-11-02,2004-11-02
us,2008,502,0,development,2,1,2008-11-04,2008-11-04
us,2012,502,0,holdout,2,1,2012-11-06,2012-11-06
us,2016,736,0,holdout,3,1,2016-11-08,2016-11-08
