country,election_year,date_raw,pollster,sample_size,party,pct,source_table
canada,2004,"December 12, 2001",Leger,1000,LPC,46.0,canada_2004_table10.csv
canada,2004,"December 12, 2001",Ekos,—N/a,LPC,58.0,canada_2004_table10.csv
canada,2004,"August 29, 2001",Ekos,—N/a,LPC,50.0,canada_2004_table10.csv
canada,2004,"August 23, 2001",Ipsos,250,LPC,47.0,canada_2004_table10.csv
canada,2004,"August 13, 2001",Leger,401,LPC,45.0,canada_2004_table10.csv
canada,2004,"July 10, 2001",Environics,482,LPC,49.0,canada_2004_table10.csv
canada,2004,"July 8, 2001",Ipsos,212,LPC,43.0,canada_2004_table10.csv
canada,2004,"May 27, 2001",Ipsos,230,LPC,44.0,canada_2004_table10.csv
canada,2004,"May 21, 2001",Leger,998,LPC,45.0,canada_2004_table10.csv
canada,2004,"April 26, 2001",Ipsos,253,LPC,43.0,canada_2004_table10.csv
canada,2004,"April 24, 2001",Environics,485,LPC,41.0,canada_2004_table10.csv
canada,2004,"March 29, 2001",Ipsos,253,LPC,45.0,canada_2004_table10.csv
canada,2004,"March 10, 2001",Ipsos,—N/a,LPC,46.0,canada_2004_table10.csv
canada,2004,"January 31, 2001",Ekos,379,LPC,52.0,canada_2004_table10.csv
canada,2004,"January 15, 2001",Environics,504,LPC,42.0,canada_2004_table10.csv
canada,2004,2000 Election,,,LPC,44.2,canada_2004_table10.csv
canada,2004,"December 12, 2001",Leger,1000,NDP,3.0,canada_2004_table10.csv
canada,2004,"December 12, 2001",Ekos,—N/a,NDP,3.0,canada_2004_table10.csv
canada,2004,"August 29, 2001",Ekos,—N/a,NDP,5.0,canada_2004_table10.csv
canada,2004,"August 23, 2001",Ipsos,250,NDP,5.0,canada_2004_table10.csv
canada,2004,"August 13, 2001",Leger,401,NDP,5.0,canada_2004_table10.csv
canada,2004,"July 10, 2001",Environics,482,NDP,4.0,canada_2004_table10.csv
canada,2004,"July 8, 2001",Ipsos,212,NDP,4.0,canada_2004_table10.csv
canada,2004,"May 27, 2001",Ipsos,230,NDP,2.0,canada_2004_table10.csv
canada,2004,"May 21, 2001",Leger,998,NDP,3.0,canada_2004_table10.csv
canada,2004,"April 26, 2001",Ipsos,253,NDP,7.0,canada_2004_table10.csv
canada,2004,"April 24, 2001",Environics,485,NDP,6.0,canada_2004_table10.csv
canada,2004,"March 29, 2001",Ipsos,253,NDP,4.0,canada_2004_table10.csv
canada,2004,"January 15, 2001",Environics,504,NDP,7.0,canada_2004_table10.csv
canada,2004,2000 Election,,,NDP,1.8,canada_2004_table10.csv
canada,2004,"December 12, 2001",Leger,1000,BQ,37.0,canada_2004_table10.csv
canada,2004,"December 12, 2001",Ekos,—N/a,BQ,31.0,canada_2004_table10.csv
canada,2004,"August 29, 2001",Ekos,—N/a,BQ,33.0,canada_2004_table10.csv
canada,2004,"August 23, 2001",Ipsos,250,BQ,37.0,canada_2004_table10.csv
canada,2004,"August 13, 2001",Leger,401,BQ,37.0,canada_2004_table10.csv
canada,2004,"July 10, 2001",Environics,482,BQ,33.0,canada_2004_table10.csv
canada,2004,"July 8, 2001",Ipsos,212,BQ,41.0,canada_2004_table10.csv
canada,2004,"May 27, 2001",Ipsos,230,BQ,39.0,canada_2004_table10.csv
canada,2004,"May 21, 2001",Leger,998,BQ,38.0,canada_2004_table10.csv
canada,2004,"April 26, 2001",Ipsos,253,BQ,36.0,canada_2004_table10.csv
canada,2004,"April 24, 2001",Environics,485,BQ,40.0,canada_2004_table10.csv
canada,2004,"March 29, 2001",Ipsos,253,BQ,37.0,canada_2004_table10.csv
canada,2004,"March 10, 2001",Ipsos,—N/a,BQ,32.0,canada_2004_table10.csv
canada,2004,"January 31, 2001",Ekos,379,BQ,30.0,canada_2004_table10.csv
canada,2004,"January 15, 2001",Environics,504,BQ,35.0,canada_2004_table10.csv
canada,2004,2000 Election,,,BQ,39.9,canada_2004_table10.csv
canada,2004,"December 12, 2001",Leger,1000,PC,7.0,canada_2004_table10.csv
canada,2004,"December 12, 2001",Ekos,—N/a,PC,6.0,canada_2004_table10.csv
canada,2004,"August 29, 2001",Ekos,—N/a,PC,9.0,canada_2004_table10.csv
canada,2004,"August 23, 2001",Ipsos,250,PC,7.0,canada_2004_table10.csv
canada,2004,"August 13, 2001",Leger,401,PC,7.0,canada_2004_table10.csv
canada,2004,"July 10, 2001",Environics,482,PC,9.0,canada_2004_table10.csv
canada,2004,"July 8, 2001",Ipsos,212,PC,10.0,canada_2004_table10.csv
canada,2004,"May 27, 2001",Ipsos,230,PC,11.0,canada_2004_table10.csv
canada,2004,"May 21, 2001",Leger,998,PC,10.0,canada_2004_table10.csv
canada,2004,"April 26, 2001",Ipsos,253,PC,9.0,canada_2004_table10.csv
canada,2004,"April 24, 2001",Environics,485,PC,6.0,canada_2004_table10.csv
canada,2004,"March 29, 2001",Ipsos,253,PC,9.0,canada_2004_table10.csv
canada,2004,"January 15, 2001",Environics,504,PC,5.0,canada_2004_table10.csv
canada,2004,2000 Election,,,PC,5.6,canada_2004_table10.csv
canada,2004,"December 12, 2001",Leger,1000,OTHER,7.0,canada_2004_table10.csv
canada,2004,"December 12, 2001",Ekos,—N/a,OTHER,1.0,canada_2004_table10.csv
canada,2004,"August 29, 2001",Ekos,—N/a,OTHER,1.0,canada_2004_table10.csv
canada,2004,"August 23, 2001",Ipsos,250,OTHER,1.0,canada_2004_table10.csv
canada,2004,"August 13, 2001",Leger,401,OTHER,4.0,canada_2004_table10.csv
canada,2004,"July 10, 2001",Environics,482,OTHER,1.0,canada_2004_table10.csv
canada,2004,"July 8, 2001",Ipsos,212,OTHER,0.0,canada_2004_table10.csv
canada,2004,"May 27, 2001",Ipsos,230,OTHER,2.0,canada_2004_table10.csv
canada,2004,"May 21, 2001",Leger,998,OTHER,3.0,canada_2004_table10.csv
canada,2004,"April 26, 2001",Ipsos,253,OTHER,2.0,canada_2004_table10.csv
canada,2004,"April 24, 2001",Environics,485,OTHER,3.0,canada_2004_table10.csv
canada,2004,"March 29, 2001",Ipsos,253,OTHER,2.0,canada_2004_table10.csv
canada,2004,"January 15, 2001",Environics,504,OTHER,4.0,canada_2004_table10.csv
canada,2004,2000 Election,,,OTHER,1.2,canada_2004_table10.csv
canada,2004,Voting result,,,LPC,44.7,canada_2004_table11.csv
canada,2004,"June 24, 2004",Nanos,,LPC,39.0,canada_2004_table11.csv
canada,2004,"June 24, 2004",SES,393,LPC,39.0,canada_2004_table11.csv
canada,2004,"June 24, 2004",Ekos,—N/a,LPC,38.0,canada_2004_table11.csv
canada,2004,"June 23, 2004",Ipsos,758,LPC,38.0,canada_2004_table11.csv
canada,2004,"June 22, 2004",Environics,—N/a,LPC,40.0,canada_2004_table11.csv
canada,2004,"June 20, 2004",Ipsos,379,LPC,42.0,canada_2004_table11.csv
canada,2004,"June 16, 2004",SES,259,LPC,36.0,canada_2004_table11.csv
canada,2004,"June 9, 2004",Ekos,—N/a,LPC,34.0,canada_2004_table11.csv
canada,2004,"June 7, 2004",Léger,—N/a,LPC,35.0,canada_2004_table11.csv
canada,2004,"June 6, 2004",SES,254,LPC,33.0,canada_2004_table11.csv
canada,2004,"May 31, 2004",Léger,—N/a,LPC,39.0,canada_2004_table11.csv
canada,2004,"May 30, 2004",SES,237,LPC,39.0,canada_2004_table11.csv
canada,2004,"March 22, 2004",Léger,—N/a,LPC,47.0,canada_2004_table11.csv
canada,2004,"February 25, 2004",Ekos,—N/a,LPC,47.0,canada_2004_table11.csv
canada,2004,"April 17, 2003",Ipsos,282,LPC,58.0,canada_2004_table11.csv
canada,2004,"March 27, 2003",Environics,544,LPC,50.0,canada_2004_table11.csv
canada,2004,"February 20, 2003",Ekos,—N/a,LPC,52.0,canada_2004_table11.csv
canada,2004,"January 16, 2003",Ekos,—N/a,LPC,60.0,canada_2004_table11.csv
canada,2004,"January 14, 2003",Environics,—N/a,LPC,53.0,canada_2004_table11.csv
canada,2004,"December 12, 2002",Ipsos,255,LPC,51.0,canada_2004_table11.csv
canada,2004,"May 30, 2002",Ipsos,542,LPC,55.0,canada_2004_table11.csv
canada,2004,"August 29, 2001",Ekos,—N/a,LPC,62.0,canada_2004_table11.csv
canada,2004,"August 23, 2001",Ipsos,300,LPC,53.0,canada_2004_table11.csv
canada,2004,"August 13, 2001",Léger,—N/a,LPC,58.0,canada_2004_table11.csv
canada,2004,"July 10, 2001",Environics,555,LPC,51.0,canada_2004_table11.csv
canada,2004,"April 24, 2001",Environics,545,LPC,54.0,canada_2004_table11.csv
canada,2004,"March 29, 2001",Ipsos,300,LPC,56.0,canada_2004_table11.csv
canada,2004,Election 2000,,,LPC,51.5,canada_2004_table11.csv
canada,2004,Voting result,,,CPC,31.5,canada_2004_table11.csv
canada,2004,"June 24, 2004",Nanos,,CPC,32.0,canada_2004_table11.csv
canada,2004,"June 24, 2004",SES,393,CPC,32.0,canada_2004_table11.csv
canada,2004,"June 24, 2004",Ekos,—N/a,CPC,35.0,canada_2004_table11.csv
canada,2004,"June 23, 2004",Ipsos,758,CPC,34.0,canada_2004_table11.csv
canada,2004,"June 22, 2004",Environics,—N/a,CPC,35.0,canada_2004_table11.csv
canada,2004,"June 20, 2004",Ipsos,379,CPC,30.0,canada_2004_table11.csv
canada,2004,"June 16, 2004",SES,259,CPC,40.0,canada_2004_table11.csv
canada,2004,"June 9, 2004",Ekos,—N/a,CPC,38.0,canada_2004_table11.csv
canada,2004,"June 7, 2004",Léger,—N/a,CPC,36.0,canada_2004_table11.csv
canada,2004,"June 6, 2004",SES,254,CPC,43.0,canada_2004_table11.csv
canada,2004,"May 31, 2004",Léger,—N/a,CPC,37.0,canada_2004_table11.csv
canada,2004,"May 30, 2004",SES,237,CPC,32.0,canada_2004_table11.csv
canada,2004,"March 22, 2004",Léger,—N/a,CPC,28.0,canada_2004_table11.csv
canada,2004,"February 25, 2004",Ekos,—N/a,CPC,36.0,canada_2004_table11.csv
canada,2004,Voting result,,,NDP,18.1,canada_2004_table11.csv
canada,2004,"June 24, 2004",Nanos,,NDP,25.0,canada_2004_table11.csv
canada,2004,"June 24, 2004",SES,393,NDP,25.0,canada_2004_table11.csv
canada,2004,"June 24, 2004",Ekos,—N/a,NDP,21.0,canada_2004_table11.csv
canada,2004,"June 23, 2004",Ipsos,758,NDP,20.0,canada_2004_table11.csv
canada,2004,"June 22, 2004",Environics,—N/a,NDP,19.0,canada_2004_table11.csv
canada,2004,"June 20, 2004",Ipsos,379,NDP,20.0,canada_2004_table11.csv
canada,2004,"June 16, 2004",SES,259,NDP,23.0,canada_2004_table11.csv
canada,2004,"June 9, 2004",Ekos,—N/a,NDP,21.0,canada_2004_table11.csv
canada,2004,"June 7, 2004",Léger,—N/a,NDP,24.0,canada_2004_table11.csv
canada,2004,"June 6, 2004",SES,254,NDP,22.0,canada_2004_table11.csv
canada,2004,"May 31, 2004",Léger,—N/a,NDP,18.0,canada_2004_table11.csv
canada,2004,"May 30, 2004",SES,237,NDP,25.0,canada_2004_table11.csv
canada,2004,"March 22, 2004",Léger,—N/a,NDP,19.0,canada_2004_table11.csv
canada,2004,"February 25, 2004",Ekos,—N/a,NDP,15.0,canada_2004_table11.csv
canada,2004,"April 17, 2003",Ipsos,282,NDP,9.0,canada_2004_table11.csv
