country,election_year,date_raw,pollster,sample_size,party,pct,source_table
uk,1997,1 May 1997,1997 general election,–,CON,37.8,uk_1997_table10.csv
uk,1997,6 May 1993,1993 Newbury by-election,–,CON,31.4,uk_1997_table10.csv
uk,1997,2 May 1993,?[16],Unknown,CON,38.0,uk_1997_table10.csv
uk,1997,9 Apr 1992,1992 general election,–,CON,55.9,uk_1997_table10.csv
uk,1997,1 May 1997,1997 general election,–,LD,52.9,uk_1997_table10.csv
uk,1997,6 May 1993,1993 Newbury by-election,–,LD,65.1,uk_1997_table10.csv
uk,1997,2 May 1993,?[16],Unknown,LD,50.0,uk_1997_table10.csv
uk,1997,9 Apr 1992,1992 general election,–,LD,37.3,uk_1997_table10.csv
uk,1997,1 May 1997,1997 general election,–,LAB,5.5,uk_1997_table10.csv
uk,1997,6 May 1993,1993 Newbury by-election,–,LAB,2.7,uk_1997_table10.csv
uk,1997,9 Apr 1992,1992 general election,–,LAB,6.0,uk_1997_table10.csv
uk,1997,1 May 1997,1997 general election,,CON,30.7,uk_1997_table2.csv
uk,1997,30 Apr,ICM/Guardian,,CON,33.0,uk_1997_table2.csv
uk,1997,30 Apr,Gallup/Telegraph,,CON,33.0,uk_1997_table2.csv
uk,1997,30 Apr,MORI/Evening Standard,,CON,29.0,uk_1997_table2.csv
uk,1997,29 Apr,Gallup/Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,29 Apr,Harris/Independent,,CON,31.0,uk_1997_table2.csv
uk,1997,29 Apr,MORI/Times,,CON,27.0,uk_1997_table2.csv
uk,1997,29 Apr,NOP/Reuters,,CON,28.0,uk_1997_table2.csv
uk,1997,28 Apr,Gallup/Channel 4,,CON,31.0,uk_1997_table2.csv
uk,1997,28 Apr,Gallup/Telegraph,,CON,29.0,uk_1997_table2.csv
uk,1997,27 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,26 Apr,Gallup/Sunday Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,25 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,25 Apr,ICM/Observer,,CON,32.0,uk_1997_table2.csv
uk,1997,25 Apr,NOP/Sunday Times,,CON,29.0,uk_1997_table2.csv
uk,1997,24 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,24 Apr,MORI/Independent on Sunday,,CON,29.0,uk_1997_table2.csv
uk,1997,23 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,22 Apr,Gallup/Channel 4,,CON,31.0,uk_1997_table2.csv
uk,1997,22 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,22 Apr,MORI/Times,,CON,27.0,uk_1997_table2.csv
uk,1997,21 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,21 Apr,ICM/Guardian,,CON,37.0,uk_1997_table2.csv
uk,1997,20 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,20 Apr,Harris/Independent,,CON,30.0,uk_1997_table2.csv
uk,1997,19 Apr,Gallup/Sunday Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,18 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,18 Apr,ICM/Observer,,CON,31.0,uk_1997_table2.csv
uk,1997,18 Apr,NOP/Sunday Times,,CON,29.0,uk_1997_table2.csv
uk,1997,17 Apr,Gallup/Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,16 Apr,Gallup/Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,15 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,15 Apr,MORI/Times,,CON,32.0,uk_1997_table2.csv
uk,1997,14 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,14 Apr,Harris/Independent,,CON,31.0,uk_1997_table2.csv
uk,1997,14 Apr,ICM/Guardian,,CON,31.0,uk_1997_table2.csv
uk,1997,14 Apr,MORI/Evening Standard,,CON,29.0,uk_1997_table2.csv
uk,1997,13 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,12 Apr,Gallup/Sunday Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,12 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,11 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,11 Apr,ICM/Observer,,CON,32.0,uk_1997_table2.csv
uk,1997,11 Apr,NOP/Sunday Times,,CON,28.0,uk_1997_table2.csv
uk,1997,10 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,9 Apr,Gallup/Telegraph,,CON,29.0,uk_1997_table2.csv
uk,1997,8 Apr,Gallup/Telegraph,,CON,32.0,uk_1997_table2.csv
uk,1997,8 Apr,MORI/Times,,CON,34.0,uk_1997_table2.csv
uk,1997,7 Apr,Gallup/Telegraph,,CON,33.0,uk_1997_table2.csv
uk,1997,7 Apr,Harris/Independent,,CON,28.0,uk_1997_table2.csv
uk,1997,7 Apr,ICM/Guardian,,CON,34.0,uk_1997_table2.csv
uk,1997,6 Apr,Gallup/Telegraph,,CON,30.0,uk_1997_table2.csv
uk,1997,4 Apr,ICM/Observer,,CON,30.0,uk_1997_table2.csv
uk,1997,4 Apr,MORI/Independent on Sunday,,CON,30.0,uk_1997_table2.csv
uk,1997,4 Apr,NOP/Reuters,,CON,29.0,uk_1997_table2.csv
uk,1997,4 Apr,NOP/Sunday Times,,CON,26.0,uk_1997_table2.csv
uk,1997,3 Apr,Gallup/Channel 4,,CON,30.0,uk_1997_table2.csv
uk,1997,3 Apr,Harris/Central News,,CON,29.0,uk_1997_table2.csv
uk,1997,1 Apr,MORI/Times,,CON,28.0,uk_1997_table2.csv
uk,1997,31 Mar,Harris/Independent,,CON,28.0,uk_1997_table2.csv
uk,1997,31 Mar,ICM/Guardian,,CON,32.0,uk_1997_table2.csv
uk,1997,28 Mar,Gallup/Telegraph,,CON,31.0,uk_1997_table2.csv
uk,1997,24 Mar,Harris/Independent,,CON,28.0,uk_1997_table2.csv
uk,1997,24 Mar,MORI/Times,,CON,29.0,uk_1997_table2.csv
uk,1997,21 Mar,Gallup/Sunday Telegraph,,CON,27.0,uk_1997_table2.csv
