Date,Labor Gillard,Liberal Abbott
,,
17–19 Aug 2010,50%,37%
13–15 Aug 2010,50%,35%
6–8 Aug 2010,49%,34%
30 Jul – 1 Aug 2010,50%,35%
23–25 Jul 2010,50%,34%
16–18 Jul 2010,57%,27%
25–27 Jun 2010,53%,29%
,Rudd,Abbott
18–20 Jun 2010,46%,37%
28–30 May 2010,49%,33%
14–16 May 2010,49%,33%
30 Apr – 2 May 2010,50%,32%
16–18 Apr 2010,56%,29%
26–28 Mar 2010,59%,27%
12–14 Mar 2010,55%,30%
26–28 Feb 2010,55%,30%
12–14 Feb 2010,55%,27%
29–31 Jan 2010,58%,26%
15–17 Jan 2010,57%,25%
4–6 Dec 2009,60%,23%
,Rudd,Turnbull
27–29 Nov 2009,65%,14%
13–15 Nov 2009,63%,22%
30 Oct-1 Nov 2009,63%,19%
16–18 Oct 2009,65%,19%
2-4 Oct 2009[3],67%,18%
18–20 Sep 2009,65%,17%
4–6 Sep 2009,67%,19%
21–23 Aug 2009,66%,19%
7–9 Aug 2009,65%,17%
24–26 Jul 2009,66%,16%
10–12 Jul 2009,64%,19%
26–28 Jun 2009,65%,18%
12–14 Jun 2009,57%,25%
29–31 May 2009,57%,24%
15–17 May 2009,58%,24%
1–3 May 2009,64%,19%
17–19 Apr 2009,67%,19%
3–5 Apr 2009,67%,18%
20–22 Mar 2009,65%,20%
7–9 Mar 2009,61%,21%
20–22 Feb 2009,64%,20%
6–8 Feb 2009,62%,20%
16–18 Jan 2009,60%,22%
5–7 Dec 2008,66%,19%
21–23 Nov 2008,63%,21%
7–9 Nov 2008,62%,22%
24–26 Oct 2008,59%,25%
10–12 Oct 2008,54%,26%
19–21 Sep 2008,54%,24%
,Rudd,Nelson
5–7 Sep 2008,62%,16%
22–24 Aug 2008,65%,14%
8–10 Aug 2008,68%,12%
25–27 Jul 2008,66%,14%
11–13 Jul 2008,65%,14%
27–29 Jun 2008,64%,15%
13–15 Jun 2008,68%,13%
30 May – 1 Jun 2008,66%,17%
16–18 May 2008,70%,12%
2–4 May 2008,72%,9%
18–20 Apr 2008,71%,10%
4–6 Apr 2008,73%,9%
14–16 Mar 2008,70%,10%
29 Feb – 2 Mar 2008,73%,7%
15–17 Feb 2008,70%,9%
18–20 Jan 2008,68%,11%
30 Nov – 2 Dec 2007,61%,14%
,Rudd,Howard
20–22 Nov 2007,47%,44%
"Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted"".","Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted"".","Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted""."
