Unnamed: 0_level_0,Gillard,Gillard,Abbott,Abbott
Date,Satisfied,Dissatisfied,Satisfied,Dissatisfied
17–19 Aug 2010,44%,43%,42%,50%
13–15 Aug 2010,44%,38%,43%,46%
6–8 Aug 2010,43%,41%,41%,49%
30 Jul – 1 Aug 2010,42%,40%,44%,46%
23–25 Jul 2010,41%,37%,40%,46%
16–18 Jul 2010,48%,29%,36%,51%
25–27 Jun 2010,N/A (new),N/A (new),42%,41%
,Rudd,Rudd,Abbott,Abbott
18–20 Jun 2010,36%,55%,38%,49%
28–30 May 2010,36%,54%,37%,49%
14–16 May 2010,39%,51%,42%,45%
30 Apr – 2 May 2010,39%,50%,45%,43%
16–18 Apr 2010,50%,41%,46%,40%
26–28 Mar 2010,51%,39%,44%,43%
12–14 Mar 2010,48%,41%,47%,38%
26–28 Feb 2010,51%,40%,48%,38%
12–14 Feb 2010,50%,40%,44%,37%
29–31 Jan 2010,50%,38%,41%,39%
15–17 Jan 2010,52%,34%,40%,35%
4–6 Dec 2009,58%,32%,N/A (new),N/A (new)
,Rudd,Rudd,Turnbull,Turnbull
27–29 Nov 2009,56%,34%,36%,50%
13–15 Nov 2009,56%,34%,34%,50%
30 Oct – 1 Nov 2009,59%,32%,32%,51%
16–18 Oct 2009,63%,28%,32%,54%
28 Sep – 1 Oct 2009,67%,21%,33%,48%
"Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted"".","Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted"".","Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted"".","Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted"".","Polling conducted by Newspoll and published in The Australian. ^Remainder were ""uncommitted""."
