Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,TPP vote,TPP vote
Date,Firm,Sample size,L/NP,ALP,GRN,PUP,KAP,IND,OTH,ALP,L/NP
Date,Firm,Sample size,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,Unnamed: 10_level_2,Unnamed: 11_level_2
7 Sep 2013,2013 election,2013 election,45.5%,33.4%,8.6%,5.5%,1.0%,1.4%,4.5%,46.5%,53.5%
7 Sep 2013,Morgan (exit poll 2)[5],—N/a,42%,33.5%,11%,5%,—N/a,—N/a,8%,48%,52%
7 Sep 2013,Morgan (exit poll 1)[5],—N/a,42%,34.5%,11%,5%,—N/a,—N/a,7.5%,48%,52%
4 – 6 Sep 2013,Morgan[1],4937,44%,31.5%,10.5%,6.5%,1%,—N/a,6.5%,46.5%,53.5%
5 Sep 2013,ReachTEL[1],3512,43.5%,33.7%,10.2%,7.0%,1.1%,—N/a,4.6%,47%,53%
5 Sep 2013,Lonergan[1],862,42%,34%,14%,—N/a,—N/a,—N/a,10%,49.2%,50.8%
4 – 5 Sep 2013,Nielsen[1],1431,46%,33%,11%,4%,1%,2%,2%,46%,54%
3 – 5 Sep 2013,Newspoll[1],2511,46%,33%,9%,—N/a,—N/a,—N/a,12%,46%,54%
2 – 4 Sep 2013,Galaxy[1],1503,45%,35%,9%,5%,—N/a,—N/a,6%,47%,53%
1 – 4 Sep 2013,Essential[1][6],1035,43%,35%,10%,—N/a,—N/a,—N/a,10%,48%,52%
30 Aug – 2 Sep 2013,AMR[1],1101,44%,34%,10%,—N/a,—N/a,—N/a,12%,47%,53%
