Date,Firm,Primary vote,Primary vote,Primary vote,Primary vote,TPP vote,TPP vote,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,L/NP*,Labor,Green,Other,Labor,L/NP,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
,,,,,,,,,,,,
4–6 Sep 2013,Morgan (multi),45%,31.5%,9.5%,14%,44.5%,54.5%,,,,,
5 Sep 2013,ReachTEL[8],43.5%,33.7%,10.2%,12.7%,47%,53 %,,,,,
4–5 Sep 2013,Nielsen[9],46%,33%,11%,10%,46%,54%,,,,,
3–5 Sep 2013,Newspoll,46%,33%,9%,12%,46%,54%,,,,,
4 Sep 2013,ReachTEL[10],43.6%,32.7%,10.0%,13.7%,47%,53 %,,,,,
2–4 Sep 2013,Galaxy[11],45%,35%,9%,11%,47%,53%,,,,,
1–4 Sep 2013,Essential[e 1],43%,35%,10%,12%,48%,52%,,,,,
3 Sept 2013,ReachTEL[12],44.2%,35.3%,9.7%,10.7%,48%,52%,,,,,
30 Aug–1 Sep 2013,Morgan (multi),43%,34%,11%,12%,48%,52%,,,,,
30 Aug–1 Sep 2013,Newspoll,46%,33%,10%,11%,46%,54%,,,,,
29 Aug–1 Sep 2013,Essential[e 2],44%,35%,11%,10%,48%,52%,,,,,
28–29 Aug 2013,Galaxy[13],46%,35%,10%,9%,47%,53%,,,,,
28–29 Aug 2013,Morgan (multi),44%,30.5%,12%,13.5%,46%,54%,,,,,
26 Aug 2013,ReachTEL[14],46.5%,35.7%,10.1%,7.7%,47%,53%,,,,,
21–25 Aug 2013,Essential[e 3],43%,38%,11%,9%,50%,50%,,,,,
23–25 Aug 2013,Newspoll,47%,37%,9%,7%,47%,53%,,,,,
23–25 Aug 2013,Morgan (multi),45%,34.5%,11%,9.5%,47.5%,52.5%,,,,,
18–22 Aug 2013,Nielsen[15],47%,35%,10%,7%,47%,53%,,,,,
16–18 Aug 2013,Newspoll,47%,34%,9%,10%,46%,54%,,,,,
16–18 Aug 2013,Morgan (multi),44.5%,36.5%,9.5%,9.5%,48%,52%,,,,,
16–18 Aug 2013,AMR[16],41%,38%,10%,11%,50%,50%,,,,,
14–18 Aug 2013,Essential[e 4],44%,40%,8%,8%,50%,50%,,,,,
14–15 Aug 2013,Galaxy[17],45%,36%,10%,9%,48%,52%,,,,,
12–13 Aug 2013,Morgan (phone)[18],52%,31%,9%,8%,43%,57%,,,,,
9–12 Aug 2013,Essential[e 5],43%,39%,8%,10%,49%,51%,,,,,
9–11 Aug 2013,Newspoll,46%,35%,11%,8%,48%,52%,,,,,
9–11 Aug 2013,Morgan (multi),44%,36.5%,10.5%,9%,48.5%,51.5%,,,,,
10 Aug 2013,ReachTEL[19],46.9%,36.9%,8.9%,7.4%,47%,53%,,,,,
