Date,Firm,Better PM,Better PM,Unnamed: 4_level_0,Rudd,Rudd,Abbott,Abbott
Unnamed: 0_level_1,Unnamed: 1_level_1,Rudd,Abbott,Unnamed: 4_level_1,Satisfied,Dissatisfied,Satisfied,Dissatisfied
,,,,,,,,
4–5 Sep 2013,Newspoll,43%,45%,,33%,58%,44%,50%
4–5 Aug 2013,Nielsen[9],47%,46%,,43%,52%,46%,51%
5 Sep 2013,ReachTEL[8],47.1%,52.9%,,not asked,not asked,not asked,not asked
4 Sep 2013,ReachTEL[10],45.9%,54.1%,,not asked,not asked,not asked,not asked
3 Sep 2013,ReachTEL[12],47.1%,52.9%,,not asked,not asked,not asked,not asked
30 Aug–1 Sep 2013,Newspoll,41%,43%,,32%,58%,41%,51%
26 Aug 2013,ReachTEL[14],46.4%,53.6%,,not asked,not asked,not asked,not asked
23–25 Aug 2013,Newspoll,44%,40%,,36%,52%,42%,49%
18–22 Aug 2013,Nielsen[15],48%,45%,,43%,51%,44%,52%
16–18 Aug 2013,Newspoll,43%,41%,,35%,54%,41%,51%
9–11 Aug 2013,Newspoll,46%,37%,,39%,48%,38%,52%
10 Aug 2013,ReachTEL[19],46.8%,53.2%,,not asked,not asked,not asked,not asked
6–8 Aug 2013,Nielsen[21],50%,42%,,48%,47%,45%,52%
2–4 Aug 2013,Newspoll,47%,33%,,38%,47%,34%,56%
4 Aug 2013,ReachTEL[22],49.1%,50.9%,,not asked,not asked,not asked,not asked
19–21 Jul 2013,Newspoll,50%,34%,,42%,41%,35%,56%
18 Jul 2013,ReachTEL[22],52.4%,47.6%,,not asked,not asked,not asked,not asked
11–13 Jul 2013,Nielsen[24],55%,41%,,51%,43%,35%,56%
5–7 Jul 2013,Newspoll,53%,31%,,43%,36%,41%,56%
28–30 Jun 2013,Newspoll,49%,35%,,36%,36%,35%,56%
27 Jun 2013,ReachTEL[22],51.6%,48.4%,,not asked,not asked,not asked,not asked
,,Gillard,Abbott,,Gillard,Gillard,Abbott,Abbott
21–23 Jun 2013,Newspoll,33%,45%,,28%,62%,36%,53%
13–15 Jun 2013,Nielsen[26],41%,50%,,36%,61%,44%,53%
31 May–2 Jun 2013,Newspoll,35%,43%,,28%,62%,37%,53%
17–19 May 2013,Newspoll,39%,40%,,31%,59%,37%,54%
16–18 May 2013,Nielsen[28],46%,46%,,40%,56%,42%,54%
3–5 May 2013,Newspoll,37%,42%,,29%,61%,36%,51%
3 May 2013,ReachTEL[22],40.6%,59.4%,,not asked,not asked,not asked,not asked
19–21 Apr 2013,Newspoll,35%,40%,,30%,60%,36%,53%
11–14 Apr 2013,Nielsen[30],42%,50%,,37%,59%,43%,53%
4 Aug 2013,ReachTEL[22],43.6%,56.5%,,not asked,not asked,not asked,not asked
4–7 Apr 2013,Newspoll,37%,40%,,28%,62%,35%,54%
22–24 Mar 2013,Newspoll,35%,43%,,26%,65%,39%,50%
14–16 Mar 2013,Nielsen[33],43%,49%,,38%,58%,43%,53%
8–10 Mar 2013,Newspoll,42%,38%,,32%,57%,36%,55%
22–24 Feb 2013,Newspoll,36%,40%,,30%,58%,33%,55%
14–16 Feb 2013,Nielsen[33],45%,49%,,40%,56%,42%,55%
1–3 Feb 2013,Newspoll,41%,39%,,36%,52%,33%,56%
11–13 Jan 2013,Newspoll,45%,33%,,38%,49%,29%,58%
13–15 Dec 2012,Nielsen[33],50%,40%,,46%,50%,34%,63%
7–9 Dec 2012,Newspoll,43%,34%,,36%,52%,28%,59%
23–25 Nov 2012,Newspoll,46%,33%,,37%,52%,30%,61%
15–17 Nov 2012,Nielsen[33],51%,42%,,47%,48%,36%,60%
9–11 Nov 2012,Newspoll,46%,32%,,37%,52%,27%,63%
26–28 Oct 2012,Newspoll,45%,34%,,35%,51%,30%,58%
18–20 Oct 2012,Nielsen[36],50%,40%,,47%,48%,37%,60%
5–7 Oct 2012,Newspoll,43%,33%,,36%,50%,33%,55%
14–16 Sep 2012,Newspoll,46%,32%,,36%,52%,30%,60%
13–15 Sep 2012,Nielsen[36],47%,44%,,42%,53%,36%,59%
2–4 Sep 2012,Newspoll,39%,38%,,31%,57%,31%,59%
23–25 Aug 2012,Nielsen[36],46%,45%,,39%,57%,39%,57%
17–19 Aug 2012,Newspoll,38%,38%,,27%,60%,34%,54%
3–5 Aug 2012,Newspoll,36%,38%,,29%,59%,32%,56%
26–28 Jul 2012,Nielsen[36],43%,48%,,37%,58%,39%,56%
20–22 Jul 2012,Newspoll,36%,40%,,29%,62%,30%,61%
6–8 Jul 2012,Newspoll,36%,39%,,27%,61%,32%,57%
22–24 Jun 2012,Newspoll,39%,38%,,30%,59%,31%,58%
7–10 Jun 2012,Newspoll,42%,38%,,32%,58%,32%,59%
31 May–2 Jun 2012,Nielsen[37],44%,46%,,36%,60%,39%,57%
25–27 May 2012,Newspoll,40%,37%,,30%,60%,31%,60%
11–13 May 2012,Newspoll,36%,40%,,27%,63%,34%,56%
9–10 May 2012,Nielsen[37],42%,50%,,35%,60%,44%,52%
27–29 Apr 2012,Newspoll,36%,41%,,28%,63%,33%,55%
13–15 Apr 2012,Newspoll,39%,41%,,28%,62%,35%,54%
29–31 Mar 2012,Nielsen[37],45%,48%,,36%,59%,39%,56%
23–25 Mar 2012,Newspoll,40%,37%,,31%,58%,32%,58%
9–11 Mar 2012,Newspoll,39%,37%,,28%,62%,32%,58%
24–26 Feb 2012,Newspoll,36%,38%,,26%,64%,31%,57%
22–23 Feb 2012,Nielsen[37],46%,47%,,36%,60%,41%,56%
10–12 Feb 2012,Newspoll,37%,40%,,32%,57%,36%,52%
2–4 Feb 2012,Nielsen[39],48%,46%,,40%,55%,41%,54%
27–29 Jan 2012,Newspoll,40%,37%,,33%,55%,32%,55%
8–10 Dec 2011,Nielsen[39],42%,46%,,35%,58%,41%,53%
2–4 Dec 2011,Newspoll,43%,36%,,36%,56%,33%,57%
18–20 Nov 2011,Newspoll,40%,35%,,34%,55%,34%,55%
10–12 Nov 2011,Nielsen[40],45%,45%,,39%,57%,41%,54%
4–6 Nov 2011,Newspoll,39%,40%,,30%,60%,34%,57%
21–23 Oct 2011,Newspoll,36%,39%,,31%,61%,34%,55%
13–15 Oct 2011,Nielsen[40],44%,48%,,33%,62%,41%,54%
7–9 Oct 2011,Newspoll,35%,40%,,28%,60%,36%,53%
16–18 Sep 2011,Newspoll,35%,40%,,27%,61%,34%,54%
8–10 Sep 2011,Nielsen[40],40%,48%,,32%,62%,43%,52%
2–4 Sep 2011,Newspoll,34%,43%,,23%,68%,39%,52%
19–21 Aug 2011,Newspoll,38%,39%,,29%,61%,36%,55%
11–13 Aug 2011,Nielsen[40],44%,47%,,38%,57%,43%,52%
5–7 Aug 2011,Newspoll,39%,40%,,33%,58%,39%,52%
22–24 Jul 2011,Newspoll,40%,41%,,32%,59%,39%,52%
14–16 Jul 2011,Nielsen[40],40%,51%,,34%,62%,47%,48%
8–10 Jul 2011,Newspoll,38%,43%,,30%,59%,42%,49%
24–26 Jun 2011,Newspoll,39%,40%,,28%,62%,39%,52%
14–16 Jun 2011,Nielsen[40],46%,46%,,37%,59%,46%,50%
10–12 Jun 2011,Newspoll,41%,38%,,30%,55%,35%,52%
27–29 May 2011,Newspoll,44%,37%,,35%,54%,37%,53%
13–15 May 2011,Newspoll,42%,38%,,34%,55%,38%,51%
12–14 May 2011,Nielsen[40],47%,44%,,43%,52%,45%,50%
29 Apr–1 May 2011,Newspoll,45%,36%,,38%,49%,42%,48%
14–16 Apr 2011,Nielsen[40],50%,42%,,45%,50%,42%,51%
1–3 Apr 2011,Newspoll,46%,37%,,39%,49%,36%,53%
18–20 Mar 2011,Newspoll,50%,31%,,40%,47%,33%,54%
10–12 Mar 2011,Nielsen[40],51%,42%,,47%,47%,43%,52%
4–6 Mar 2011,Newspoll,45%,36%,,39%,51%,39%,51%
18–20 Feb 2011,Newspoll,53%,31%,,50%,39%,38%,49%
10–12 Feb 2011,Nielsen[40],51%,41%,,52%,43%,46%,49%
4–6 Feb 2011,Newspoll,48%,35%,,45%,42%,42%,44%
3–5 Dec 2010,Newspoll,52%,32%,,45%,38%,42%,43%
19–21 Nov 2010,Newspoll,54%,31%,,46%,37%,42%,45%
18–20 Nov 2010,Nielsen[42],53%,40%,,54%,39%,47%,48%
5–7 Nov 2010,Newspoll,49%,34%,,41%,41%,44%,42%
22–24 Oct 2010,Newspoll,53%,32%,,44%,37%,41%,46%
21–23 Oct 2010,Nielsen[42],53%,39%,,54%,39%,45%,50%
8–10 Oct 2010,Newspoll,52%,31%,,48%,33%,39%,47%
10–12 Sep 2010,Newspoll,50%,34%,,44%,36%,48%,38%
2010 election,–,–,–,,–,–,–,–
17–19 Aug 2010,Newspoll,50%,37%,,44%,43%,42%,50%
^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.,^ Remainder were uncommitted.
