Date,Firm,Preferred prime minister,Preferred prime minister,Unnamed: 4_level_0,Satisfied,Dissatisfied,Satisfied,Dissatisfied
Unnamed: 0_level_1,Unnamed: 1_level_1,Turnbull,Shorten,Unnamed: 4_level_1,Turnbull,Turnbull,Shorten,Shorten
28 Jun – 1 Jul 2016,Newspoll[2],48%,31%,,40%,47%,36%,51%
30 Jun 2016,ReachTEL[3],52.9%,47.1%,,,,,
26–29 Jun 2016,Ipsos[6],49%,35%,,49%,41%,42%,50%
23–26 Jun 2016,Essential[7],40%,29%,,40%,40%,37%,39%
23–26 Jun 2016,Newspoll[8],45%,30%,,37%,51%,35%,50%
23 Jun 2016,ReachTEL[9],58.4%,41.6%,,,,,
16–19 Jun 2016,Newspoll[13],46%,31%,,36%,51%,35%,51%
16 Jun 2016,ReachTEL[14],57.6%,42.4%,,,,,
14–16 Jun 2016,Ipsos[15],48%,34%,,47%,42%,43%,47%
9–12 Jun 2016,Essential[16],40%,29%,,38%,40%,34%,40%
9 Jun 2016,ReachTEL[17],55.4%,44.6%,,,,,
2–5 Jun 2016,Newspoll[19],45%,30%,,37%,51%,33%,52%
2 Jun 2016,ReachTEL[20],55.6%,44.4%,,,,,
31 May – 2 Jun 2016,Ipsos[21],49%,31%,,45%,42%,41%,47%
26–29 May 2016,Essential[22],40%,27%,,41%,39%,34%,44%
26 May 2016,ReachTEL[24],54.9%,45.1%,,,,,
19–22 May 2016,Newspoll[26],46%,31%,,38%,50%,37%,49%
19 May 2016,ReachTEL[27],55.6%,44.4%,,,,,
17–19 May 2016,Ipsos[28],47%,30%,,48%,38%,40%,46%
12–15 May 2016,Essential[30],43%,28%,,40%,42%,34%,43%
5–8 May 2016,Newspoll[33],49%,27%,,38%,49%,33%,52%
5–7 May 2016,Ipsos[33],51%,29%,,48%,40%,38%,49%
5 May 2016,ReachTEL[35],57.7%,42.3%,,,,,
4–5 May 2016,Morgan,57%,24%,,43%,41%,34%,49%
14–17 Apr 2016,Newspoll[39],47%,28%,,36%,49%,31%,52%
14–16 Apr 2016,Ipsos[42],54%,27%,,51%,38%,33%,55%
14 Apr 2016,ReachTEL[43],58.4%,41.6%,,,,,
Apr 2016,Essential[44],44%,22%,,39%,39%,30%,44%
31 Mar–3 Apr 2016,Newspoll[45],48%,27%,,38%,48%,32%,53%
Mar 2016,Essential[44],48%,19%,,45%,35%,27%,47%
21 Mar 2016,ReachTEL[35],60.0%,40.0%,,,,,
10–12 Mar 2016,Ipsos[51],61%,24%,,55%,32%,33%,52%
3–6 Mar 2016,Newspoll[52],55%,21%,,44%,41%,30%,55%
Feb 2016,Essential[61],52%,15%,,51%,27%,27%,48%
18–21 Feb 2016,Newspoll[56],55%,21%,,48%,38%,28%,57%
11–13 Feb 2016,Ipsos[59],64%,19%,,62%,24%,30%,55%
11 Feb 2016,ReachTEL[60],74.9%,25.1%,,,,,
Jan 2016,Essential[61],51%,18%,,51%,25%,27%,47%
28–31 Jan 2016,Newspoll[63],59%,20%,,53%,31%,25%,60%
Dec 2015,Essential[61],54%,15%,,56%,23%,27%,47%
4–6 Dec 2015,Newspoll[71],60%,14%,,52%,30%,23%,61%
Nov 2015,Essential[79],55%,14%,,56%,20%,27%,47%
26 Nov 2015,ReachTEL[74],71.4%,28.6%,,,,,
19–22 Nov 2015,Newspoll[76],64%,15%,,60%,22%,26%,57%
12–14 Nov 2015,Ipsos[78],69%,18%,,69%,16%,29%,57%
6–8 Nov 2015,Newspoll[80],55%,14%,,56%,20%,27%,47%
Oct 2015,Essential,48%,19%,,47%,17%,30%,42%
23–25 Oct 2015,Newspoll[174],63%,17%,,58%,23%,26%,58%
20–22 Oct 2015,Morgan[175],76%,14%,,66%,18%,25%,62%
