Date,Firm,Preferred prime minister,Preferred prime minister,Unnamed: 4_level_0,Morrison,Morrison,Shorten,Shorten,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
Unnamed: 0_level_1,Unnamed: 1_level_1,Morrison,Shorten,Unnamed: 4_level_1,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
15–16 May 2019,Newspoll[2],45%,38%,,46%,45%,41%,49%,,,
12–15 May 2019,Ipsos[4],47%,40%,,48%,43%,43%,48%,,,
1–4 Apr 2019,Ipsos[11],46%,35%,,47%,44%,40%,51%,,,
3–6 Apr 2019,Ipsos[197],46%,35%,,48%,39%,36%,51%,,,
17 Feb 2019,Ipsos[28],48%,38%,,49%,40%,40%,52%,,,
7–10 Feb 2019,Newspoll[30],44%,35%,,43%,45%,36%,51%,,,
13–15 Dec 2018,Ipsos[35],46%,37%,,47%,39%,41%,50%,,,
8–11 Nov 2018,Newspoll[40],42%,36%,,39%,47%,35%,50%,,,
25–28 Oct 2018,Newspoll[42],43%,35%,,41%,44%,37%,50%,,,
19–21 Oct 2018,Essential[43],42%,27%,,43%,28%,33%,28%,,,
22–24 Sep 2018,Essential[47],39%,27%,,37%,31%,35%,31%,,,
20–23 Sep 2018,Newspoll[48],45%,32%,,44%,39%,32%,54%,,,
8–10 Sep 2018,Essential[50],39%,27%,,37%,31%,35%,43%,,,
6–9 Sep 2018,Newspoll[51],42%,36%,,41%,39%,37%,51%,,,
24–25 Aug 2018,Newspoll[54],33%,39%,,–,–,–,–,,,
24 Aug 2018,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader,Scott Morrison replaces Malcolm Turnbull as Liberal leader
,,Turnbull,Shorten,Turnbull,Turnbull,Turnbull,Shorten,Shorten,Shorten,,
9–12 Aug 2018,Newspoll[56],44%,32%,,36%,55%,32%,56%,,,
26–29 Jul 2018,Newspoll[58],48%,29%,,42%,48%,32%,57%,,,
18–21 Jul 2018,Ipsos[198],57%,30%,,55%,38%,38%,54%,,,
16 July 2018,Newspoll[199],48%,29%,,39%,50%,33%,55%,,,
10–13 May 2018,Newspoll[71],46%,32%,,41%,49%,32%,56%,,,
3–6 May 2018,Essential[200],40%,26%,,40%,42%,37%,41%,,,
4–6 Mar 2018,Essential[148],37%,35%,,-,-,-,-,,,
26–30 Apr 2017,Essential[148],45%,31%,,35%,47%,33%,47%,,,
20–23 Apr 2017,Newspoll[149],42%,33%,,32%,57%,33%,53%,,,
30 Mar – 2 April 2017,Newspoll[153],41%,32%,,30%,59%,32%,54%,,,
22–25 Mar 2017,Ipsos[155],45%,33%,,-,-,-,-,,,
17–20 Mar 2017,Essential[157],43%,29%,,-,-,-,-,,,
16–19 Mar 2017,Newspoll[158],43%,29%,,30%,57%,29%,57%,,,
10–13 Mar 2017,Essential[159],38%,26%,,33%,50%,30%,49%,,,
23–26 Feb 2017,Newspoll[201],40%,33%,,29%,59%,30%,56%,,,
2–5 Feb 2017,Newspoll[164],42%,30%,,35%,54%,32%,54%,,,
1–4 Dec 2016,Newspoll[169],41%,32%,,32%,55%,34%,51%,,,
24–26 Nov 2016,Ipsos[171],51%,30%,,45%,45%,37%,53%,,,
17–20 Nov 2016,Newspoll[172],43%,33%,,34%,54%,36%,51%,,,
3–6 Nov 2016,Newspoll[174],42%,32%,,30%,58%,36%,51%,,,
20–23 Oct 2016,Newspoll[175],42%,32%,,29%,57%,36%,51%,,,
6–9 Oct 2016,Newspoll[178],45%,30%,,31%,56%,35%,51%,,,
9–12 Sep 2016,Essential[180],41%,26%,,35%,43%,36%,41%,,,
8–11 Sep 2016,Newspoll[181],43%,31%,,34%,53%,35%,52%,,,
25–28 Aug 2016,Newspoll[183],43%,32%,,34%,52%,36%,50%,,,
5–8 Aug 2016,Essential[186],40%,30%,,38%,43%,37%,41%,,,
6–10 Jul 2016,Essential[190],39%,31%,,37%,48%,39%,41%,,,
2 July 2016 election,,,,,,,,,,,
28 Jun – 1 July 2016,Newspoll[192],48%,31%,,40%,47%,36%,51%,,,
30 June 2016,ReachTEL[193],52.9%,47.1%,,-,-,-,-,,,
26–29 Jun 2016,Ipsos[196],49%,35%,,49%,41%,42%,50%,,,
23–26 Jun 2016,Essential[202],40%,29%,,40%,40%,37%,39%,,,
"^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.","^ Remainder were ""uncommitted"" to either leader.",,,
