Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote,2pp vote
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,UAP,OTH,UND,L/NP,ALP
23 May–5 Jun 2022,ANU[9] (Post-Exit Poll),CATI/online,3556,31.9%,35.4%,19.8%,—N/a,—N/a,12.9%[a],—N/a,—N/a,—N/a
21 May 2022,Election[10][11],Election[10][11],Election[10][11],35.7%,32.6%,12.2%,5.0%,4.1%,10.4%,—,47.9%,52.1%
21–25 May 2022,Dynata (Exit Poll)[12],Online,1424,33%,41%,11%,4%,—N/a,11%,—N/a,—N/a,—N/a
13–19 May 2022,Newspoll-YouGov[13],Online,2188,35%,36%,12%,5%,3%,9%,—N/a,47%,53%
15–18 May 2022,Ipsos[14],Telephone/online,1996,35%,36%,13%,5%,3%,8%,—N/a,47%,53%
12–17 May 2022,Resolve Strategic[15][16],Telephone/online,2049,34.4%,31.3%,13.5%,5.8%,4.4%,10.5%[b],—N/a,48.8%,51.2%
14–16 May 2022,Essential[17],Online,1600,36%,35%,9%,4%,3%,6%[c],7%,46%,48%
9–15 May 2022,Roy Morgan[18],Telephone/online,1366,34%,34%,13%,4%,1%,14%,—N/a,47%,53%
10–13 May 2022,Newspoll-YouGov[19],Online,1532,35%,38%,11%,6%,3%,7%,—N/a,46%,54%
9 May 2022,Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20],Early voting begins[20]
2–8 May 2022,Roy Morgan[21],Telephone/online,1401,34%,35.5%,13%,4%,1%,12.5%,—N/a,45.5%,54.5%
4–7 May 2022,Newspoll-YouGov[22],Online,1523,35%,39%,11%,5%,4%,6%,—N/a,46%,54%
4–7 May 2022,Ipsos[23],Telephone/online,2311,29%,35%,12%,4%,3%,10%,7%,43%,57%
25 Apr–1 May 2022,Roy Morgan[24],Telephone/online,1487,35%,35%,13%,3%,1%,13%,—N/a,44.5%,55.5%
27–30 Apr 2022,Essential[25],Online,1500,36%,35%,10%,3%,4%,5%,6%,45%,49%
27–30 Apr 2022,Newspoll-YouGov[26],Online,1538,36%,38%,11%,5%,4%,6%,—N/a,47%,53%
27–30 Apr 2022,Resolve Strategic[27],Online,1408,33%,34%,15%,5%,5%,8%,—N/a,46%,54%
18–24 Apr 2022,Roy Morgan[28],Telephone/online,1393,35.5%,35%,12%,4.5%,1.5%,11.5%,—N/a,45.5%,54.5%
20–23 Apr 2022,Newspoll-YouGov[29],Online,1538,36%,37%,11%,3%,4%,9%,—N/a,47%,53%
20–23 Apr 2022,Ipsos[30],Telephone/online,2302,32%,34%,12%,4%,3%,8%,8%,45%,55%
19–20 Apr 2022,Essential[31],Online,1052,37%,35%,9%,3%,4%,5%,7%,46%,47%
11–17 Apr 2022,Roy Morgan[32],Telephone/online,1382,35.5%,35%,14%,4.5%,1.5%,9.5%,—N/a,45%,55%
