Date,Brand,Seat,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote,2PP vote
Date,Brand,Seat,Sample size,Lib,ALP,GRN,IND,ON,UAP,OTH,Lib,ALP,IND
16 May 2022,Utting Research[167],Curtin,514,38%,13%,9%,32%,,3%,4%,48%,—N/a,52%
15–16 May 2022,YouGov[168],Pearce,411,40%,43%,4%,—N/a,1%,2%,9%[note 2],47%,53%,—N/a
12–13 May 2022,Utting Research[169],Swan,—N/a,39%,38%,10%,—N/a,4%,3%,—N/a,47%,53%,—N/a
12–13 May 2022,Utting Research[169],Pearce,—N/a,32%,30%,12%,—N/a,7%,6%,—N/a,48%,52%,—N/a
12–13 May 2022,Utting Research[169],Hasluck,—N/a,39%,31%,10%,—N/a,9%,6%,—N/a,55%,45%,—N/a
12–13 May 2022,Utting Research[169],Tangney,—N/a,47%,35%,8%,—N/a,2%,2%,—N/a,54%,46%,—N/a
14 Apr – 7 May 2022,YouGov[151],Brand,—N/a,27%,46%,12%,[note 1],7%,3%,5%,40%,60%,—N/a
14 Apr – 7 May 2022,YouGov[158],Curtin,—N/a,41%,24%,15%,[note 1],3%,3%,14%,56%,44%,—N/a
14 Apr – 7 May 2022,YouGov[151],Burt,—N/a,28%,46%,13%,[note 1],5%,2%,6%,38%,62%,—N/a
14 Apr – 7 May 2022,YouGov[151],Canning,—N/a,39%,33%,8%,[note 1],6%,1%,13%,53%,47%,—N/a
14 Apr – 7 May 2022,YouGov[151],Cowan,—N/a,31%,46%,13%,[note 1],5%,2%,3%,41%,59%,—N/a
14 Apr – 7 May 2022,YouGov[151],Durack,—N/a,46%,26%,10%,[note 1],13%,2%,3%,61%,39%,—N/a
14 Apr – 7 May 2022,YouGov[151],Forrest,—N/a,47%,26%,13%,[note 1],9%,1%,4%,60%,40%,—N/a
14 Apr – 7 May 2022,YouGov[151],Fremantle,—N/a,33%,43%,15%,[note 1],3%,2%,4%,41%,59%,—N/a
14 Apr – 7 May 2022,YouGov[151],Hasluck,—N/a,39%,32%,13%,[note 1],5%,5%,6%,52%,48%,—N/a
14 Apr – 7 May 2022,YouGov[151],Moore,—N/a,45%,32%,11%,[note 1],3%,3%,6%,55%,45%,—N/a
14 Apr – 7 May 2022,YouGov[151],O'Connor,—N/a,50%,26%,10%,[note 1],9%,1%,4%,61%,39%,—N/a
14 Apr – 7 May 2022,YouGov[151],Pearce,—N/a,39%,37%,12%,[note 1],5%,2%,5%,48%,52%,—N/a
14 Apr – 7 May 2022,YouGov[151],Perth,—N/a,28%,42%,21%,[note 1],3%,2%,4%,37%,63%,—N/a
14 Apr – 7 May 2022,YouGov[151],Swan,—N/a,34%,42%,13%,[note 1],4%,3%,4%,43%,57%,—N/a
14 Apr – 7 May 2022,YouGov[151],Tangney,—N/a,46%,33%,11%,[note 1],3%,2%,5%,55%,45%,—N/a
11–14 Mar 2022,Utting Research[170],Curtin,718,42%,20%,9%,24%,—N/a,2%,—N/a,51%,—N/a,49%
11–14 Mar 2022,Utting Research[171],Tangney,750,41%,41%,7%,—N/a,2%,2%,8%,50%,50%,—N/a
11–14 Mar 2022,Utting Research[171],Hasluck,750,37%,39%,7%,—N/a,4%,3%,10%,48%,52%,—N/a
11–14 Mar 2022,Utting Research[171],Pearce,750,34%,44%,5%,—N/a,5%,5%,7%,45%,55%,—N/a
11–14 Mar 2022,Utting Research[171],Swan,750,32%,46%,7%,—N/a,3%,5%,7%,41%,59%,—N/a
