Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
Date,Firm,Sample size,L/NP,ALP,GRN,ONP,UAP,IND,OTH,ALP,L/NP
12–17 May 2022,Resolve Strategic[15],—N/a,35%,32%,14%,3%,4%,6%,6%,52.1%,47.9%
17 May 2022,Roy Morgan[18],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57%,43%
10 May 2022,Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,61%,39%
3 May 2022,Roy Morgan[186],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,63.5%,36.5%
30 Apr 2022,Resolve Strategic[187],—N/a,30%,35%,16%,5%,7%,4%,3%,56%,44%
27 Apr 2022,Roy Morgan[28],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60%,40%
20 Apr 2022,Roy Morgan[32],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
16 Apr 2022,Resolve Strategic[187],—N/a,35%,32%,12%,1%,7%,7%,6%,51.3%,48.7%
11 Apr 2022,Roy Morgan[188],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
4 Apr 2022,Roy Morgan[189],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60.5%,39.5%
3 Apr 2022,Resolve Strategic[187],—N/a,34%,36%,11%,1%,5%,9%,3%,51.8%,48.2%
29 Apr 2022,Roy Morgan[190],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60%,40%
14-20 Mar 2022,Roy Morgan[191],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,64%,36%
14-23 Feb 2022,Roy Morgan[192],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60%,40%
20 Feb 2022,Resolve Strategic[187],—N/a,31%,31%,11%,0%,7%,13%,6%,52.7%,47.3%
18 Feb 2022,Roy Morgan[193],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57.5%,42.5%
4–16 Jan 2022,Roy Morgan[59],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,59%,41%
15 Jan 2022,Resolve Strategic[187],—N/a,29%,40%,11%,1%,4%,10%,4%,58.6%,41.4%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58.5%,41.5%
"13–14, 20–21 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
20 Nov 2021,Resolve Strategic[187],—N/a,37%,35%,12%,0%,5%,8%,5%,52.3%,47.7%
"30–31 Oct, 6–7 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,55%,45%
24 Oct 2021,Resolve Strategic[187],—N/a,36%,33%,13%,1%,4%,12%,5%,52.1%,47.9%
19 Sep 2021,Resolve Strategic[187],—N/a,38%,33%,11%,2%,2%,10%,5%,50.6%,49.4%
Jul – Sep 2021,Resolve Strategic[205],—N/a,37%,35%,11%,1%,—N/a,—N/a,15%,51.9%,48.1%
22 Aug 2021,Resolve Strategic[187],—N/a,39%,33%,13%,0%,—N/a,11%,5%,50.7%,49.3%
"18–19, 25–26 Sep 2021",Roy Morgan[81],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,56%,44%
14 Jul – 18 Sep 2021,Newspoll[citation needed],1731,35%,42%,12%,0%,—N/a,—N/a,11%,58%,42%
"4–5, 11–12 Sep 2021",Roy Morgan[84],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57%,43%
"21–22, 28–29 Aug 2021",Roy Morgan[85],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,59.5%,40.5%
"7–8, 14–15 Aug 2021",Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60%,40%
"24–25, 31 Jul – 1 Aug 2021",Roy Morgan[90],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,59.5%,40.5%
"10–11, 17–18 Jul 2021",Resolve Strategic[93],—N/a,34%,40%,11%,0%,—N/a,—N/a,13%,56.3%,43.7%
"10–11, 17–18 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,56.5%,43.5%
21 Apr – 26 Jun 2021,Newspoll[citation needed],1536,40%,37%,13%,1%,—N/a,—N/a,9%,53%,47%
13 Jun 2021,Resolve Strategic[197],—N/a,37%,37%,10%,1%,—N/a,—N/a,15%,52.6%,47.6%
"29–30 May, 5–6 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
12–16 May 2021,Resolve Strategic[101],—N/a,41%,34%,12%,0%,—N/a,—N/a,13%,50%,50%
16 Apr 2021,Resolve Strategic[175],—N/a,33%,34%,12%,6%,—N/a,—N/a,14%,52%,48%
27 Jan – 27 Mar 2021,Newspoll[206],1506,40%,39%,10%,1%,—N/a,—N/a,10%,53%,47%
"6–7, 13–14 Feb 2021",Roy Morgan[199],2786,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,55%,45%
26 Aug – 28 Nov 2020,Newspoll[200],2160,39%,39%,14%,0%,—N/a,—N/a,8%,55%,45%
"14–15, 21–22 Nov 2020",Roy Morgan[114],2824,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
"8–9, 15–16 Aug 2020",Roy Morgan[120],2841,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52%,48%
3 Jun – 8 Aug 2020,Newspoll[201],457–2034,37%,40%,14%,1%,—N/a,—N/a,8%,56%,44%
"11–12, 18–19 Jul 2020",Roy Morgan[123],2589,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53.5%,46.5%
11 Mar – 16 May 2020,Newspoll[202],472–1905,39%,40%,13%,1%,—N/a,—N/a,7%,55%,45%
7–8 Dec 2019,Newspoll[203],930–1472,40%,38%,12%,1%,—N/a,—N/a,11%,53%,47%
Election: 18 May 2019,[204],[204],38.58%,36.86%,11.89%,0.95%,3.64%,3.90%,4.%,53.14%,46.86%
