Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote
Date,Firm,Sample size,LNP,ALP,GRN,ONP,OTH,ALP,L/NP
17 May 2022,Roy Morgan[18],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
10 May 2022,Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,40%,60%
3 May 2022,Roy Morgan[186],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57.5%,42.5%
27 Apr 2022,Roy Morgan[28],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,64.5%,35.5%
20 Apr 2022,Roy Morgan[32],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,61%,39%
11 Apr 2022,Roy Morgan[188],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,69%,31%
4 Apr 2022,Roy Morgan[189],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,74%,26%
29 Mar 2022,Roy Morgan[190],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
14-20 Mar 2022,Roy Morgan[191],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60%,40%
14-23 Feb 2022,Roy Morgan[192],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,75%,25%
18 Feb 2022,Roy Morgan[193],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,65%,35%
4–16 Jan 2022,Roy Morgan[59],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60.5%,39.5%
"27–28 Dec, 4–5 Dec 2021",Roy Morgan[65],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,51.5%,48.5%
"13–14, 20–21 Nov 2021",Roy Morgan[70],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,53%,47%
"30–31 Oct, 6–7 Nov 2021",Roy Morgan[72],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57.5%,42.5%
"18–19, 25–26 Sep 2021",Roy Morgan[81],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,52%,48%
"4–5, 11–12 Sep 2021",Roy Morgan[84],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,55.5%,44.5%
"21–22, 28–29 Aug 2021",Roy Morgan[85],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,63.5%,36.5%
"7–8, 14–15 Aug 2021",Roy Morgan[185],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,57%,43%
"24–25, 31 July − 1 Aug 2021",Roy Morgan[90],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,54%,46%
"10–11, 17–18 Jun 2021",Roy Morgan[citation needed],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
"14–15, 21–22 Nov 2020",[citation needed],2824,—N/a,—N/a,—N/a,—N/a,—N/a,48%,52%
"11–12, 18–19 Jul 2020",Roy Morgan[123],2589,—N/a,—N/a,—N/a,—N/a,—N/a,58%,42%
Election: 18 May 2019,[204],[204],34.60%,33.61%,10.12%,2.79%,18.88%,55.96%,44.04%
