Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote,2pp vote
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,OTH,UND,L/NP,ALP
8–13 Dec 2021,Essential[61],Online,1095,36%,36%,9%,4%,6%,8%,45%,47%
"11–12, 18–19 Dec 2021",Roy Morgan[62][63],Telephone/online,—N/a,34.5%,37%,11.5%,4%,13%,—N/a,44.5%,55.5%
1–5 Dec 2021,Essential[64],Online,1094,38%,35%,10%,3%,7%,8%,45%,48%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],Telephone/online,2805,34.5%,36%,12.5%,3.5%,13.5%[h],—N/a,43.5%,56.5%
1–4 Dec 2021,Newspoll-YouGov[66],Online,1518,36%,38%,10%,3%,13%,—N/a,47%,53%
17–21 Nov 2021,Essential[67][68],Online,1095,36%,37%,10%,4%,7%,7%,45%,48%
17–21 Nov 2021,Resolve Strategic[69],Online,1781,39%,32%,11%,3%,14%,—N/a,—N/a,—N/a
"13–14, 20–21 Nov 2021",Roy Morgan[70],Telephone/online,2795,35.5%,35.5%,12%,3.5%,13.5%,—N/a,44.5%,55.5%
10–13 Nov 2021,Newspoll-YouGov[71],Online,1524,37%,38%,11%,2%,12%,—N/a,47%,53%
3–7 Nov 2021,Essential[67][68],Online,1089,35%,37%,9%,3%,6%,10%,44%,46%
"30–31 Oct, 6–7 Nov 2021",Roy Morgan[72],Telephone/online,2723,36.5%,35%,11.5%,3%,14%,—N/a,46.5%,53.5%
20–24 Oct 2021,Essential[73],Online,1781,37%,36%,10%,3%,8%,6%,44%,49%
20–24 Oct 2021,Resolve Strategic[74][75],Online,~1600,37%,34%,11%,3%,14%,—N/a,—N/a,—N/a
"16–17, 23–24 Oct 2021",Roy Morgan[76],Telephone/online,2778,36.5%,35%,13.5%,3.5%,11.5%,—N/a,46%,54%
20–23 Oct 2021,Newspoll-YouGov[77],Online,1515[78],35%,38%,11%,3%,13%,—N/a,46%,54%
6–10 Oct 2021,Essential[73],Online,1097,36%,34%,9%,4%,8%,9%,45%,46%
"2–3, 9–10 Oct 2021",Roy Morgan[79],Telephone/online,2794,37.5%,36%,11.5%,3%,12%,—N/a,47%,53%
29 Sep–2 Oct 2021,Newspoll-YouGov[80],Online,1545,37%,37%,11%,2%,13%,—N/a,47%,53%
22–26 Sep 2021,Essential[73],Online,1094,38%,36%,9%,3%,6%,6%,46%,48%
"18–19, 25–26 Sep 2021",Roy Morgan[81],Telephone/online,2752,36%,36%,12.5%,3.5%,12%,—N/a,46%,54%
15–19 Sep 2021,Resolve Strategic[82],Online,1606,39%,31%,10%,4%,16%,—N/a,—N/a,—N/a
15–18 Sep 2021,Newspoll-YouGov[83],Online,2144,37%,38%,10%,3%,12%,—N/a,47%,53%
8–12 Sep 2021,Essential[73],Online,1100,38%,34%,8%,4%,8%,8%,46%,46%
"4–5, 11–12 Sep 2021",Roy Morgan[84],Telephone/online,2735,39.5%,35%,13%,3%,10%,—N/a,47.5%,52.5%
25–29 Aug 2021,Essential[73],Online,1100,38%,36%,10%,4%,6%,7%,45%,48%
"21–22, 28–29 Aug 2021",Roy Morgan[85],Telephone/online,2735,37.5%,38.5%,11.5%,3%,9.5%,—N/a,45.5%,54.5%
25–28 Aug 2021,Newspoll-YouGov[86],Online,1528,36%,40%,10%,3%,11%,—N/a,46%,54%
17–21 Aug 2021,Resolve Strategic[87],Online,1607,40%,32%,12%,2%,14%,—N/a,—N/a,—N/a
16 Aug 2021,Essential[73],Online,—N/a,37%,36%,9%,3%,6%,8%,45%,47%
"7–8, 14–15 Aug 2021",Roy Morgan[88],Telephone/online,2747,37.5%,37.5%,12.5%,3.5%,9%,—N/a,46%,54%
4–7 Aug 2021,Newspoll-YouGov[89],Online,1527,39%,39%,11%,3%,8%,—N/a,47%,53%
2 Aug 2021,Essential[73],Online,—N/a,38%,35%,9%,4%,6%,8%,45%,47%
"24–25, 31 Jul–1 Aug 2021",Roy Morgan[90],Telephone/online,2709,37%,37%,12.5%,3%,10.5%,—N/a,46.5%,53.5%
19 Jul 2021,Essential[91],Online,—N/a,37%,36%,10%,4%,6%,8%,45%,47%
"10–11, 17–18 Jul 2021",Roy Morgan[92],Telephone/online,2737,39%,37%,11.5%,3%,9.5%,—N/a,47.5%,52.5%
13–17 Jul 2021,Resolve Strategic[93],Online,1607,38%,35%,12%,4%,12%,—N/a,—N/a,—N/a
14–17 Jul 2021,Newspoll-YouGov[94],Online,1506,39%,39%,10%,3%,9%,—N/a,47%,53%
5 Jul 2021,Essential[91],Online,—N/a,37%,36%,8%,4%,5%,8%,44%,48%
23–26 Jun 2021,Newspoll-YouGov[95],Online,1513,41%,37%,11%,3%,8%,—N/a,49%,51%
22 Jun 2021,Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96],Barnaby Joyce replaces Michael McCormack as National Party leader and Deputy Prime Minister[96]
21 Jun 2021,Essential[91],Online,—N/a,38%,36%,10%,4%,5%,7%,45%,47%
"12–13, 19–20 Jun 2021",Roy Morgan[97],Telephone/online,2782,41.5%,34.5%,12%,3.5%,8.5%,—N/a,49.5%,50.5%
13 Jun 2021,Resolve Strategic[98],Online,1600,40%,36%,10%,3%,12%,—N/a,—N/a,—N/a
7 Jun 2021,Essential[91],Online,—N/a,38%,35%,10%,4%,7%,7%,44%,48%
"29–30 May, 5–6 Jun 2021",Roy Morgan[99],Telephone/online,2817,40%,35.5%,11.5%,3%,10%,—N/a,49%,51%
2–5 Jun 2021,Newspoll-YouGov[100],Online,1516,41%,36%,11%,3%,9%,—N/a,50%,50%
24 May 2021,Essential[91],Online,—N/a,37%,35%,10%,3%,6%,8%,44%,48%
12–16 May 2021,Resolve Strategic[101],Online,1622,39%,35%,12%,2%,13%,—N/a,—N/a,—N/a
12–15 May 2021,Newspoll-YouGov[102],Online,1506,41%,36%,12%,2%,9%,—N/a,49%,51%
10 May 2021,Essential[91],Online,—N/a,38%,36%,9%,3%,6%,8%,44%,48%
26 Apr 2021,Essential[91],Online,—N/a,39%,34%,10%,4%,6%,7%,46%,46%
21–24 Apr 2021,Newspoll-YouGov[103],Online,1514,41%,38%,10%,3%,8%,—N/a,49%,51%
16 Apr 2021,Resolve Strategic[104],CATI/online,2000,38%,33%,12%,6%,11%,—N/a,—N/a,—N/a
12 Apr 2021,Essential[91],Online,—N/a,37%,36%,10%,3%,7%,7%,45%,48%
29 Mar 2021,Essential[91],Online,—N/a,39%,36%,8%,3%,7%,7%,46%,47%
24–27 Mar 2021,Newspoll-YouGov[105],Online,1517,40%,38%,11%,2%,9%,—N/a,48%,52%
15 Mar 2021,Essential[91],Online,—N/a,38%,34%,9%,3%,8%,7%,47%,47%
"6–7, 13–14 Mar 2021",Roy Morgan[106],Telephone/online,2747,41%,34.5%,12.5%,2.5%,9.5%,—N/a,49.5%,50.5%
10–13 Mar 2021,Newspoll-YouGov[107],Online,1521,39%,39%,10%,3%,9%,—N/a,48%,52%
1 Mar 2021,Essential[91],Online,—N/a,37%,34%,9%,4%,8%,7%,45%,48%
17–20 Feb 2021,Newspoll-YouGov[108],Online,1504,42%,37%,10%,3%,8%,—N/a,50%,50%
15 Feb 2021,Essential[91],Online,—N/a,39%,35%,8%,4%,7%,6%,47%,47%
"6–7, 13–14 Feb 2021",Roy Morgan[109],Telephone/online,2786,40%,34.5%,13%,3.5%,9%,—N/a,49.5%,50.5%
27 Jan–1 Feb 2021,Essential[110][111],Online,1092,37%,35%,10%,3%,7%,8%,44%,47%
27–30 Jan 2021,Newspoll-YouGov[112],Online,1512,42%,36%,10%,3%,9%,—N/a,50%,50%
18 Jan 2021,Essential[110],Online,—N/a,40%,33%,10%,3%,7%,7%,48%,45%
14 Dec 2020,Essential[110],Online,—N/a,37%,35%,8%,4%,7%,9%,45%,46%
30 Nov 2020,Essential[110],Online,—N/a,41%,33%,8%,4%,6%,8%,49%,43%
25–28 Nov 2020,Newspoll-YouGov[113],Online,1511,43%,36%,11%,2%,8%,—N/a,51%,49%
16 Nov 2020,Essential[110],Online,—N/a,38%,35%,9%,4%,6%,7%,45%,47%
"14–15, 21–22 Nov 2020",Roy Morgan[114],Telephone/online,2824,42%,34%,12%,4%,8%,—N/a,50.5%,49.5%
4–7 Nov 2020,Newspoll-YouGov[115],Online,1510,43%,35%,11%,3%,8%,—N/a,51%,49%
2 Nov 2020,Essential[110],Online,—N/a,39%,35%,9%,3%,5%,9%,44%,46%
14–19 Oct 2020,Essential[116],Online,—N/a,39%,35%,9%,3%,7%,8%,48%,45%
12 Oct 2020,Essential[116],Online,—N/a,40%,33%,9%,3%,5%,9%,47%,44%
8–10 Oct 2020,Newspoll-YouGov[117],Online,1527,44%,34%,11%,3%,8%,—N/a,52%,48%
5 Oct 2020,Essential[116],Online,—N/a,39%,34%,9%,5%,6%,7%,47%,46%
