Date,Firm,Right direction,Wrong direction,Can't say,GCR[210],Lead
14-20 Mar 2022,Roy Morgan[191],33.5%,50.5%,16%,83.0,-17%
14-23 Feb 2022,Roy Morgan[192],35%,47%,18%,88.0,-12%
18 Feb 2022,Roy Morgan[193],35%,48.5%,16.5%,86.5,-13.5%
4–16 Jan 2022,Roy Morgan[59],34%,51%,15%,83.0,-17%
"27–28 Nov, 4–5 Dec 2021",Roy Morgan[65],38%,46.5%,15.5%,91.5,-8.5%
"13–14, 20–21 Nov 2021",Roy Morgan[79],39.5%,46%,14.5%,93.5,-6.5%
"2–3, 9–10 Oct 2021",Roy Morgan[79],40%,45%,15%,95.0,-5%
"18–19, 25–26 Sep 2021",Roy Morgan[81],40%,44%,16%,96.0,-4%
"4–5, 11–12 Sep 2021",Roy Morgan[84],40%,45.5%,14.5%,94.5,-5.5%
"6–7, 13–14 Feb 2021",Roy Morgan,53.5%,30%,16.5%,123.5,+23.5%
"8–9, 15–16 Aug 2020",Roy Morgan,48%,34%,18%,114.0,+14%
"11–12, 18–19 Jul 2020",Roy Morgan[123],49%,34.5%,16.5%,114.5,+14.5%
"13–14, 23–24 Jun 2020",Roy Morgan[123],53.5%,29.5%,17%,124.0,+24%
"16–17, 23–24 May 2020",Roy Morgan,54.5%,29.5%,16%,125.0,+25%
"18–19, 25–26 Apr 2020",Roy Morgan[129],51.5%,27.5%,21%,124.0,+24%
"29 Feb – 1 Mar, 7–8 Mar 2020",Roy Morgan[129],37%,47%,16%,90.0,–10%
"22–23, 29–30 Jun 2019",Roy Morgan[211],43.5%,39%,17.5%,104.5,+4.5%
