Date,Firm,Right direction,Wrong direction,Can't say,Lead
07 Dec 2021,Morning Consult [212],53%,47%,0%,+6%
05 Nov 2021,Morning Consult [212],54%,46%,0%,+8%
07 Oct 2021,Morning Consult [212],51%,49%,0%,+2%
21 Sep 2021,Morning Consult [212],53%,47%,0%,+6%
01 Sep 2021,Morning Consult [212],49%,51%,0%,-2%
16 Aug 2021,Morning Consult [212],51%,49%,0%,+2%
24 Jul 2021,Morning Consult [212],52%,48%,0%,+4%
01 Jul 2021,Morning Consult [212],56%,44%,0%,+12%
18 Jun 2021,Morning Consult [212],60%,40%,0%,+20%
10 Mar 2021,Morning Consult [212],63%,37%,0%,+26%
18 Feb 2021,Morning Consult [212],61%,39%,0%,+22%
30 Jan 2021,Morning Consult [212],65%,35%,0%,+30%
07 Jan 2021,Morning Consult [212],61%,39%,0%,+22%
08 Dec 2020,Morning Consult [212],68%,32%,0%,+36%
03 Nov 2020,Morning Consult [212],61%,39%,0%,+22%
04 Oct 2020,Morning Consult [212],59%,41%,0%,+18%
05 Sep 2020,Morning Consult [212],53%,47%,0%,+6%
26 Aug 2020,Morning Consult [212],59%,41%,0%,+18%
10 Aug 2020,Morning Consult [212],51%,49%,0%,+2%
12 Jul 2020,Morning Consult [212],56%,44%,0%,+12%
13 Jun 2020,Morning Consult [212],60%,40%,0%,+20%
06 Jun 2020,Morning Consult [212],57%,42%,1%,+15%
31 May 2020,Morning Consult [212],63%,37%,0%,+26%
21 May 2020,Morning Consult [212],62%,38%,0%,+24%
14 May 2020,Morning Consult [212],60%,40%,0%,+20%
5 May 2020,Morning Consult [213],62%,38%,0%,+24%
25 Apr 2020,Morning Consult [213],57%,42%,1%,+15%
18 Apr 2020,Morning Consult [213],56%,43%,1%,+13%
09 Apr 2020,Morning Consult [213],51%,49%,0%,+2%
02 Apr 2020,Morning Consult [213],46%,54%,0%,-8%
27 Mar 2020,Morning Consult [213],42%,57%,1%,-15%
20 Mar 2020,Morning Consult [213],39%,61%,0%,-22%
14 Mar 2020,Morning Consult [213],38%,62%,0%,-24%
07 Mar 2020,Morning Consult [213],39%,61%,0%,-22%
01 Mar 2020,Morning Consult [213],41%,59%,0%,-18%
20 Feb 2020,Morning Consult [213],39%,61%,0%,-22%
13 Feb 2020,Morning Consult [213],40%,60%,0%,-20%
07 Feb 2020,Morning Consult [213],38%,62%,0%,-24%
31 Jan 2020,Morning Consult [213],40%,60%,0%,-20%
22 Jan 2020,Morning Consult [213],39%,61%,0%,-22%
15 Jan 2020,Morning Consult [213],37%,63%,0%,-26%
06 Jan 2020,Morning Consult [213],37%,63%,0%,-26%
,,,,,
