Queensland,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Date Brand Seat Sample size Primary vote 2PP vote LNP ALP GRN ON UAP OTH LNP ALP OTH 14 Apr – 7 May 2022 YouGov[151] Blair —N/a 30% 36% 12% 11% 4% 7% 46% 54% —N/a 14 Apr – 7 May 2022 YouGov[151] Bonner —N/a 46% 32% 15% 4% 3% —N/a 54% 46% —N/a 14 Apr – 7 May 2022 YouGov[151] Bowman —N/a 44% 32% 12% 6% 5% 1% 55% 45% —N/a 14 Apr – 7 May 2022 YouGov[151] Brisbane —N/a 36% 29% 28% 2% 3% 2% 46% 54% —N/a 14 Apr – 7 May 2022 YouGov[151] Capricornia —N/a 38% 27% 7% 16% 4% 8% 59% 41% —N/a 14 Apr – 7 May 2022 YouGov[151] Dawson —N/a 33% 30% 7% 19% 3% 8% 56% 44% —N/a 14 Apr – 7 May 2022 YouGov[151] Dickson —N/a 42% 30% 13% 4% 5% 6% 53% 47% —N/a 14 Apr – 7 May 2022 YouGov[151] Fadden —N/a 44% 26% 8% 8% 7% 7% 61% 39% —N/a 14 Apr – 7 May 2022 YouGov[151] Fairfax —N/a 45% 24% 15% 7% 4% 5% 58% 42% —N/a 14 Apr – 7 May 2022 YouGov[151] Fisher —N/a 42% 28% 15% 6% 6% 3% 55% 45% —N/a 14 Apr – 7 May 2022 YouGov[151] Flynn —N/a 33% 32% 5% 16% 8% 6% 54% 46% —N/a 14 Apr – 7 May 2022 YouGov[151] Forde —N/a 38% 30% 10% 9% 5% 8% 55% 45% —N/a 14 Apr – 7 May 2022 YouGov[151] Griffith —N/a 32% 36% 26% 3% 3% —N/a 40% 60% —N/a 14 Apr – 7 May 2022 YouGov[151] Groom —N/a 48% 24% 8% 12% 2% 6% 64% 36% —N/a 14 Apr – 7 May 2022 YouGov[151] Herbert —N/a 38% 27% 7% 11% 4% 13% 56% 44% —N/a 14 Apr – 7 May 2022 YouGov[151] Hinkler —N/a 44% 27% 7% 14% 3% 5% 60% 40% —N/a 14 Apr – 7 May 2022 YouGov[151] Kennedy —N/a 27% 17% 7% —N/a 6% 43% 38% —N/a 62% 14 Apr – 7 May 2022 YouGov[151] Leichhardt —N/a 35% 32% 12% 10% 5% 6% 51% 49% —N/a 14 Apr – 7 May 2022 YouGov[151] Lilley —N/a 38% 41% 13% 4% 1% 3% 46% 54% —N/a 14 Apr – 7 May 2022 YouGov[151] Longman —N/a 36% 38% 6% 11% 2% 7% 50% 50% —N/a 14 Apr – 7 May 2022 YouGov[151] Maranoa —N/a 52% 19% 4% 15% 5% 5% 73% 27% —N/a 14 Apr – 7 May 2022 YouGov[151] McPherson —N/a 42% 25% 17% 6% 6% 4% 56% 44% —N/a 14 Apr – 7 May 2022 YouGov[151] Moncrieff —N/a 48% 23% 9% 7% 7% 6% 64% 34% —N/a 14 Apr – 7 May 2022 YouGov[151] Moreton —N/a 36% 38% 18% 2% 4% 2% 44% 56% —N/a 14 Apr – 7 May 2022 YouGov[151] Oxley —N/a 33% 46% 12% 6% 3% —N/a 42% 58% —N/a 14 Apr – 7 May 2022 YouGov[151] Petrie —N/a 44% 31% 10% 6% 7% 2% 56% 44% —N/a 14 Apr – 7 May 2022 YouGov[151] Rankin —N/a 28% 40% 12% 9% 7% 4% 42% 58% —N/a 14 Apr – 7 May 2022 YouGov[151] Ryan —N/a 40% 25% 24% 2% 3% 6% 50% 50% —N/a 14 Apr – 7 May 2022 YouGov[151] Wide Bay —N/a 45% 25% 8% 10% 2% 10% 59% 41% —N/a 14 Apr – 7 May 2022 YouGov[151] Wright —N/a 35% 22% 10% 20% 9% 4% 56% 44% —N/a 28 Jan 2022 United Workers Union[164] Dickson 1200 40% 34% 10% 5% 5% 4% 51% 49% —N/a,,,,,,,,,,,,
Date,Brand,Seat,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote,2PP vote
Date,Brand,Seat,Sample size,LNP,ALP,GRN,ON,UAP,OTH,LNP,ALP,OTH
14 Apr – 7 May 2022,YouGov[151],Blair,—N/a,30%,36%,12%,11%,4%,7%,46%,54%,—N/a
14 Apr – 7 May 2022,YouGov[151],Bonner,—N/a,46%,32%,15%,4%,3%,—N/a,54%,46%,—N/a
14 Apr – 7 May 2022,YouGov[151],Bowman,—N/a,44%,32%,12%,6%,5%,1%,55%,45%,—N/a
14 Apr – 7 May 2022,YouGov[151],Brisbane,—N/a,36%,29%,28%,2%,3%,2%,46%,54%,—N/a
14 Apr – 7 May 2022,YouGov[151],Capricornia,—N/a,38%,27%,7%,16%,4%,8%,59%,41%,—N/a
14 Apr – 7 May 2022,YouGov[151],Dawson,—N/a,33%,30%,7%,19%,3%,8%,56%,44%,—N/a
14 Apr – 7 May 2022,YouGov[151],Dickson,—N/a,42%,30%,13%,4%,5%,6%,53%,47%,—N/a
14 Apr – 7 May 2022,YouGov[151],Fadden,—N/a,44%,26%,8%,8%,7%,7%,61%,39%,—N/a
14 Apr – 7 May 2022,YouGov[151],Fairfax,—N/a,45%,24%,15%,7%,4%,5%,58%,42%,—N/a
14 Apr – 7 May 2022,YouGov[151],Fisher,—N/a,42%,28%,15%,6%,6%,3%,55%,45%,—N/a
14 Apr – 7 May 2022,YouGov[151],Flynn,—N/a,33%,32%,5%,16%,8%,6%,54%,46%,—N/a
14 Apr – 7 May 2022,YouGov[151],Forde,—N/a,38%,30%,10%,9%,5%,8%,55%,45%,—N/a
14 Apr – 7 May 2022,YouGov[151],Griffith,—N/a,32%,36%,26%,3%,3%,—N/a,40%,60%,—N/a
14 Apr – 7 May 2022,YouGov[151],Groom,—N/a,48%,24%,8%,12%,2%,6%,64%,36%,—N/a
14 Apr – 7 May 2022,YouGov[151],Herbert,—N/a,38%,27%,7%,11%,4%,13%,56%,44%,—N/a
14 Apr – 7 May 2022,YouGov[151],Hinkler,—N/a,44%,27%,7%,14%,3%,5%,60%,40%,—N/a
14 Apr – 7 May 2022,YouGov[151],Kennedy,—N/a,27%,17%,7%,—N/a,6%,43%,38%,—N/a,62%
14 Apr – 7 May 2022,YouGov[151],Leichhardt,—N/a,35%,32%,12%,10%,5%,6%,51%,49%,—N/a
14 Apr – 7 May 2022,YouGov[151],Lilley,—N/a,38%,41%,13%,4%,1%,3%,46%,54%,—N/a
14 Apr – 7 May 2022,YouGov[151],Longman,—N/a,36%,38%,6%,11%,2%,7%,50%,50%,—N/a
14 Apr – 7 May 2022,YouGov[151],Maranoa,—N/a,52%,19%,4%,15%,5%,5%,73%,27%,—N/a
14 Apr – 7 May 2022,YouGov[151],McPherson,—N/a,42%,25%,17%,6%,6%,4%,56%,44%,—N/a
14 Apr – 7 May 2022,YouGov[151],Moncrieff,—N/a,48%,23%,9%,7%,7%,6%,64%,34%,—N/a
14 Apr – 7 May 2022,YouGov[151],Moreton,—N/a,36%,38%,18%,2%,4%,2%,44%,56%,—N/a
14 Apr – 7 May 2022,YouGov[151],Oxley,—N/a,33%,46%,12%,6%,3%,—N/a,42%,58%,—N/a
14 Apr – 7 May 2022,YouGov[151],Petrie,—N/a,44%,31%,10%,6%,7%,2%,56%,44%,—N/a
14 Apr – 7 May 2022,YouGov[151],Rankin,—N/a,28%,40%,12%,9%,7%,4%,42%,58%,—N/a
14 Apr – 7 May 2022,YouGov[151],Ryan,—N/a,40%,25%,24%,2%,3%,6%,50%,50%,—N/a
14 Apr – 7 May 2022,YouGov[151],Wide Bay,—N/a,45%,25%,8%,10%,2%,10%,59%,41%,—N/a
14 Apr – 7 May 2022,YouGov[151],Wright,—N/a,35%,22%,10%,20%,9%,4%,56%,44%,—N/a
28 Jan 2022,United Workers Union[164],Dickson,1200,40%,34%,10%,5%,5%,4%,51%,49%,—N/a
