South Australia,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Date Brand Seat Sample size Primary vote 2PP vote Lib ALP GRN IND ON UAP OTH Lib ALP OTH 14 Apr – 7 May 2022 YouGov[151] Adelaide —N/a 34% 43% 15% [note 1] 3% 3% 2% 40% 60% —N/a 14 Apr – 7 May 2022 YouGov[151] Barker —N/a 48% 26% 6% [note 1] 8% 6% 6% 62% 38% —N/a 14 Apr – 7 May 2022 YouGov[158] Boothby —N/a 37% 38% 11% [note 1] 2% 1% 11% 47% 53% —N/a 14 Apr – 7 May 2022 YouGov[151] Grey —N/a 41% 29% 5% [note 1] 12% 3% 10% 57% 43% —N/a 14 Apr – 7 May 2022 YouGov[151] Hindmarsh —N/a 34% 43% 13% [note 1] 3% 3% 4% 42% 58% —N/a 14 Apr – 7 May 2022 YouGov[151] Kingston —N/a 28% 52% 9% [note 1] 3% 3% 5% 36% 64% —N/a 14 Apr – 7 May 2022 YouGov[151] Makin —N/a 31% 50% 9% [note 1] 3% 5% 2% 39% 61% —N/a 14 Apr – 7 May 2022 YouGov[158] Mayo —N/a 34% 20% 8% [note 1] 8% 2% 28% 48% —N/a 52% 14 Apr – 7 May 2022 YouGov[151] Spence —N/a 28% 48% 9% [note 1] 8% 4% 3% 38% 62% —N/a 14 Apr – 7 May 2022 YouGov[151] Sturt —N/a 42% 36% 15% [note 1] 2% 2% 3% 50% 50% —N/a 5 Apr 2022 uComms[165] Senate 1052 32.2% 36.1% 11.6% 8.2%[a] 3.9% 2.7% 3.2% —N/a —N/a —N/a 30 Mar 2022 uComms[166] Boothby 801 33.9% 36.3% 11.4% 8.6% 4.8% 3% —N/a 43% 57% —N/a 30 Mar 2022 uComms[166] Sturt 809 38.4% 33% 11.3% —N/a 5% 4.1% —N/a 48% 52% —N/a,,,,,,,,,,,,,
Date,Brand,Seat,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote,2PP vote,2PP vote
Date,Brand,Seat,Sample size,Lib,ALP,GRN,IND,ON,UAP,OTH,Lib,ALP,OTH
14 Apr – 7 May 2022,YouGov[151],Adelaide,—N/a,34%,43%,15%,[note 1],3%,3%,2%,40%,60%,—N/a
14 Apr – 7 May 2022,YouGov[151],Barker,—N/a,48%,26%,6%,[note 1],8%,6%,6%,62%,38%,—N/a
14 Apr – 7 May 2022,YouGov[158],Boothby,—N/a,37%,38%,11%,[note 1],2%,1%,11%,47%,53%,—N/a
14 Apr – 7 May 2022,YouGov[151],Grey,—N/a,41%,29%,5%,[note 1],12%,3%,10%,57%,43%,—N/a
14 Apr – 7 May 2022,YouGov[151],Hindmarsh,—N/a,34%,43%,13%,[note 1],3%,3%,4%,42%,58%,—N/a
14 Apr – 7 May 2022,YouGov[151],Kingston,—N/a,28%,52%,9%,[note 1],3%,3%,5%,36%,64%,—N/a
14 Apr – 7 May 2022,YouGov[151],Makin,—N/a,31%,50%,9%,[note 1],3%,5%,2%,39%,61%,—N/a
14 Apr – 7 May 2022,YouGov[158],Mayo,—N/a,34%,20%,8%,[note 1],8%,2%,28%,48%,—N/a,52%
14 Apr – 7 May 2022,YouGov[151],Spence,—N/a,28%,48%,9%,[note 1],8%,4%,3%,38%,62%,—N/a
14 Apr – 7 May 2022,YouGov[151],Sturt,—N/a,42%,36%,15%,[note 1],2%,2%,3%,50%,50%,—N/a
5 Apr 2022,uComms[165],Senate,1052,32.2%,36.1%,11.6%,8.2%[a],3.9%,2.7%,3.2%,—N/a,—N/a,—N/a
30 Mar 2022,uComms[166],Boothby,801,33.9%,36.3%,11.4%,8.6%,4.8%,3%,—N/a,43%,57%,—N/a
30 Mar 2022,uComms[166],Sturt,809,38.4%,33%,11.3%,—N/a,5%,4.1%,—N/a,48%,52%,—N/a
