Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[x],2pp vote[x]
Date,Firm,Sample size,L/NP,ALP,GRN,ONP,UAP,IND,OTH,ALP,L/NP
,,,,,,,,,,,
3 May 2025,Election[5],Election[5],31.5%,35.2%,11.1%,6.0%,1.8%,9.7%,5.7%,55.3%,44.7%
24 Apr – 1 May 2025,YouGov[340],915,32%,30%,14%,9%,—N/a,—N/a,15%,51%,49%
27–30 Apr 2025,DemosAU[340],1291,35%,31%,10%,9%,—N/a,—N/a,15%,50%,50%
24–29 Apr 2025,RedBridge Group[340],321,35%,34%,8%,—N/a,—N/a,—N/a,23%,51%,49%
24–28 Apr 2025,Spectre Strategy/Dynata[14][y],—N/a,34%,30%,14%,10%,—N/a,—N/a,12%,50%,50%
23–28 Apr 2025,Resolve Strategic[340],638,34%,33%,11%,7%,—N/a,11%,4%,51%,49%
18–22 Apr 2025,YouGov[340],440,26%,35%,16%,10%,—N/a,—N/a,13%,57%,43%
27 Mar – 17 Apr 2025,Newspoll[340],1591,36%,34%,11%,7%,—N/a,—N/a,12%,52%,48%
11–15 Apr 2025,YouGov[340],487,33%,32%,17%,5%,—N/a,—N/a,13%,54%,46%
9–13 Apr 2025,Resolve Strategic[340],522,34%,31%,12%,6%,—N/a,14%,3%,50%,50%
4–10 Apr 2025,YouGov[340],495,32%,30%,17%,10%,—N/a,—N/a,11%,51%,49%
28 Mar – 3 Apr 2025,YouGov[340],513,35%,29%,17%,5%,—N/a,—N/a,14%,50%,50%
26–30 Mar 2025,Resolve Strategic[340],1027,40%,30%,11%,6%,—N/a,10%,4%,47%,53%
24–26 Mar 2025,DemosAU[295],1013,38%,30%,12%,9%,—N/a,—N/a,11%,49%,51%
14–19 Mar 2025,YouGov[340],773,36%,28%,16%,7%,—N/a,—N/a,13%,49.5%,50.5%
17 Jan – 15 Mar 2025,Freshwater Strategy[340],947,42%,30%,13%,—N/a,—N/a,—N/a,15%,48%,52%
7–13 Mar 2025,YouGov[340],482,36%,28%,15.5%,7%,—N/a,—N/a,13.5%,49.5%,50.5%
20 Jan – 7 Mar 2025,Newspoll[340],1149,38%,31%,12%,7%,—N/a,—N/a,12%,50%,50%
28 Feb – 6 Mar 2025,YouGov[340],475,35%,29%,15%,7%,—N/a,—N/a,14%,50%,50%
21–27 Feb 2025,YouGov[340],506,35%,26%,15%,12%,—N/a,—N/a,12%,48.5%,51.5%
18–23 Feb 2025,Resolve Strategic[340],478,38%,24%,13%,11%,—N/a,10%,3%,45.5%,54.5%
4–11 Feb 2025,RedBridge/Accent[62],305,43%,33%,10%,—N/a,—N/a,—N/a,14%,47%,53%
15–21 Jan 2025,Resolve Strategic[340],513,39%,27%,13%,5%,—N/a,10%,5%,47.5%,52.5%
4–8 Dec 2024,Resolve Strategic[340],509,38%,27%,13%,9%,—N/a,11%,2%,47.5%,52.5%
7 Oct – 6 Dec 2024,Newspoll[340],1193,40%,32%,10%,7%,—N/a,—N/a,11%,50%,50%
5–10 Nov 2024,Resolve Strategic[340],515,38%,30%,10%,6%,—N/a,13%,3%,50.5%,49.5%
1–5 Oct 2024,Resolve Strategic[340],510,39%,31%,10%,5%,—N/a,11%,4%,49.5%,50.5%
15 Jul – 20 Sep 2024,Newspoll[340],1592,38%,30%,12%,7%,—N/a,—N/a,13%,49%,51%
3–7 Sep 2024,Resolve Strategic[340],513,37%,30%,12%,6%,1%,12%,3%,50.5%,49.5%
7–11 Aug 2024,Resolve Strategic[340],510,39%,29%,12%,4%,2%,9%,4%,49%,51%
10–13 Jul 2024,Resolve Strategic[340],509,39%,27%,13%,6%,1%,12%,2%,48.5%,51.5%
15 Apr – 26 Jun 2024,Newspoll[340],1567,40%,33%,11%,6%,—N/a,—N/a,10%,49%,51%
11–16 Jun 2024,Resolve Strategic[340],510,37%,29%,12%,5%,2%,12%,3%,50%,50%
15–19 May 2024,Resolve Strategic[340],511,35%,31%,10%,7%,1%,13%,2%,51%,49%
17–21 Apr 2024,Resolve Strategic[340],511,35%,31%,11%,6%,1%,12%,4%,51.5%,48.5%
21–24 Mar 2024,Resolve Strategic[340],511,35%,33%,11%,6%,2%,12%,2%,52.5%,47.5%
31 Jan – 22 Mar 2024,Newspoll[340],1152,38%,32%,12%,7%,—N/a,—N/a,11%,50%,50%
21–24 Feb 2024,Resolve Strategic[340],509,37%,34%,10%,4%,1%,10%,4%,52%,48%
31 Oct – 15 Dec 2023,Newspoll[340],1139,37%,32%,13%,7%,—N/a,—N/a,11%,51%,49%
29 Nov – 3 Dec 2023,Resolve Strategic[340],510,35%,35%,12%,5%,1%,10%,2%,54.5%,45.5%
1–5 Nov 2023,Resolve Strategic[340],509,31%,37%,14%,6%,1%,8%,4%,58%,42%
28 Aug – 12 Oct 2023,Newspoll[340],1565,34%,38%,13%,5%,—N/a,—N/a,10%,56%,44%
22 Sep – 4 Oct 2023,Resolve Strategic[212],1502,32%,34%,13%,8%,2%,10%,2%,55%,45%
6–9 Sep 2023,Resolve Strategic[220],509,36%,39%,8%,6%,2%,7%,3%,54%,46%
9–12 Aug 2023,Resolve Strategic[227],509,34%,42%,11%,4%,1%,8%,1%,58%,42%
12–15 Jul 2023,Resolve Strategic[231],511,32%,39%,10%,9%,0%,8%,2%,56.5%,43.5%
6–11 Jun 2023,Resolve Strategic[238],510,33%,39%,10%,6%,1%,9%,2%,56.5%,43.5%
14–16 May 2023,Resolve Strategic[247],511,30%,46%,9%,5%,1%,7%,2%,61%,39%
12–16 Apr 2023,Resolve Strategic[340],511,30%,43%,9%,6%,1%,8%,2%,59.5%,40.5%
1 Feb – 3 Apr 2023,Newspoll[340],1414,35%,38%,10%,7%,—N/a,—N/a,10%,55%,45%
