Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[z],2pp vote[z]
Date,Firm,Sample size,L/NP,ALP,GRN,UAP,ONP,IND,OTH,ALP,L/NP
,,,,,,,,,,,
3 May 2025,Election[5],Election[5],32.2%,34.0%,13.6%,1.2%,5.8%,7.5%,5.7%,56.3%,43.7%
24 Apr – 1 May 2025,YouGov[340],800,31%,29%,15%,—N/a,8%,—N/a,17%,52%,48%
27–30 Apr 2025,DemosAU[340],1029,32%,31%,12%,—N/a,9%,—N/a,16%,53%,47%
24–29 Apr 2025,RedBridge Group[340],255,35%,32%,15%,—N/a,—N/a,—N/a,18%,53%,47%
24–28 Apr 2025,Spectre Strategy/Dynata[14][y],—N/a,35%,31%,13%,—N/a,10%,—N/a,11%,49%,51%
23–28 Apr 2025,Resolve Strategic[340],507,33%,29%,16%,—N/a,7%,9%,6%,52%,48%
18–22 Apr 2025,YouGov[340],381,35%,31%,17%,—N/a,7%,—N/a,10%,52%,48%
27 Mar – 17 Apr 2025,Newspoll[340],1263,38%,33%,13%,—N/a,5%,—N/a,11%,53%,47%
11–15 Apr 2025,YouGov[340],408,35%,30%,14%,—N/a,4%,—N/a,17%,50%,50%
4–15 Apr 2025,RedBridge/Accent[341],478,40%,30%,13%,—N/a,—N/a,—N/a,17%,49%,51%
9–13 Apr 2025,Resolve Strategic[340],414,36%,29%,13%,—N/a,4%,9%,9%,49.5%,50.5%
4–10 Apr 2025,YouGov[340],350,35%,34%,13%,—N/a,5%,—N/a,13%,51%,49%
28 Mar – 3 Apr 2025,YouGov[340],409,37%,34%,10%,—N/a,5%,—N/a,14%,50%,50%
26–30 Mar 2025,Resolve Strategic[340],817,35%,27%,14%,—N/a,6%,10%,7%,49.5%,50.5%
17–21 Mar 2025,DemosAU[296],1006,34%,29%,15%,—N/a,8%,—N/a,14%,51%,49%
14–19 Mar 2025,YouGov[340],474,42%,29%,13%,—N/a,5%,—N/a,11%,47.5%,52.5%
17 Jan – 15 Mar 2025,Freshwater Strategy[340],842,37%,29%,15%,—N/a,—N/a,—N/a,19%,50%,50%
7–13 Mar 2025,YouGov[340],384,41.5%,28.5%,13%,—N/a,5%,—N/a,12%,47.5%,52.5%
20 Jan – 7 Mar 2025,Newspoll[340],943,39%,30%,15%,—N/a,4%,—N/a,12%,51%,49%
28 Feb – 6 Mar 2025,YouGov[340],379,39%,30%,9%,—N/a,6%,—N/a,16%,48%,52%
21–27 Feb 2025,YouGov[340],352,37%,31%,14%,—N/a,5%,—N/a,13%,50%,50%
20–25 Feb 2025,RedBridge/Accent[56],—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,43%,57%
18–23 Feb 2025,Resolve Strategic[340],380,38%,24%,15%,—N/a,6%,11%,6%,48%,52%
4–11 Feb 2025,RedBridge/Accent[62],261,51%,31%,8%,—N/a,—N/a,—N/a,10%,42%,58%
15–21 Jan 2025,Resolve Strategic[340],407,38%,25%,13%,—N/a,6%,12%,6%,47.5%,52.5%
4–8 Dec 2024,Resolve Strategic[340],404,38%,26%,12%,—N/a,5%,12%,7%,48%,52%
7 Oct – 6 Dec 2024,Newspoll[340],947,39%,30%,14%,—N/a,5%,—N/a,12%,50%,50%
