Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[aa],2pp vote[aa]
Date,Firm,Sample size,LNP,ALP,GRN,ONP,UAP,IND,OTH,LNP,ALP
,,,,,,,,,,,
3 May 2025,Election[5],Election[5],34.9%,31.0%,11.8%,7.8%,3.3%,11.2%,—,50.6%,49.45
24 Apr – 1 May 2025,YouGov[340],631,35%,27%,17%,7%,—N/a,—N/a,14%,51%,49%
27–30 Apr 2025,DemosAU[340],858,39%,26%,13%,7%,—N/a,—N/a,15%,54%,46%
24–29 Apr 2025,RedBridge Group[340],206,43%,27%,10%,—N/a,—N/a,—N/a,20%,57%,43%
24–28 Apr 2025,Spectre Strategy/Dynata[14][y],—N/a,36%,28%,15%,11%,—N/a,—N/a,10%,53%,47%
23–28 Apr 2025,Resolve Strategic[340],409,37%,26%,15%,9%,—N/a,8%,5%,54%,46%
18–22 Apr 2025,YouGov[340],320,37%,25%,12%,13%,—N/a,—N/a,13%,54%,46%
27 Mar – 17 Apr 2025,Newspoll[340],1053,40%,29%,12%,8%,—N/a,—N/a,11%,54%,46%
11–15 Apr 2025,YouGov[340],293,41%,30%,7%,8%,—N/a,—N/a,14%,57.5%,42.5%
9–13 Apr 2025,Resolve Strategic[340],334,38%,29%,13%,8%,—N/a,8%,4%,53%,47%
4–10 Apr 2025,YouGov[340],317,42%,25%,11%,7%,—N/a,—N/a,15%,58%,42%
28 Mar – 3 Apr 2025,YouGov[340],332,38%,24%,13%,12%,—N/a,—N/a,13%,56%,44%
26–30 Mar 2025,Resolve Strategic[340],658,39%,25%,13%,12%,—N/a,6%,6%,56.5%,43.5%
14–19 Mar 2025,YouGov[340],378,55%,27%,6%,5%,—N/a,—N/a,7%,63%,37%
17 Jan – 15 Mar 2025,Freshwater Strategy[340],665,42%,25%,15%,—N/a,—N/a,—N/a,18%,55.5%,44.5%
7–13 Mar 2025,YouGov[340],312,34%,29.5%,15.5%,10.5%,—N/a,—N/a,10.5%,50.5%,49.5%
20 Jan – 7 Mar 2025,Newspoll[340],786,45%,28%,11%,7%,—N/a,—N/a,9%,57%,43%
28 Feb – 6 Mar 2025,YouGov[340],307,34%,33%,17%,8%,—N/a,—N/a,8%,47%,53%
21–27 Feb 2025,YouGov[340],302,47%,23%,8%,10%,—N/a,—N/a,12%,60.5%,39.5%
18–23 Feb 2025,Resolve Strategic[340],306,41%,25%,12%,8%,—N/a,9%,4%,56.5%,43.5%
10–14 Feb 2025,DemosAU[342],1004,39%,31%,12%,10%,—N/a,—N/a,8%,53%,47%
4–11 Feb 2025,RedBridge/Accent[62],190,42%,29%,16%,—N/a,—N/a,—N/a,13%,51%,49%
15–21 Jan 2025,Resolve Strategic[340],329,42%,26%,11%,7%,—N/a,7%,6%,56.5%,43.5%
4–8 Dec 2024,Resolve Strategic[340],326,38%,25%,13%,9%,—N/a,8%,7%,55%,45%
7 Oct – 6 Dec 2024,Newspoll[340],790,41%,29%,12%,8%,—N/a,—N/a,10%,53%,47%
5–10 Nov 2024,Resolve Strategic[340],330,43%,29%,8%,6%,—N/a,8%,6%,56%,44%
26 Oct 2024,State Election,State Election,41.5%,32.6%,9.9%,8.0%,—N/a,1.7%,6.3%,53.8%,46.2%
4–16 Oct 2024,RedBridge Group[306],2315,41%,28%,13%,10%,—N/a,—N/a,8%,54.5%,45.5%
1–5 Oct 2024,Resolve Strategic[340],327,42%,25%,12%,6%,—N/a,13%,2%,55.5%,44.5%
15 Jul – 20 Sep 2024,Newspoll[340],1053,43%,30%,12%,8%,—N/a,—N/a,7%,54%,46%
3–7 Sep 2024,Resolve Strategic[340],328,40%,27%,13%,9%,2%,9%,1%,53.5%,46.5%
7–11 Aug 2024,Resolve Strategic[340],327,41%,24%,11%,10%,2%,8%,4%,56%,44%
10–13 Jul 2024,Resolve Strategic[340],326,44%,23%,10%,7%,0%,14%,1%,57.5%,42.5%
15 Apr – 26 Jun 2024,Newspoll[340],328,40%,27%,13%,10%,—N/a,—N/a,10%,54%,46%
11–16 Jun 2024,Resolve Strategic[340],327,40%,24%,13%,8%,1%,11%,3%,54.5%,45.5%
15–19 May 2024,Resolve Strategic[340],327,43%,26%,12%,8%,3%,8%,1%,55.5%,44.5%
17–21 Apr 2024,Resolve Strategic[340],327,40%,25%,14%,9%,2%,8%,2%,54%,46%
21–24 Mar 2024,Resolve Strategic[340],327,36%,30%,14%,7%,1%,9%,2%,49%,51%
31 Jan – 22 Mar 2024,Newspoll[340],772,41%,29%,12%,7%,—N/a,—N/a,11%,53%,47%
21–24 Feb 2024,Resolve Strategic[340],326,44%,32%,9%,9%,2%,3%,1%,54.5%,45.5%
31 Oct – 15 Dec 2023,Newspoll[340],764,41%,27%,12%,8%,—N/a,—N/a,12%,54%,46%
29 Nov – 3 Dec 2023,Resolve Strategic[340],326,38%,33%,12%,8%,2%,8%,0%,49.5%,50.5%
1–5 Nov 2023,Resolve Strategic[340],326,36%,31%,12%,11%,1%,6%,3%,50%,50%
28 Aug – 12 Oct 2023,Newspoll[340],887,39%,30%,11%,9%,—N/a,—N/a,11%,52%,48%
22 Sep – 4 Oct 2023,Resolve Strategic[212],961,34%,33%,11%,9%,1%,10%,1%,48%,52%
6–9 Sep 2023,Resolve Strategic[220],326,35%,29%,16%,9%,2%,7%,2%,49%,51%
9–12 Aug 2023,Resolve Strategic[227],326,40%,28%,9%,8%,2%,10%,3%,54%,46%
12–15 Jul 2023,Resolve Strategic[231],327,36%,33%,12%,6%,2%,10%,1%,48%,52%
6–11 Jun 2023,Resolve Strategic[238],327,31%,38%,10%,11%,2%,7%,1%,45%,55%
14–16 May 2023,Resolve Strategic[247],327,39%,27%,17%,7%,3%,6%,2%,51.5%,48.5%
12–16 Apr 2023,Resolve Strategic[340],327,29%,37%,15%,8%,2%,7%,2%,42.5%,57.5%
1 Feb – 3 Apr 2023,Newspoll[340],995,39%,33%,10%,8%,—N/a,—N/a,10%,50%,50%
12–16 Mar 2023,Resolve Strategic[340],325,24%,39%,14%,6%,1%,14%,2%,38.5%,61.5%
15–19 Feb 2023,Resolve Strategic[340],326,35%,39%,10%,9%,1%,0%,5%,46%,54%
17–22 Jan 2023,Resolve Strategic[340],328,30%,38%,11%,9%,1%,8%,2%,43.5%,56.5%
30 Nov – 4 Dec 2022,Resolve Strategic[340],328,34%,43%,7%,6%,1%,6%,2%,44%,56%
