Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote,2pp vote
Date,Firm,Sample size,L/NP,ALP,GRN,ONP,UAP,OTH,UND,ALP,L/NP
,,,,,,,,,,,
3 May 2025,Election[5],Election[5],28.4%,38.3%,13.4%,6.25,3.2%,10.5%,—,59.2%,40.8%
24 Apr – 1 May 2025,YouGov[340],241,24%,35%,11%,15%,—N/a,15%,—N/a,53%,47%
18–22 Apr 2025,YouGov[340],126,21%,45%,10%,15%,—N/a,9%,—N/a,60%,40%
27 Mar – 17 Apr 2025,Newspoll[340],373,31%,34%,12%,9%,—N/a,14%,—N/a,55%,45%
11–15 Apr 2025,YouGov[340],113,30%,35%,8%,16%,—N/a,11%,—N/a,50%,50%
4–10 Apr 2025,YouGov[340],126,30%,32%,13%,12%,—N/a,13%,—N/a,51%,49%
28 Mar – 3 Apr 2025,YouGov[340],120,34%,35%,8%,7%,—N/a,16%,—N/a,51%,49%
14–19 Mar 2025,YouGov[340],307,33.5%,32.5%,10%,8%,—N/a,16%,—N/a,50.5%,49.5%
7–13 Mar 2025,YouGov[340],113,33.5%,33%,9.5%,8%,—N/a,16%,—N/a,51%,49%
20 Jan – 7 Mar 2025,Newspoll[340],271,37%,32%,11%,11%,—N/a,9%,—N/a,50%,50%
18–23 Feb 2025,DemosAU[347],440,35%,34%,11%,6%,—N/a,14%,—N/a,53%,47%
1 Oct – 8 Dec 2024,Resolve Strategic[340],359,34%,27%,12%,8%,—N/a,19%,—N/a,49.5%,50.5%
7 Oct – 6 Dec 2024,Newspoll[340],280,37%,35%,9%,7%,—N/a,12%,—N/a,53%,47%
15 Jul – 20 Sep 2024,Newspoll[340],374,35%,36%,9%,10%,—N/a,10%,—N/a,54%,46%
15 Apr – 26 Jun 2024,Newspoll[340],368,34%,34%,11%,12%,—N/a,9%,—N/a,53%,47%
31 Jan – 22 Mar 2024,Newspoll[340],278,33%,35%,11%,10%,—N/a,11%,—N/a,54%,46%
31 Oct – 15 Dec 2023,Newspoll[340],277,35%,38%,10%,6%,—N/a,11%,—N/a,55%,45%
28 Aug – 12 Oct 2023,Newspoll[340],362,30%,40%,10%,11%,—N/a,9%,—N/a,57%,43%
1 Feb – 3 Apr 2023,Newspoll[340],362,35%,38%,12%,5%,—N/a,10%,—N/a,56%,44%
27 Jul – 3 Dec 2022,Newspoll[340],449,35%,40%,12%,6%,—N/a,7%,—N/a,57%,43%
21 Jun 2022,Roy Morgan[286],103,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,60.5%,39.5%
21 May 2022,Election,Election,35.54%,34.46%,12.77%,4.83%,3.89%,8.51%,—N/a,53.97%,46.03%
