Date,Brand,Projection Type,Sample Size,Seat Tally,Seat Tally,Seat Tally,Seat Tally,Majority
Date,Brand,Projection Type,Sample Size,ALP,L/NP,GRN,OTH,Majority
3 May 2025,2025 Federal election,2025 Federal election,2025 Federal election,94,43,1,12,ALP 19
29 Apr – 1 May 2025,Freshwater Strategy[8],Monte Carlo,2055,70,68,1,11,Hung (ALP 6 short)
1 Apr – 29 Apr 2025,YouGov[19][ac],MRP,10822,84,47,3,16,ALP 9
14–16 Apr 2025,Freshwater Strategy[24],Monte Carlo,1062,68,69,1,12,Hung (L/NP 7 short)
3 Feb – 1 Apr 2025,Accent Research/RedBridge Group [350][351],MRP,9953,72,63,3,12,Hung (ALP 4 short)
28–30 Mar 2025,Freshwater Strategy[36],Monte Carlo,1059,67,70,1,12,Hung (L/NP 6 short)
27 Feb – 26 Mar 2025,YouGov[40][ad],MRP,10217,75,60,2,13,Hung (ALP 1 short)
13–15 Mar 2025,Freshwater Strategy[47],Monte Carlo,1051,67,70,1,12,Hung (L/NP 6 short)
21–23 Feb 2025,Freshwater Strategy[57],Monte Carlo,1038,66,71,1,12,Hung (L/NP 5 short)
22 Jan – 12 Feb 2025,YouGov[61][ae],MRP,8732,66,73,1,10,Hung (L/NP 3 short)
29 Oct – 20 Nov 2024,Accent Research/RedBridge Group[352],MRP,4909,65,71,4,10,Hung (L/NP 5 short)
10 Jul – 27 Aug 2024,Accent Research/RedBridge Group[353],MRP,5976,69,68,3,10,Hung (ALP 7 short)
Feb – May 2024,Accent Research/RedBridge Group[354],MRP,4040,77,60,3,11,ALP 2
21 May 2022,2022 Federal Election,2022 Federal Election,2022 Federal Election,77,58,4,12,ALP 2
