Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote[a],2PP vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,TOP[b],OTH,UND,ALP,L/NP
24–27 Apr 2025,Essential[356],Online,1500,41%,28%,4%,10%,3%,10%,3%,42%,54%
9–14 Apr 2025,Essential[356],Online,1500,43%,27%,5%,11%,2%,10%,3%,39%,58%
26–30 Mar 2025,Essential[356],Online,1500,44%,27%,4%,9%,2%,9%,4%,39%,57%
18 Mar 2025,Essential[356],Online,1500,42%,30%,5%,8%,1%,10%,—N/a,42%,54%
4 Mar 2025,Essential[356],Online,1500,41%,28%,7%,8%,1%,9%,—N/a,41%,53%
18 Feb 2025,Essential[356],Online,1500,43%,28%,6%,7%,1%,12%,—N/a,43%,54%
4 Feb 2025,Essential[356],Online,1500,45%,31%,5%,8%,1%,8%,—N/a,40%,58%
21 Jan 2025,Essential[356],Online,1500,46%,28%,6%,8%,1%,9%,—N/a,40%,57%
17 Dec 2024,Essential[356],Online,1500,45%,26%,5%,7%,1%,12%,—N/a,40%,55%
3 Dec 2024,Essential[356],Online,1500,42%,27%,8%,9%,1%,11%,—N/a,42%,55%
19 Nov 2024,Essential[356],Online,1500,45%,28%,5%,7%,1%,10%,—N/a,40%,56%
7 Mac 2023,Essential[356],Online,1500,41%,31%,4%,6%,1%,10%,—N/a,42%,52%
21 Feb 2023,Essential[356],Online,1500,40%,34%,4%,4%,2%,10%,—N/a,43%,50%
7 Feb 2023,Essential[356],Online,1500,43%,30%,7%,7%,0%,9%,—N/a,44%,53%
24 Jan 2023,Essential[356],Online,1500,40%,33%,4%,9%,0%,8%,—N/a,43%,51%
13 Dec 2022,Essential[356],Online,1500,37%,36%,6%,8%,0%,10%,—N/a,47%,49%
