Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,UAP,OTH,UND,ALP,L/NP
13–15 Dec 2024,Freshwater Strategy[75],Online,1051,40%,30%,14%,—N/a,—N/a,16%,—N/a,49%,51%
12–15 Dec 2024,Essential[53],Online,1151,35%,30%,13%,6%,1%,11%,5%,47%,48%
9–15 Dec 2024,Roy Morgan[76],Online,1672,41%,27.5%,12.5%,5%,—N/a,14%,—N/a,48%,52%
4–8 Dec 2024,Resolve Strategic[77],Online,1604,38%,27%,12%,7%,—N/a,16%,—N/a,49%,51%
2–8 Dec 2024,Roy Morgan[78],Online,1653,38%,28%,13%,6.5%,—N/a,14.5%,—N/a,48%,52%
2–6 Dec 2024,Newspoll[79],Online,1258,39%,33%,11%,7%,—N/a,10%,—N/a,50%,50%
27 Nov – 1 Dec 2024,Essential[53],Online,1123,35%,32%,11%,8%,1%,9%,5%,47%,48%
25 Nov – 1 Dec 2024,Roy Morgan[80],Online,1666,38.5%,30%,12.5%,6.5%,—N/a,12.5%,—N/a,49%,51%
18–24 Nov 2024,Roy Morgan[81],Online,1663,37%,31.5%,12.5%,6.5%,—N/a,12.5%,—N/a,51%,49%
19–21 Nov 2024,DemosAU[82],Online,1038,38%,32%,12%,7%,—N/a,11%,—N/a,50%,50%
15–21 Nov 2024,YouGov[83],Online,1515,38%,30%,13%,9%,—N/a,10%,—N/a,50%,50%
29 Oct – 20 Nov 2024,RedBridge Group[84],Online,4909,39%,31%,11%,—N/a,—N/a,19%,—N/a,49%,51%
13–18 Nov 2024,Essential[53],Online,1206,35%,30%,13%,7%,2%,8%,5%,48%,47%
15–17 Nov 2024,Freshwater Strategy[85],Online,1046,40%,30%,14%,—N/a,—N/a,16%,—N/a,49%,51%
11–17 Nov 2024,Roy Morgan[86],Online,1675,39%,29%,13.5%,6.5%,—N/a,12%,—N/a,49%,51%
6–13 Nov 2024,RedBridge Group[87],Online,2011,39%,34%,11%,—N/a,—N/a,16%,—N/a,50%,50%
5–10 Nov 2024,Resolve Strategic[88][89],Online,1621,39%,30%,11%,5%,—N/a,15%,—N/a,49%,51%
4–10 Nov 2024,Roy Morgan[90],Online,1665,37.5%,30.5%,12.5%,6.5%,—N/a,13%,—N/a,49.5%,50.5%
4–8 Nov 2024,Newspoll[91],Online,1261,40%,33%,11%,5%,—N/a,11%,—N/a,49%,51%
30 Oct – 3 Nov 2024,Essential[53],Online,1131,34%,31%,12%,9%,2%,8%,5%,47%,49%
28 Oct – 3 Nov 2024,Roy Morgan[92],Online,1651,38%,30.5%,14%,6%,—N/a,11.5%,—N/a,49%,51%
21–27 Oct 2024,Roy Morgan[93],Online,1687,37.5%,30%,14%,5.5%,—N/a,13%,—N/a,50.5%,49.5%
14–25 Oct 2024,ANU[94],Online,3622,38.2%,31.8%,11.8%,—N/a,—N/a,—N/a,9.5%,50%,50%
18–20 Oct 2024,Freshwater Strategy[95],Online,1034,41%,30%,13%,—N/a,—N/a,16%,—N/a,49%,51%
16–20 Oct 2024,Essential[53],Online,1140,35%,28%,12%,7%,2%,9%,6%,46%,48%
14–20 Oct 2024,Roy Morgan[96],Online,1687,36.5%,32%,13.5%,5.5%,—N/a,12.5%,—N/a,52%,48%
7–13 Oct 2024,Roy Morgan[97],Online,1697,37.5%,30%,14%,6%,—N/a,12.5%,—N/a,50%,50%
7–11 Oct 2024,Newspoll[98],Online,1258,38%,31%,12%,7%,—N/a,12%,—N/a,49%,51%
2–6 Oct 2024,Essential[53],Online,1139,34%,32%,12%,8%,1%,9%,5%,49%,47%
30 Sep – 6 Oct 2024,Roy Morgan[99],Online,1697,37.5%,31.5%,12.5%,5.5%,—N/a,13%,—N/a,50%,50%
1–5 Oct 2024,Resolve Strategic[100],Online,1606,38%,30%,12%,5%,—N/a,15%,—N/a,50%,50%
23–29 Sep 2024,Roy Morgan[101],Online,1668,38%,30%,13.5%,4.5%,—N/a,14%,—N/a,49%,51%
18–22 Sep 2024,Essential[53],Online,1117,35%,29%,12%,8%,2%,9%,5%,47%,48%
