Date,Firm,Interview mode,Sample,Preferred prime minister,Preferred prime minister,Preferred prime minister,Preferred prime minister,Albanese,Albanese,Albanese,Albanese,Dutton,Dutton,Dutton,Dutton
Date,Firm,Interview mode,Sample,Albanese,Dutton,Don't Know,Net,Satisfied,Dissatisfied,Don't Know,Net,Satisfied,Dissatisfied,Don't Know,Net
13–15 Dec 2024,Freshwater Strategy[75],Online,1051,46%,43%,11%,3%,34%,51%,15%,−17%,37%,40%,23%,−3%
11–15 Dec 2024,Essential[303],Online,1151,—N/a,—N/a,—N/a,—N/a,39%,50%,11%,−11%,44%,41%,15%,+3%
4–8 Dec 2024,Resolve Strategic[77],Online,1604,35%,35%,30%,0%,31%,57%,12%,−26%,40%,42%,18%,−2%
2–6 Dec 2024,Newspoll[79],Online,1258,45%,38%,17%,7%,40%,54%,6%,−14%,39%,51%,10%,−12%
15–21 Nov 2024,YouGov[83],Online,1515,42%,39%,19%,3%,36%,56%,8%,−20%,40%,48%,12%,−8%
13–18 Nov 2024,Essential[304],Online,1206,—N/a,—N/a,—N/a,—N/a,43%,48%,10%,−5%,42%,41%,16%,+1%
15–17 Nov 2024,Freshwater Strategy[85],Online,1046,43%,42%,15%,1%,33%,50%,17%,−17%,37%,41%,22%,−4%
5–10 Nov 2024,Resolve Strategic[88][89],Online,1621,37%,37%,26%,0%,37%,51%,12%,−14%,45%,40%,15%,+5%
4–8 Nov 2024,Newspoll[91],Online,1261,45%,41%,14%,4%,40%,55%,5%,−15%,40%,51%,9%,−11%
18–20 Oct 2024,Freshwater Strategy[95],Online,1034,44%,43%,13%,1%,35%,49%,16%,−14%,37%,39%,24%,−2%
16–20 Oct 2024,Essential[305],Online,1140,—N/a,—N/a,—N/a,—N/a,44%,48%,8%,−4%,45%,39%,16%,+6%
4–16 Oct 2024,RedBridge Group[306],Online,2315,—N/a,—N/a,—N/a,—N/a,34%,53%,13%,−19%,39%,42%,19%,−3%
7–11 Oct 2024,Newspoll[98],Online,1258,45%,37%,18%,8%,40%,54%,6%,−14%,38%,52%,10%,−14%
1–5 Oct 2024,Resolve Strategic[100],Online,1606,38%,35%,27%,3%,35%,52%,13%,−17%,41%,41%,18%,0%
18–22 Sep 2024,Essential[307],Online,1117,—N/a,—N/a,—N/a,—N/a,42%,47%,11%,−5%,42%,42%,16%,0%
16–20 Sep 2024,Newspoll[103],Online,1249,46%,37%,17%,9%,43%,51%,6%,−8%,37%,52%,11%,−15%
13–19 Sep 2024,YouGov[104],Online,1619,42%,39%,19%,3%,36%,58%,6%,−22%,40%,50%,10%,−10%
13–15 Sep 2024,Freshwater Strategy[105],Online,1057,45%,41%,14%[j],4%,34%,49%,17%,−15%,34%,38%,28%,−4%
3–7 Sep 2024,Resolve Strategic[108],Online,1614,35%,34%,31%,1%,35%,53%,12%,−18%,41%,42%,17%,−1%
26–30 Aug 2024,Newspoll[110],Online,1263,45%,37%,18%,8%,41%,54%,5%,−13%,39%,52%,9%,−13%
23–28 Aug 2024,YouGov[114],Online,1543,43%,38%,19%,5%,41%,52%,7%,−11%,42%,47%,11%,−5%
20–24 Aug 2024,Essential[308],Online,1129,—N/a,—N/a,—N/a,—N/a,40%,50%,10%,−10%,42%,41%,16%,+1%
16–18 Aug 2024,Freshwater Strategy[119],Online,1061,45%,41%,14%[k],4%,35%,45%,20%,−10%,37%,40%,23%,−3%
7–11 Aug 2024,Resolve Strategic[121],Online,1607,35%,36%,29%,1%,34%,51%,15%,−17%,41%,38%,21%,+3%
5–9 Aug 2024,Newspoll[123],Online,1266,46%,39%,15%,7%,43%,51%,6%,−8%,40%,50%,10%,−10%
24–28 Jul 2024,Essential[309],Online,1137,—N/a,—N/a,—N/a,—N/a,43%,46%,11%,−3%,42%,41%,17%,+1%
19–21 Jul 2024,Freshwater Strategy[310],Online,1060,45%,39%,16%[l],6%,34%,48%,18%,−14%,36%,39%,25%,−3%
15–19 Jul 2024,Newspoll[310],Online,1258,46%,39%,15%,6%,44%,51%,5%,−7%,41%,49%,10%,−8%
12–17 Jul 2024,YouGov[130],Online,1528,45%,37%,18%,8%,42%,52%,6%,−10%,42%,46%,12%,−4%
10–13 Jul 2024,Resolve Strategic[132],Online,1603,34%,35%,31%,1%,32%,54%,14%,−22%,39%,40%,21%,−1%
26–30 Jun 2024,Essential[311],Online,1141,—N/a,—N/a,—N/a,—N/a,40%,49%,11%,−9%,41%,42%,17%,−1%
24–28 Jun 2024,Newspoll[135],Online,1260,46%,38%,16%,8%,42%,53%,5%,−11%,38%,54%,8%,−16%
14–16 Jun 2024,Freshwater Strategy[137],Online,1060,43%,41%,16%[m],2%,34%,46%,20%,−12%,35%,40%,25%,−5%
11–15 Jun 2024,Resolve Strategic[139],Online,1607,35%,36%,29%,1%,36%,50%,14%,−14%,42%,40%,19%,+2%
3–7 Jun 2024,Newspoll[141],Online,1232,46%,38%,16%,8%,43%,50%,7%,−7%,39%,49%,12%,−10%
31 May – 4 Jun 2024,YouGov[142],Online,1500,47%,36%,17%,9%,41%,53%,6%,–12%,38%,51%,11%,−13%
29 May – 2 Jun 2024,Essential[312],Online,1160,—N/a,—N/a,—N/a,—N/a,43%,47%,11%,−4%,41%,42%,17%,−1%
17–19 May 2024,Freshwater Strategy[145],Online,1056,46%,37%,16%[n],9%,37%,46%,18%,−9%,31%,40%,29%,−9%
15–19 May 2024,Resolve Strategic[146],Online,1602,40%,32%,28%,8%,39%,49%,12%,−10%,39%,42%,19%,−3%
16–18 May 2024,Newspoll[148],Online,1280,52%,33%,15%,19%,47%,47%,6%,0%,38%,50%,12%,−12%
10–14 May 2024,YouGov[149],Online,1506,44%,37%,19%,7%,41%,53%,6%,−12%,42%,48%,10%,−6%
17–21 Apr 2024,Essential[313],Online,1145,—N/a,—N/a,—N/a,—N/a,43%,48%,9%,−5%,44%,41%,15%,+3%
17–21 Apr 2024,Resolve Strategic[154],Online,1610,41%,32%,27%,9%,43%,45%,12%,−2%,40%,42%,17%,−2%
15–18 Apr 2024,Newspoll[157],Online,1236,48%,35%,17%,13%,44%,50%,6%,−6%,36%,51%,13%,−15%
12–14 Apr 2024,Freshwater Strategy[158],Online,1055,45%,39%,16%[o],6%,38%,45%,17%,−7%,32%,41%,27%,−9%
22–27 Mar 2024,YouGov[162],Online,1513,46%,34%,20%,12%,41%,52%,7%,−11%,38%,49%,13%,−11%
21–24 Mar 2024,Resolve Strategic[163],Online,1610,40%,30%,30%,10%,38%,49%,13%,−11%,36%,44%,20%,−8%
18–22 Mar 2024,Newspoll[165],Online,1223,48%,34%,18%,14%,44%,51%,5%,−7%,37%,52%,11%,−15%
8–10 Mar 2024,Freshwater Strategy[167],Online,1051,47%,38%,15%[p],9%,37%,45%,18%,−8%,30%,43%,27%,−13%
24 Feb – 5 Mar 2024,YouGov[169],Online,1539,48%,34%,18%,14%,44%,50%,6%,−6%,39%,49%,12%,−10%
21–25 Feb 2024,Essential[314],Online,1145,—N/a,—N/a,—N/a,—N/a,42%,47%,10%,−5%,40%,44%,16%,−4%
21–24 Feb 2024,Resolve Strategic[172],Online,1603,39%,32%,29%,7%,41%,47%,12%,−6%,35%,45%,20%,−10%
19–23 Feb 2024,Newspoll[173],Online,1245,47%,35%,18%,12%,43%,51%,6%,−8%,37%,51%,12%,−14%
16–18 Feb 2024,Freshwater Strategy[315],Online,1049,42%,38%,19%[q],4%,38%,45%,18%,−7%,32%,41%,28%,−9%
2–7 Feb 2024,YouGov[177],Online,1502,45%,38%,17%,7%,—N/a,—N/a,—N/a,−16%,—N/a,—N/a,—N/a,−8%
31 Jan – 3 Feb 2024,Newspoll[180][316],Online,1245,46%,35%,19%,11%,42%,51%,7%,−9%,37%,50%,13%,−13%
24–28 Jan 2024,Essential[317],Online,1201,—N/a,—N/a,—N/a,—N/a,41%,47%,12%,−6%,38%,43%,19%,−5%
12–17 Jan 2024,YouGov[183],Online,1532,45%,35%,20%,10%,—N/a,—N/a,—N/a,−13%,—N/a,—N/a,—N/a,−11%
10–11 Jan 2024,Freshwater Strategy[185][186][187],Online,1007,47%,38%,15%[r],9%,38%,43%,19%,−5%,31%,40%,30%,−9%
