Date,Firm,Interview mode,Sample,Preferred prime minister,Preferred prime minister,Preferred prime minister,Albanese,Albanese,Albanese,Albanese,Dutton,Dutton,Dutton,Dutton
Date,Firm,Interview mode,Sample,Albanese,Dutton,Don't Know,Satisfied,Dissatisfied,Don't Know,Net,Satisfied,Dissatisfied,Don't Know,Net
16–18 Dec 2022,Freshwater Strategy[266][267][268],Online,1209,55%,29%,16%[v],–,–,–,–,–,–,–,–
7–11 Dec 2022,Essential[329],Online,1042,–,–,–,60%,27%,13%,+33%,–,–,–,–
30 Nov – 4 Dec 2022,Resolve Strategic[269][270],Online,1611,54%,19%,27%,60%,24%,16%,+36%,28%,43%,29%,–15%
30 Nov – 3 Dec 2022,Newspoll[271],Online,1508,59%,24%,17%,62%,29%,9%,+33%,36%,45%,19%,–9%
16–22 Nov 2022,Morning Consult[330],Online,—N/a,–,–,–,56%,31%,25%,+25%,–,–,–,–
9–14 Nov 2022,Essential[331],Online,1035,–,–,–,60%,27%,13%,+33%,–,–,–,–
27–30 Oct 2022,Newspoll[273],Online,1500,54%,27%,19%,59%,33%,8%,+26%,39%,46%,15%,–7%
26–30 Oct 2022,Resolve Strategic[274][273][332],Online,1611,53%,19%,28%,57%,28%,16%,+29%,29%,41%,30%,–12%
13–16 Oct 2022,Freshwater Strategic[w][333],Online,1042,–,–,–,50%,26%,24%,+24%,33%,34%,33%,–1%
11–16 Oct 2022,Essential[334],Online,1122,–,–,–,58%,26%,15%,+32%,–,–,–,–
5–9 Oct 2022,Resolve Strategic[275][276],Online,1604,53%,18%,29%,60%,25%,15%,+35%,30%,41%,28%,–11%
14–18 Sep 2022,Resolve Strategic[277][278],Online,1607,53%,19%,28%,60%,24%,16%,+36%,28%,40%,32%,–12%
31 Aug – 4 Sep 2022,Essential[335],Online,1070,—,—,—,59%,25%,15%,+34%,—,—,—,—
31 Aug – 3 Sep 2022,Newspoll[279],Online,1505,61%,22%,17%,61%,29%,10%,+32%,35%,43%,22%,–8%
17–21 Aug 2022,Resolve Strategic[281][282],Online,2011,55%,17%,28%,61%,22%,17%,+39%,30%,37%,32%,–7%
3–7 Aug 2022,Essential[336],Online,1075,—,—,—,55%,28%,18%,+27%,—,—,—,—
27–30 Jul 2022,[Newspoll][283],Online,1508,59%,25%,16%,61%,26%,13%,+35%,37%,41%,22%,–4%
7–11 Jul 2022,Essential[337],Online,1097,—,—,—,56%,24%,20%,+32%,—,—,—,—
8–12 Jun 2022,Essential[338],Online,1087,—,—,—,59%,18%,23%,+41%,—,—,—,—
23–31 May 2022,Morning Consult[339],Online,3770,—,—,—,51%,24%,25%,+27%,—,—,—,—
