Last day of survey,LPC,CPC,NDP,GPC,CA,PC,Other,Polling firm,Sample,ME,Source,Unnamed: 12_level_0
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Polling firm,Sample,ME,Source,Unnamed: 12_level_1
Voting result,22.0,61.7,9.5,6.1,—,—,0.7,,,,,
"June 24, 2004",23,62,13,2,—,—,0,SES,145,± 8.3,PDF,
"June 24, 2004",23,58,12,7,—,—,0,Ekos,—N/a,—N/a,PDF,
"June 23, 2004",20,59,11,6,—,—,4,Ipsos,194,—N/a,PDF,
"June 22, 2004",21,62,13,—N/a,—,—,4,Environics,—N/a,—N/a,HTML,
"June 20, 2004",25,45,17,11,—,—,1,Ipsos,97,—N/a,PDF,
"June 17, 2004",17,59,11,7,—,—,5,Ipsos,97,—N/a,PDF,
"June 16, 2004",32,51,14,5,—,—,0,SES,89,± 10.6,PDF,
"June 9, 2004",25,57,14,4,—,—,—N/a,Ekos,—N/a,—N/a,PDF,
"June 7, 2004",30,52,15,—N/a,—,—,3,Léger,—N/a,—N/a,PDF,
"June 6, 2004",33,51,14,2,—,—,0,SES,88,± 10.7,PDF,
"May 31, 2004",28,54,12,4,—,—,2,Léger,—N/a,—N/a,PDF,
"May 30, 2004",31,53,11,5,—,—,0,SES,81,± 11.0,PDF,
"Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)"
"April 28, 2004",31,46,15,6,—,—,2,Ipsos,91,—N/a,PDF,
"April 25, 2004",33,57,10,0,—,—,0,SES,77,± 11.0,PDF,
"April 24, 2004",24,60,14,—N/a,—,—,2,Léger,—N/a,—N/a,PDF,
"March 22, 2004",27,49,17,—N/a,—,—,7,Léger,—N/a,—N/a,PDF,
"February 12, 2004",28,50,16,3,—,—,3,Ipsos,92,—N/a,PDF,
"January 27, 2004",40,53,5,—N/a,—,—,2,Léger,—N/a,—N/a,PDF,
"January 15, 2004",35,47,13,2,—,—,4,Ipsos,—N/a,—N/a,PDF,
"November 27, 2003",28,—,8,6,30,24,3,Ipsos,86,—N/a,PDF,
"October 23, 2003",27,—,8,1,34,23,7,Ipsos,92,—N/a,PDF,
"July 6, 2003",28,—,6,—N/a,39,26,1,Environics,203,± 6.9,HTML,
"June 5, 2003",27,—,10,4,34,25,0,Ipsos,119,—N/a,PDF,
"April 17, 2003",29,—,4,4,39,24,0,Ipsos,104,—N/a,PDF,
"March 27, 2003",25,—,12,—N/a,40,22,1,Environics,201,± 7.1,HTML,
"February 20, 2003",32,—,8,—N/a,32,28,3,Ekos,—N/a,—N/a,PDF,
"January 16, 2003",35,—,7,—N/a,26,27,5,Ekos,—N/a,—N/a,PDF,
"January 14, 2003",24,—,9,—N/a,45,21,1,Environics,411,± 4.9,HTML,
"December 12, 2002",24,—,7,2,48,19,1,Ipsos,89,—N/a,PDF,
"September 30, 2002",23,—,9,3,48,16,0,Ipsos,100,—N/a,PDF,
"August 14, 2002",19,—,9,—N/a,42,24,6,Ipsos,94,—N/a,PDF,
"July 18, 2002",19,—,6,—N/a,50,25,1,Ipsos,90,—N/a,PDF,
"June 9, 2002",19,—,6,—N/a,55,16,5,Léger,125,—N/a,PDF,
"May 30, 2002",28,—,6,—N/a,49,16,1,Ipsos,177,—N/a,PDF,
April 2002,31,—,6,—N/a,34,20,9,Léger,125,—N/a,PDF,
"March 28, 2002",26,—,9,—N/a,45,14,7,Ipsos,100,—N/a,PDF,
"February 21, 2002",31,—,4,—N/a,34,27,4,Ipsos,100,—N/a,PDF,
"August 29, 2001",33,—,7,—N/a,26,30,4,Ekos,—N/a,—N/a,PDF,
"August 23, 2001",34,—,8,—N/a,28,27,2,Ipsos,100,—N/a,PDF,
"August 13, 2001",31,—,10,—N/a,20,32,8,Léger,—N/a,—N/a,PDF,
"July 24, 2001",29,—,7,—N/a,30,32,2,Ipsos,800,± 3.5,PDF,
"July 10, 2001",25,—,8,—N/a,37,29,2,Environics,217,± 6.8,HTML,
"May 31, 2001",33,—,7,—N/a,29,25,6,Léger,141,—N/a,PDF,
"May 27, 2001",28,—,8,—N/a,31,29,3,Ipsos,100,—N/a,PDF,
"April 26, 2001",26,—,4,—N/a,39,30,1,Ipsos,90,—N/a,PDF,
"April 24, 2001",24,—,6,—N/a,43,24,1,Environics,212,± 6.9,HTML,
"April 19, 2001",27,—,7,—N/a,38,24,4,Ipsos,—N/a,—N/a,PDF,
"March 29, 2001",27,—,3,—N/a,40,27,3,Ipsos,95,—N/a,PDF,
"January 15, 2001",30,—,6,—N/a,46,14,4,Environics,221,± 2.7,PDF,
Election 2000,20.9,—,5.4,0.5,58.9,13.5,0.8,,,,,
