Last day of survey,LPC,CPC,NDP,BQ,GPC,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Polling firm,Sample,ME,Source
Voting results,36.7,29.6,15.7,12.4,4.3,,,,
"June 24, 2004",33,32,17,13,5,Léger,2407,± 2.0,PDF
"June 24, 2004",34,30,20,12,4,SES,600,± 4.1,PDF
"June 24, 2004",32.6,31.8,19.0,11.2,4.9,Ekos,4159,± 1.4,PDF
"June 23, 2004",32,31,17,12,6,Ipsos,2000,± 2.2,HTML
"June 23, 2004",34,33,15,13,5,Compass,800,—N/a,PDF
"June 23, 2004",34,30,21,12,3,SES,600,± 4.1,PDF
"June 22, 2004",34,31,21,12,3,SES,600,± 4.1,PDF
"June 22, 2004",33,33,18,11,5,Environics,1444,± 2.5,PDF
"June 21, 2004",34,31,21,10,4,SES,600,± 4.1,PDF
"June 20, 2004",34,28,16,13,6,Ipsos,1000,± 3.1,HTML
"June 20, 2004",33,33,18,12,5,SES,600,± 4.1,PDF
"June 18, 2004",34,29,22,10,5,Nanos,—N/a,—N/a,—N/a
"June 17, 2004",29,32,16,12,7,Ipsos,1000,± 3.1,HTML
"June 16, 2004",32,32,21,12,4,SES,600,± 4.1,PDF
"June 16, 2004",32,34,19,12,3,Nanos,—N/a,—N/a,—N/a
"June 16, 2004",34,35,16,12,4,Léger,612,± 3.3,PDF
"June 16, 2004",35,34,17,11,3,Compas,600,± 4.0,PDF
"Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)","Leaders Debate in English (June 15, 2004)"
"Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)","Leaders Debate in French (June 14, 2004)"
"June 13, 2004",31,32,17,12,6,Ipsos,1000,± 3.1,HTML
"June 13, 2004",33,34,18,11,5,SES,600,± 4.1,PDF
"June 10, 2004",33,34,18,11,5,SES,600,± 4.1,PDF
"June 9, 2004",32,37,17,10,5,SES,600,± 4.1,PDF
"June 9, 2004",30,34,19,12,—N/a,Ekos,2117,± 2.1,PDF
"June 8, 2004",33,37,15,10,5,SES,600,± 4.1,PDF
"June 8, 2004",32,31,16,11,7,Ipsos,2003,± 2.2,HTML
"June 7, 2004",31,35,16,11,6,SES,600,± 4.1,PDF
"June 7, 2004",33,30,19,12,5,Léger,1500,± 2.5,PDF
"June 7, 2004",32,34,20,11,4,Nanos,—N/a,—N/a,—N/a
"June 3, 2004",32,31,17,11,6,Ipsos,1000,± 3.1,HTML
"June 3, 2004",37,34,17,9,3,SES,600,± 4.1,PDF
"June 2, 2004",35,32,19,9,4,SES,600,± 4.1,PDF
"June 1, 2004",37,29,19,11,5,SES,600,± 4.1,PDF
"May 31, 2004",35,30,17,12,5,Léger,2411,± 1.8,PDF
"May 31, 2004",36,25,22,13,5,SES,600,± 4.1,PDF
"May 30, 2004",36,26,20,13,5,SES,600,± 4.1,PDF
"May 30, 2004",34,30,16,11,6,Ipsos,1000,± 3.1,HTML
"May 29, 2004",34,31,19,12,3,SES,600,± 4.1,PDF
"May 27, 2004",38,30,18,11,—N/a,Ekos,1306,± 2.7,PDF
"May 27, 2004",40,31,16,10,3,SES,600,± 4.1,PDF
"May 26, 2004",42,29,17,10,2,SES,600,± 4.1,PDF
"May 25, 2004",41,28,18,11,3,SES,600,± 4.1,PDF
"Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)"
