Last day of survey,LPC,CPC,NDP,BQ,GPC,Other,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Polling firm,Sample,ME,Source
"Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)","Dissolution of the 37th Parliament of Canada (May 23, 2004)"
"May 13, 2004",40,25,15,—N/a,—N/a,—N/a,Ipsos,2000,± 2.2,[1]
"May 6, 2004",38,26,16,—N/a,5,—N/a,Ipsos,1000,± 3.1,HTML
"April 28, 2004",40,23,18,11,5,—N/a,Ipsos,946,± 3.2,HTML
"April 24, 2004",38,26,17,12,5,—N/a,Leger,1136,± 2.5,PDF
"April 18, 2004",39,29,19,11,—N/a,2,Environics,1940,± 2.2,HTML
"April 8, 2004",35,28,18,10,5,—N/a,Ipsos,1000,± 3.1,HTML
"March 25, 2004",38,27,15,10,5,—N/a,Ipsos,1000,± 3.1,HTML
"March 22, 2004",38,26,16,13,—N/a,—N/a,Leger,1500,± 2.5,PDF
"Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)","Stephen Harper becomes leader of the Conservative Party of Canada (March 20, 2004)"
"March 7, 2004",38,26,17,12,4,2,Ipsos,2111,—N/a,PDF
"February 25, 2004",42,32,15,9,—N/a,2,Ekos,1200,± 3.1,HTML
"February 12, 2004",39,24,18,10,5,3,Ipsos,944,± 3.1,PDF
"January 29, 2004",48,23,15,11,3,0,SES,1000,± 3.1,PDF
"January 27, 2004",49,21,15,11,—N/a,—N/a,Leger,1115,± 2.5,PDF
"January 15, 2004",48,19,16,10,4,4,Ipsos,1055,± 3.1,PDF
"December 29, 2003",51,24,15,8,—N/a,2,Environics,1936,± 2.2,1 2
"Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)","Paul Martin becomes Prime Minister of Canada (December 12, 2003)"
Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003),Creation of the Conservative Party of Canada (7/12/2003)
