Last day of survey,LPC,CPC,NDP,GPC,CA,PC,Other,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Polling firm,Sample,ME,Source
Voting result[4],43.8,30.0,22.6,3.0,—,—,0.5,,,,
"June 24, 2004",45,24,25,4,—N/a,—,—,Nanos,—N/a,—N/a,
"June 24, 2004",39,33,28,0,—,—,0,Ekos,—N/a,—N/a,PDF
"June 23, 2004",44,23,26,7,—,—,0,Ipsos,154,—N/a,PDF
"June 20, 2004",37,41,15,2,—,—,5,Ipsos,77,—N/a,PDF
"June 9, 2004",43,28,25,4,—,—,0,Ekos,—N/a,—N/a,PDF
"June 7, 2004",42,29,22,—N/a,—,—,6,Léger,—N/a,—N/a,PDF
"May 31, 2004",41,30,21,6,—,—,2,Léger,—N/a,—N/a,PDF
"May 30, 2004",41,30,26,2,—,—,—N/a,SES,87,± 11.0,PDF
"Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)","Official call of federal elections (May 23, 2004)"
"May 20, 2004",50,21,24,1,—,—,3,Ipsos,60,—N/a,PDF
"April 25, 2004",46,34,19,1,—,—,—N/a,SES,100,± 10.0,PDF
"March 22, 2004",36,39,18,—N/a,—,—,6,Léger,—N/a,—N/a,PDF
"April 17, 2003",53,—,21,0,5,22,0,Ipsos,100,—N/a,PDF
"February 20, 2003",55,—,15,—N/a,5,23,2,Ekos,—N/a,—N/a,PDF
"January 16, 2003",59,—,11,—N/a,3,26,2,Ekos,—N/a,—N/a,PDF
"January 14, 2003",49,—,14,—N/a,7,28,1,Environics,467,± 4.6,HTML
"December 12, 2002",46,—,14,0,5,34,0,Ipsos,79,—N/a,PDF
"July 18, 2002",53,—,12,—N/a,6,27,2,Ipsos,90,—N/a,PDF
"June 20, 2002",50,—,15,—N/a,9,25,1,Ipsos,182,—N/a,PDF
"June 9, 2002",55,—,11,—N/a,5,22,7,Léger,100,—N/a,PDF
"May 30, 2002",53,—,13,—N/a,9,25,0,Ipsos,167,—N/a,PDF
April 2002,37,—,22,—N/a,12,23,5,Léger,100,—N/a,PDF
"March 28, 2002",49,—,15,—N/a,4,31,1,Ipsos,90,—N/a,PDF
"February 21, 2002",57,—,7,—N/a,2,28,6,Ipsos,92,—N/a,PDF
"August 29, 2001",54,—,12,—N/a,2,31,1,Ekos,—N/a,—N/a,PDF
"August 13, 2001",50,—,19,—N/a,5,23,4,Léger,—N/a,—N/a,PDF
"July 10, 2001",51,—,12,—N/a,9,27,1,Environics,236,± 6.5,HTML
"May 27, 2001",61,—,11,—N/a,5,23,0,Ipsos,93,—N/a,PDF
"April 24, 2001",46,—,12,—N/a,11,29,1,Environics,234,± 6.5,HTML
April 2001,51,—,13,—N/a,6,26,3,Léger,119,—N/a,PDF
"March 29, 2001",59,—,6,—N/a,11,24,0,Ipsos,89,—N/a,PDF
