Last day of survey,LPC,CPC,NDP,BQ,GPC,CA,PC,Other,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Polling firm,Sample,ME,Source
"December 17, 2003",50,5,9,35,—N/a,—,—,—N/a,CROP,986,± 3.0,PDF
"November 27, 2003",40,—,8,38,5,3,4,3,Ipsos,209,—N/a,PDF
"November 25, 2003",46,—,10,38,—N/a,2,1,3,Leger,—N/a,—N/a,PDF [6]
"November 23, 2003",50,—,—N/a,34,—N/a,—N/a,—N/a,—N/a,CROP,1003,—N/a,PDF
"October 23, 2003",50,—,6,31,4,3,5,2,Ipsos,213,—N/a,PDF
"September 29, 2003",50,—,7,35,—N/a,—N/a,5,—N/a,CROP,1002,—N/a,PDF
"July 9, 2003",65,—,—N/a,20,—N/a,—N/a,—N/a,—N/a,Ekos,—N/a,—N/a,PDF
"July 6, 2003",49,—,—N/a,35,—N/a,—N/a,6,—N/a,Environics,472,± 4.5,HTML
"June 5, 2003",52,—,5,33,4,1,4,—N/a,Ipsos,230,—N/a,PDF
"May 25, 2003",62,—,6,28,—N/a,1,3,—N/a,Leger,—N/a,—N/a,PDF
"April 17, 2003",50,—,3,36,5,2,4,—N/a,Ipsos,233,—N/a,PDF
"March 27, 2003",46,—,8,38,—N/a,3,4,1,Environics,485,± 4.5,HTML
"February 20, 2003",49,—,9,35,—N/a,1,3,2,Ekos,—N/a,—N/a,PDF
"January 16, 2003",55,—,5,31,—N/a,3,3,4,Ekos,243,± 6.3,1 2
"January 14, 2003",41,—,12,38,—N/a,3,4,1,Environics,967,± 3.2,HTML
