Last day of survey,LPC,NDP,BQ,GPC,CA,PC,Other,Polling firm,Sample,ME,Source
Last day of survey,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Polling firm,Sample,ME,Source
"December 12, 2002",39,12,34,7,2,5,0,Ipsos,213,—N/a,PDF
"November 24, 2002",40,4,40,—N/a,3,8,5,Leger,774,± 3.4,PDF
"September 30, 2002",38,11,36,4,1,8,1,Ipsos,250,—N/a,PDF
"August 14, 2002",38,15,33,—N/a,7,5,2,Ipsos,199,—N/a,PDF
"July 18, 2002",46,12,26,—N/a,5,7,3,Ipsos,222,—N/a,PDF
"June 20, 2002",39,12,39,—N/a,3,5,1,Ipsos,—N/a,—N/a,HTML
"June 9, 2002",37,6,37,—N/a,2,7,11,Leger,400,± 4.5,PDF
"May 30, 2002",38,12,39,—N/a,3,8,—N/a,Ipsos,—N/a,—N/a,HTML
"March 28, 2002",47,5,38,—N/a,3,5,—N/a,Ipsos,—N/a,—N/a,HTML
"March 24, 2002",46,4,37,—N/a,2,4,7,Leger,—N/a,—N/a,PDF
"February 21, 2002",46,6,39,—N/a,1,7,1,Ipsos,215,—N/a,PDF
