Polling firm,Last date of polling,Link,LPC,CPC,NDP,BQ,GPC,Margin of error,Sample size,Polling method,Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error,Sample size,Polling method,Lead
,,,,,,,,,,,
Election,23 January 2006,,30.2,36.3,17.5,10.5,4.5,,14817159,,6.1
,,,,,,,,,,,
Strategic Counsel,22 January 2006,PDF,27.0,37.0,19.0,11,6,± 2%,2500,,10.0
Nanos Research,22 January 2006,PDF,30.1,36.4,17.4,10.6,5.6,± 3.1%,"1,200 (1/3)",Telephone (rolling),6.3
Ipsos-Reid,22 January 2006,HTML,27.0,38.0,19.0,12,4,± 1.1%,9648,,11.0
Nanos Research,21 January 2006,PDF,28.1,37.0,17.7,11.3,6.0,± 3.1%,"1,200 (1/3)",Telephone (rolling),8.9
Strategic Counsel,21 January 2006,PDF,27.0,37.0,18.0,11,6,± 2.2%,2000,,10.0
Nanos Research,20 January 2006,PDF,29.4,36.2,17.3,11.0,6.1,± 3.1%,"1,200 (1/3)",Telephone (rolling),6.8
EKOS,20 January 2006,PDF,26.9,37.1,19.5,11.5,4.6,,,,10.2
EKOS,20 January 2006,PDF,24.4,38.4,19.8,11.9,5.4,,,,14.0
Ipsos-Reid,19 January 2006,PDF,26.0,38.0,19.0,11,5,,,,12.0
EKOS,19 January 2006,PDF,27.0,37.1,19.7,11.2,4.5,,,,10.1
Strategic Counsel,19 January 2006,PDF,28.0,38.0,17.0,11,7,,,,10.0
Nanos Research,19 January 2006,PDF,29.0,35.5,18.8,11.1,5.6,± 2.9%,"1,200 (1/3)",Telephone (rolling),6.5
EKOS[3],19 January 2006,PDF,27.3,37.4,20.8,10.1,3.9,,,,9.9
Strategic Counsel,18 January 2006,PDF,28.0,37.0,16.0,12,7,,,,9.0
Nanos Research,18 January 2006,PDF,30.7,37.0,16.6,10.7,4.9,,,,6.3
EKOS[3],18 January 2006,PDF,29.3,35.1,18.0,12.6,4.4,,,,5.8
Leger Marketing,17 January 2006,PDF,29.0,38.0,17.0,11,—,,,,9.0
Strategic Counsel,17 January 2006,PDF,25.0,41.0,17.0,12,5,,,,16.0
Nanos Research,17 January 2006,PDF,31.5,36.9,17.6,10.0,4.0,,,,5.4
EKOS,17 January 2006,PDF,27.2,36.9,19.6,11.0,4.8,,,,9.7
Strategic Counsel,16 January 2006,PDF,24.0,42.0,17.0,12,5,,,,18.0
Nanos Research,16 January 2006,PDF,30.0,37.0,18.0,10,4,,,,7.0
EKOS[3],16 January 2006,PDF,29.6,35.8,19.4,11.6,3.4,,,,6.2
Decima Research,15 January 2006,PDF,27.0,37.0,18.0,11,—,± 3.1%,1017,telephone,10.0
Ipsos-Reid,15 January 2006,PDF,26.0,38.0,19.0,12,5,,,,12.0
Strategic Counsel,15 January 2006,PDF,27.0,40.0,16.0,11,6,,,,13.0
Nanos Research,15 January 2006,PDF,29.0,37.0,18.0,11,5,,,,8.0
EKOS,15 January 2006,PDF,27.2,38.6,18.6,10.6,4.4,± 3.2,968,Telephone,11.4
Nanos Research,14 January 2006,PDF,30.0,38.0,17.0,10,6,,,,8.0
Strategic Counsel,14 January 2006,PDF,27.0,40.0,16.0,11,6,,,,13.0
