0,1,2,3,4,5
Projector,Conservative,Liberal,NDP,BQ,Other
Final Results HTML,124,103,29,51,1
ElectionPrediction.org,118,104,29,56,1
democraticSPACE.com,128,94,29,56,1
UBC Election Stock market,127,93,33,54,1
jord.ca,135,72,38,62,1
Loblaw Election Pool,136,89,26,57,0
Laurier University,140,78,33,56,1
Andrew Coyne,140,81,31,54,2
TrendLines Federal & Provincial Riding Projections,140,75,35,57,1
ElectionPolls,141,79,30,58,1
PinnacleSports.com,146,74,31,57,0
Ipsos-Reid Archived 17 March 2006 at the Wayback Machine,148–152,62–66,34–38,56–60,-
