Polling firm,Last date of polling,Source,CPC,LPC,NDP,BQ,GPC,Unnamed: 8_level_0
Polling firm,Last date of polling,Source,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1
Election 2008,"October 14, 2008",HTML,37.6,26.2,18.2,10.0,6.8,
,,,,,,,,
Asking Canadians[1],"October 13, 2008",HTML,38.0,22.6,22.6,9.5,7.1,
EKOS Research Associates,"October 13, 2008",HTML Archived 2008-10-14 at the Wayback Machine,34.8,26.4,19.4,9.8,9.6,
Angus Reid Strategies,"October 13, 2008",PDF,37.0,27.0,20.0,9,7,
Nanos Research,"October 12, 2008",PDF,34.2,26.7,21.4,9.5,8.2,
EKOS Research Associates,"October 12, 2008",HTML,34.0,26.0,18.0,10,11,
Harris-Decima,"October 12, 2008",PDF,34.0,25.0,19.0,11,9,
Strategic Counsel,"October 11, 2008",HTML,33.0,28.0,18.0,10,11,
Nanos Research,"October 11, 2008",PDF,33.0,27.0,22.0,10,9,
Harris-Decima,"October 11, 2008",PDF,35.0,26.0,18.0,10,9,
EKOS Research Associates,"October 11, 2008",HTML,34.0,27.0,18.0,10,11,
Strategic Counsel,"October 10, 2008",HTML,35.0,28.0,19.0,9,9,
Harris-Decima,"October 10, 2008",PDF,35.0,25.0,18.0,9,11,
Nanos Research,"October 10, 2008",PDF,32.0,28.0,22.0,10,8,
Angus Reid Strategies,"October 10, 2008",PDF,38.0,28.0,19.0,9,6,
EKOS Research Associates,"October 10, 2008",HTML,34.0,26.0,19.0,10,11,
Ipsos Reid,"October 9, 2008",HTML,34.0,29.0,18.0,9,8,
Segma,"October 9, 2008",PDF,35.0,23.0,21.0,10,10,
Nanos Research,"October 9, 2008",PDF,33.0,27.0,22.0,10,8,
Harris-Decima,"October 9, 2008",PDF,34.0,26.0,18.0,9,12,
EKOS Research Associates,"October 9, 2008",HTML,36.0,24.0,19.0,10,11,
Nanos Research,"October 8, 2008",PDF,33.0,29.0,20.0,10,7,
Harris-Decima,"October 8, 2008",PDF,32.0,27.0,19.0,8,12,
EKOS Research Associates,"October 8, 2008",HTML,35.0,24.0,20.0,10,11,
Nanos Research,"October 7, 2008",PDF,33.0,29.0,20.0,11,7,
Angus Reid Strategies,"October 7, 2008",PDF,35.0,27.0,18.0,9,10,
Harris-Decima,"October 7, 2008",PDF,31.0,27.0,20.0,8,12,
EKOS Research Associates,"October 7, 2008",HTML,34.0,25.0,20.0,10,11,
Harris-Decima,"October 6, 2008",PDF,31.0,26.0,21.0,8,13,
Nanos Research,"October 6, 2008",PDF,34.0,31.0,18.0,11,6,
EKOS Research Associates,"October 6, 2008",HTML,33.0,26.0,19.0,10,12,
Harris-Decima,"October 5, 2008",PDF,32.0,25.0,21.0,8,12,
Nanos Research,"October 5, 2008",PDF,34.0,29.0,20.0,11,6,
EKOS Research Associates,"October 5, 2008",HTML,35.0,25.0,19.0,10,10,
Harris-Decima,"October 4, 2008",PDF,34.0,24.0,20.0,8,13,
Nanos Research,"October 4, 2008",PDF,34.0,30.0,19.0,10,7,
EKOS Research Associates,"October 4, 2008",HTML,36.0,25.0,18.0,10,10,
Angus Reid Strategies,"October 3, 2008",PDF,40.0,25.0,19.0,11,6,
Harris-Decima,"October 3, 2008",PDF,35.0,22.0,20.0,9,13,
Nanos Research,"October 3, 2008",PDF,35.0,28.0,19.0,10,8,
EKOS Research Associates,"October 3, 2008",HTML,36.0,25.0,19.0,10,10,
Ipsos Reid,"October 2, 2008",HTML,37.0,23.0,19.0,11,10,
Harris-Decima,"October 2, 2008",PDF,37.0,22.0,18.0,9,12,
Nanos Research,"October 2, 2008",PDF,35.0,30.0,18.0,10,9,
EKOS Research Associates,"October 2, 2008",HTML,36.0,24.0,19.0,10,11,
Harris-Decima,"October 1, 2008",PDF,36.0,23.0,18.0,9,12,
Nanos Research,"October 1, 2008",PDF,37.0,26.0,19.0,10,8,
EKOS Research Associates,"October 1, 2008",HTML,34.0,25.0,19.0,10,11,
Harris-Decima,"September 30, 2008",PDF Archived 2009-03-27 at the Wayback Machine,36.0,24.0,17.0,10,11,
Nanos Research,"September 30, 2008",PDF,36.0,26.0,20.0,10,9,
EKOS Research Associates,"September 30, 2008",HTML,34.0,25.0,20.0,10,11,
Strategic Counsel,"September 29, 2008",HTML,39.0,24.0,19.0,10,9,
Harris-Decima,"September 29, 2008",PDF,36.0,26.0,18.0,9,11,
Nanos Research,"September 29, 2008",PDF,37.0,26.0,20.0,10,8,
EKOS Research Associates,"September 29, 2008",HTML,34.0,27.0,19.0,9,10,
Harris-Decima,"September 28, 2008",PDF,36.0,26.0,19.0,8,9,
Nanos Research,"September 28, 2008",PDF,36.0,26.0,20.0,9,9,
EKOS Research Associates,"September 28, 2008",HTML,34.0,26.0,20.0,10,10,
Nanos Research,"September 27, 2008",PDF,36.0,27.0,19.0,9,9,
Harris-Decima,"September 27, 2008",PDF,36.0,25.0,19.0,9,9,
Nanos Research,"September 26, 2008",PDF,39.0,25.0,19.0,8,9,
Harris-Decima,"September 26, 2008",PDF,38.0,23.0,19.0,9,9,
Angus Reid Strategies,"September 25, 2008",PDF,40.0,21.0,21.0,10,7,
Ipsos Reid,"September 25, 2008",HTML,39.0,23.0,18.0,9,11,
Nanos Research,"September 25, 2008",PDF,39.0,24.0,19.0,9,8,
Harris-Decima,"September 25, 2008",PDF,37.0,24.0,18.0,9,10,
EKOS Research Associates,"September 25, 2008",HTML,35.0,25.0,20.0,10,10,
Nanos Research,"September 24, 2008",PDF,40.0,25.0,19.0,9,8,
EKOS Research Associates,"September 24, 2008",HTML,36.0,25.0,19.0,10,11,
Harris-Decima,"September 24, 2008",HTML,36.0,23.0,17.0,9,12,
EKOS Research Associates,"September 23, 2008",HTML,37.0,24.0,19.0,9,11,
Harris-Decima,"September 23, 2008",PDF,37.0,24.0,16.0,9,12,
Nanos Research,"September 23, 2008",PDF,37.0,26.0,21.0,9,7,
EKOS Research Associates,"September 22, 2008",HTML,36.0,25.0,19.0,8,12,
Nanos Research,"September 22, 2008",PDF,38.0,27.0,21.0,8,6,
Harris-Decima,"September 22, 2008",HTML,37.0,24.0,17.0,8,11,
EKOS Research Associates,"September 21, 2008",HTML,37.0,24.0,19.0,8,12,
Nanos Research,"September 21, 2008",PDF,35.0,30.0,22.0,7,6,
Harris-Decima,"September 21, 2008",PDF,38.0,23.0,17.0,8,12,
Nanos Research,"September 20, 2008",PDF,36.0,31.0,20.0,7,7,
Harris-Decima,"September 20, 2008",PDF,39.0,23.0,17.0,8,11,
Nanos Research,"September 19, 2008",PDF,38.0,29.0,18.0,7,7,
Harris-Decima,"September 19, 2008",PDF,38.0,23.0,17.0,8,12,
Angus Reid Strategies,"September 18, 2008",PDF,38.0,24.0,19.0,9,10,
Ipsos Reid,"September 18, 2008",HTML,40.0,27.0,15.0,8,10,
EKOS Research Associates,"September 18, 2008",HTML,36.0,25.0,18.0,8,13,
