Polling firm,Last date of polling,Source,Stephen Harper,Stéphane Dion,Jack Layton,Gilles Duceppe,Elizabeth May
Polling firm,Last date of polling,Source,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1
Nanos Research,"October 5, 2008",PDF,33.0,18.0,21,3,4
Nanos Research,"October 4, 2008",PDF,32.0,20.0,19,3,4
Nanos Research,"October 3, 2008",PDF,32.0,17.0,19,4,4
Nanos Research,"October 2, 2008",PDF,32.0,18.0,17,5,5
Nanos Research,"September 28, 2008",PDF,35.0,14.0,18,4,4
Angus Reid Strategies,"September 25, 2008",PDF,33.0,9.0,18,3,2
Angus Reid Strategies,"September 20, 2008",PDF,32.0,8.0,19,4,5
Nanos Research,"September 18, 2008",PDF,38.0,14.0,17,3,3
Nanos Research,"September 15, 2008",PDF,36.0,14.0,18,3,3
Nanos Research,"September 14, 2008",PDF,34.0,14.0,18,4,4
Angus Reid Strategies,"September 12, 2008",PDF,36.0,9.0,16,4,3
Decima Research,"September 8, 2008",PDF,43.0,22.0,-,-,-
Segma,"September 6, 2008",PDF,42.0,15.0,16,4,4
EKOS Research Associates,"September 4, 2008",HTML,32.0,12.0,19,3,5
Angus Reid Strategies,"August 28, 2008",PDF,36.0,13.0,-,-,-
Nanos Research,"August 27, 2008",PDF,36.0,15.0,17,5,4
Ipsos-Reid,"February 14, 2008",HTML,41.0,25.0,18,6,-
Léger Marketing,"February 10, 2008",HTML,32.0,15.0,18,-,-
Nanos Research,"February 8, 2008",PDF,35.0,14.0,21,6,8
Nanos Research,"January 3, 2008",HTML,42.0,12.0,16,5,4
Nanos Research,"November 8, 2007",PDF,37.0,13.0,17,6,5
Segma,"October 18, 2007",HTML,40.0,10.0,16,1,4
,,,,,,,
Angus Reid Strategies,"October 17, 2007",PDF,30.0,10.0,-,-,-
Environics,"October 17, 2007",HTML,37.0,12.0,19,5,4
Nanos Research,"August 4, 2007",PDF,31.0,23.0,18,6,5
Angus Reid Strategies,"July 16, 2007",HTML,33.0,14.0,-,-,-
Angus Reid Strategies,"June 18, 2007",PDF,33.0,17.0,-,-,-
Nanos Research,"April 5, 2007",HTML,42.0,17.0,16,7,4
Ipsos-Reid,"February 19, 2007",HTML,46.0,29.0,-,-,
