Polling firm,Last day of survey,Source,CPC,LPC,NDP,BQ,GPC,Other,Type,ME,Lead
Polling firm,Last day of survey,Source,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Type,ME,Lead
Election results,"May 2, 2011",[1],39.6,18.9,30.6,6.0,3.9,0.9,—,—,9.0
,,,,,,,,,,,
Forum Research,"May 1, 2011",[2],36.0,19.0,33.0,5.0,6.0,,Phone (IVR),±1.6,3.0
EKOS Research Associates[a],"May 1, 2011",[3],33.9,21.0,31.2,6.4,6.0,1.5,Phone (IVR),±1.8,2.7
Nanos Research[a],"May 1, 2011",[4],37.1,20.5,31.6,5.7,3.8,1.4,Phone,±3.0,5.5
Harris-Decima,"May 1, 2011",[5],36.0,19.0,30.0,6.0,6.0,,Phone,±3.1,6.1
EKOS Research Associates[a],"April 30, 2011",[6],34.6,20.4,31.4,5.4,6.3,1.8,Phone (IVR),±1.8,3.2
Forum Research,"April 30, 2011",[7] 2,35.0,19.0,33.0,5.0,7.0,,Phone (IVR),±1.6,2.0
Nanos Research[a],"April 30, 2011",[8],37.0,22.7,30.6,5.5,3.2,,Phone,±3.0,6.4
Abacus Data,"April 29, 2011",[9],37.0,18.0,32.0,7.0,7.0,,Online,±3.2,5.0
COMPAS,"April 29, 2011",[10],46.0,17.0,26.0,7.0,4.0,,Phone,±3.6,20.0
Nanos Research[a],"April 29, 2011",[11],38.0,23.3,29.6,5.2,3.1,,Phone,±3.0,8.4
Angus Reid Public Opinion,"April 29, 2011",[12],37.0,19.0,33.0,6.0,4.0,,Online,±2.2,4.0
Leger Marketing,"April 28, 2011",[13],36.0,21.0,31.0,7.0,4.0,,Online,±1.7,5.0
Ipsos Reid,"April 28, 2011",[14],38.0,18.0,33.0,6.0,4.0,,Phone,±3.1,5.0
EKOS Research Associates[a],"April 28, 2011",[15],34.5,20.0,29.7,6.3,6.9,2.7,Phone (IVR),±1.8,4.8
Nanos Research[a],"April 28, 2011",[16],36.4,22.0,31.2,5.7,4.0,,Phone,±3.1,5.2
Harris-Decima,"April 27, 2011",[17],35.0,22.0,30.0,5.0,7.0,,Phone,±3.1,5.0
EKOS Research Associates[a],"April 27, 2011",[18],34.8,22.3,27.5,6.1,6.8,2.5,Phone (IVR),±1.9,7.3
Nanos Research[a],"April 27, 2011",[19],36.6,21.9,30.4,6.0,4.1,,Phone,±3.1,6.2
EKOS Research Associates[a],"April 26, 2011",[20],34.0,22.9,28.1,6.6,6.5,1.9,Phone (IVR),±1.9,5.9
Forum Research,"April 26, 2011",[21],34.0,22.0,31.0,6.0,7.0,,Phone (IVR),±1.8,3.0
Nanos Research[a],"April 26, 2011",[22],37.8,22.9,27.8,5.8,4.7,,Phone,±3.1,10.0
Angus Reid Public Opinion,"April 26, 2011",[23],35.0,22.0,30.0,7.0,5.0,1.0,Online,±2.2,5.0
EKOS Research Associates[a],"April 25, 2011",[24],33.9,24.0,27.9,6.0,6.8,1.4,Phone (IVR),±2.0,6.0
Innovative Research Group,"April 25, 2011",[25],38.4,24.9,23.9,6.4,5.3,,Phone,±2.49,13.5
EKOS Research Associates,"April 24, 2011",[26],33.7,23.7,28.0,6.2,7.2,1.2,Phone (IVR),±1.9,5.0
Nanos Research[a],"April 24, 2011",[27],39.2,25.6,23.6,6.5,3.6,,Phone,±3.1,13.6
Nanos Research[a],"April 23, 2011",[28],38.6,25.9,23.2,7.2,3.7,,Phone,±3.1,12.7
Environics,"April 21, 2011",[29],39.0,22.0,25.0,7.0,6.0,1.0,Phone,±3.2,14.0
Nanos Research[a],"April 21, 2011",[30],37.8,26.1,23.7,7.4,3.5,,Phone,±3.1,11.7
Ipsos Reid,"April 20, 2011",[31],43.0,21.0,24.0,6.0,4.0,,Phone,±3.1,19.0
Forum Research,"April 20, 2011",[32],36.0,23.0,25.0,6.0,6.0,,Phone (IVR),±2.2,11.0
Nanos Research[a],"April 20, 2011",[33],39.0,26.7,22.1,7.5,3.4,,Phone,±3.1,12.3
EKOS Research Associates,"April 20, 2011",[34],34.4,24.7,24.7,6.5,7.8,1.9,Phone (IVR),±2.2,9.7
Nanos Research[a],"April 19, 2011",[35],39.1,28.4,19.8,7.7,3.9,,Phone,±3.1,10.7
Nanos Research[a],"April 18, 2011",[36],39.8,30.2,17.3,8.6,3.1,,Phone,±3.1,9.6
Innovative Research Group,"April 17, 2011",[37],39.0,28.0,17.0,9.0,6.0,1.0,Phone,±2.25,11.0
