Polling firm,Last day of survey,Source,CPC,LPC,NDP,BQ,GPC,ME
Polling firm,Last day of survey,Source,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,ME
Angus Reid Public Opinion,"March 24, 2011",[83],39.0,25.0,19.0,10.0,7.0,±2 pp
Leger Marketing,"March 24, 2011",[84],39.0,23.0,19.0,9.0,7.0,±1.7 pp
EKOS Research Associates,"March 24, 2011",[85],35.3,28.1,14.2,9.7,10.6,±2.0 pp (c-95%)
Ipsos Reid,"March 23, 2011",[86],43.0,24.0,16.0,10.0,6.0,±3.1 pp (c-95%)
Harris-Decima,"March 20, 2011",[87],34.0,28.0,17.0,10.0,9.0,±2.2 pp (c-95%)
EKOS Research Associates,"March 16, 2011",[88],34.1,25.7,16.4,10.2,10.4,±2.8 pp
Nanos Research,"March 15, 2011",[89],38.6,27.6,19.9,10.1,3.8,±3.2 pp
Leger Marketing,"March 10, 2011",[90],36.0,23.0,18.0,10.0,10.0,±2.1 pp
Ipsos Reid,"March 9, 2011",[91],40.0,27.0,16.0,11.0,5.0,±3.1 pp (c-95%)
Angus Reid Public Opinion,"March 9, 2011",[92],39.0,23.0,17.0,9.0,9.0,±3.1 pp
EKOS Research Associates,"March 8, 2011",[93],35.2,27.8,14.9,8.8,10.1,±2.0 pp
Harris-Decima,"February 27, 2011",[94],36.0,28.0,15.0,9.0,9.0,±2.2 pp (c-95%)
Ipsos Reid,"February 27, 2011",[95],43.0,27.0,13.0,10.0,5.0,±3.1 pp (c-95%)
Abacus Data,"February 23, 2011",[96],38.0,23.0,19.0,11.0,8.0,±3.1 pp (c-95%)
EKOS Research Associates,"February 22, 2011",[97],32.4,27.3,14.8,10.5,11.9,±2.0 pp
Angus Reid Public Opinion,"February 18, 2011",[98],39.0,26.0,18.0,9.0,6.0,±1.2 pp
Nanos Research,"February 14, 2011",[99],39.7,26.6,18.9,9.9,4.9,±3.4 pp
Harris-Decima,"February 13, 2011",[100],37.0,27.0,14.0,10.0,10.0,±3.1 pp (c=95%)
Ipsos Reid,"February 10, 2011",[101],39.0,25.0,18.0,9.0,10.0,±3.1 pp
EKOS Research Associates,"February 9, 2011",[102],37.3,24.8,14.2,9.9,10.7,±2.4 pp
Ipsos Reid,"February 2, 2011",[103],34.0,29.0,16.0,11.0,10.0,±3.1 pp
EKOS Research Associates,"January 26, 2011",[104],35.4,27.9,14.8,9.7,9.8,±1.4 pp (c=95%)
Abacus Data,"January 24, 2011",[105],35.0,27.0,18.0,10.0,9.0,±3.0 pp (c=95%)
Pollara,"January 24, 2011",[106],35.0,28.0,19.0,10.0,8.0,not stated
Harris-Decima,"January 16, 2011",[107],36.0,28.0,15.0,9.0,9.0,±2.2 pp (c=95%)
EKOS Research Associates,"January 12, 2011",[108],34.5,27.3,14.8,9.8,10.3,±1.7 pp (c=95%)
Angus Reid Public Opinion,"January 9, 2011",[109],34.0,28.0,17.0,11.0,8.0,±3.1 pp
EKOS Research Associates,"December 15, 2010",[110],32.0,26.5,17.1,10.6,10.9,±2.0 pp (c=95%)
Harris-Decima,"December 13, 2010",[111],31.0,29.0,15.0,9.0,11.0,±2.2 pp (c=95%)
Ipsos Reid,"December 9, 2010",[112],39.0,29.0,12.0,10.0,9.0,±3.1 pp
Angus Reid Public Opinion,"December 7, 2010",[113],38.0,26.0,18.0,10.0,7.0,±3.1 pp
EKOS Research Associates,"December 7, 2010",[114],33.7,29.2,14.4,9.8,10.4,±2.7 pp (c=95%)
Abacus Data,"December 6, 2010",[115],35.0,24.0,20.0,10.0,10.0,±3.1 pp (c=95%)
Nanos Research,"December 5, 2010",[116],38.1,31.2,17.2,10.2,3.2,±3.6 pp (c=95%)
EKOS Research Associates,"November 30, 2010",[117],32.6,27.4,15.8,9.9,10.9,±2.2 pp (c=95%)
EKOS Research Associates,"November 23, 2010",[118],33.3,27.1,16.6,9.5,9.5,±2.2 pp (c=95%)
EKOS Research Associates,"November 16, 2010",[119],32.4,28.7,16.3,9.9,9.8,±2.5 pp (c=95%)
EKOS Research Associates,"November 9, 2010",[120],29.4,28.6,19.3,9.3,10.7,±2.3 pp (c=95%)
Nanos Research,"November 5, 2010",[121],37.1,31.6,15.4,10.8,5.2,±3.4 pp (c=95%)
Ipsos Reid,"November 4, 2010",[122],35.0,29.0,16.0,8.0,11.0,±3.1 pp (c=95%)
Abacus Data,"November 1, 2010",[123],33.0,25.0,21.0,10.0,10.0,±3.1 pp (c=95%)
Harris-Decima,"October 31, 2010",[124],33.0,28.0,17.0,9.0,10.0,±2.2 pp (c=95%)
Angus Reid Public Opinion,"October 26, 2010",[125],37.0,26.0,19.0,10.0,6.0,±3.1 pp (c=95%)
EKOS Research Associates,"October 26, 2010",[126],33.9,27.8,15.1,9.3,11.6,±3.0 pp (c=95%)
EKOS Research Associates,"October 19, 2010",[127],30.9,29.4,13.9,11.2,11.6,±2.5 pp (c=95%)
Harris-Decima,"October 17, 2010",[128],32.0,30.0,14.0,10.0,10.0,±2.2 pp (c=95%)
EKOS Research Associates,"October 12, 2010",[129],34.4,27.8,15.8,9.3,10.4,±2.5 pp (c=95%)
Nanos Research,"October 6, 2010",[130],36.6,32.4,16.3,9.8,4.9,±3.4 pp (c=95%)
EKOS Research Associates,"October 5, 2010",[131],31.8,27.6,16.5,9.7,11.2,±2.0 pp (c=95%)
Angus Reid Public Opinion,"September 28, 2010",[132],34.0,26.0,18.0,10.0,11.0,±3.1 pp (c=95%)
EKOS Research Associates,"September 28, 2010",[133],33.1,29.9,13.5,10.1,10.9,±2.3 pp (c=95%)
Ipsos Reid,"September 23, 2010",[134],35.0,29.0,12.0,11.0,12.0,±3.1 pp (c=95%)
EKOS Research Associates,"September 21, 2010",[133],31.7,29.3,14.6,9.7,11.8,±2.5 pp (c=95%)
Harris-Decima,"September 19, 2010",[135],33.0,30.0,14.0,10.0,11.0,±2.2 pp (c=95%)
EKOS Research Associates,"September 14, 2010",[136],32.4,28.9,16.6,8.9,10.7,±2.3 pp (c=95%)
Ipsos Reid,"September 12, 2010",[137],34.0,31.0,16.0,10.0,9.0,±3.1 pp (c=95%)
Environics,"September 10, 2010",[138],35.0,31.0,16.0,9.0,7.0,±2.3 pp (c=95%)
EKOS Research Associates,"September 7, 2010",[136],32.1,28.5,15.2,9.5,12.5,±2.3 pp (c=95%)
Nanos Research,"September 3, 2010",[139],33.3,32.8,15.6,12.1,6.2,±3.4 pp (c=95%)
EKOS Research Associates,"August 31, 2010",[140],29.4,29.1,15.7,10.9,13.0,±2.7 pp (c=95%)
EKOS Research Associates,"August 24, 2010",[141],31.1,27.6,16.9,11.2,10.7,±2.5 pp (c=95%)
Harris-Decima,"August 22, 2010",[142],33.0,30.0,16.0,9.0,10.0,±2.2 pp (c=95%)
EKOS Research Associates,"August 17, 2010",[143],32.5,27.9,17.4,9.2,10.3,±1.8 pp (c=95%)
Angus Reid Public Opinion,"August 11, 2010",[144],33.0,29.0,19.0,10.0,9.0,±3.1 pp (c=95%)
EKOS Research Associates,"August 10, 2010",[145],32.2,27.7,15.4,9.5,12.3,±2.1 pp (c=95%)
Ipsos Reid,"August 9, 2010",[146],34.0,31.0,15.0,9.0,9.0,payment required
Harris-Decima,"August 9, 2010",[147],34.0,28.0,15.0,9.0,12.0,±2.2 pp (c=95%)
Leger Marketing,"August 4, 2010",[148],37.0,28.0,16.0,9.0,8.0,±2.5 pp (c=95%)
EKOS Research Associates,"August 3, 2010",[149],29.7,28.5,17.4,10.4,11.1,±2.5 pp (c=95%)
EKOS Research Associates,"July 27, 2010",[150],33.2,25.2,17.4,10.1,11.1,±2.6 pp (c=95%)
Harris-Decima,"July 25, 2010",[151],31.0,26.0,18.0,10.0,12.0,±2.2 pp (c=95%)
EKOS Research Associates,"July 20, 2010",[152],32.4,25.5,18.4,10.0,10.1,±3.1 pp (c=95%)
EKOS Research Associates,"July 13, 2010",[153],31.6,27.5,14.7,10.1,13.3,±2.6 pp (c=95%)
Angus Reid Public Opinion,"July 8, 2010",[154],36.0,27.0,20.0,10.0,7.0,±2.2 pp (c=95%)
Ipsos Reid,"July 8, 2010",[155],35.0,29.0,15.0,11.0,10.0,payment required
Environics,"July 8, 2010",[156],35.0,32.0,15.0,9.0,6.0,±2.2 pp (c=95%)
EKOS Research Associates,"July 6, 2010",[157],32.1,25.8,17.5,9.7,12.2,±1.7 pp (c=95%)
EKOS Research Associates,"June 21, 2010",[158],31.0,27.7,16.5,9.3,13.0,±2.4 pp (c=95%)
Harris-Decima,"June 20, 2010",[159],34.0,27.0,17.0,11.0,10.0,±2.2 pp (c=95%)
EKOS Research Associates,"June 15, 2010",[160],30.5,26.3,17.4,10.5,12.3,±2.4 pp (c=95%)
Ipsos Reid,"June 10, 2010",[161],35.0,27.0,16.0,10.0,11.0,±3.1 pp
EKOS Research Associates,"June 8, 2010",[162],31.4,26.8,16.6,8.9,12.6,2.3
Nanos Research,"June 3, 2010",[163],35.6,29.2,20.7,9.4,5.1,3.6
EKOS Research Associates,"June 1, 2010",[164],31.7,26.2,17.4,10.3,11.5,2.0
Leger Marketing,"May 27, 2010",[165],37.0,25.0,17.0,11.0,8.0,2.7
Angus Reid Public Opinion,"May 27, 2010",[166],35.0,27.0,19.0,9.0,8.0,2.2
Environics,"May 26, 2010",[167],36.0,30.0,15.0,10.0,7.0,2.2
EKOS Research Associates,"May 25, 2010",[168],33.9,25.7,16.4,9.4,11.9,2.1
Harris-Decima,"May 23, 2010",[169],36.0,27.0,16.0,8.0,11.0,2.2
EKOS Research Associates,"May 18, 2010",[170],34.4,25.1,15.3,10.6,12.0,1.9
Harris-Decima,"May 16, 2010",[171],32.0,28.0,17.0,10.0,11.0,2.2
EKOS Research Associates,"May 11, 2010",[172],33.6,27.1,16.9,9.3,10.6,1.9
Ipsos Reid,"May 6, 2010",[173],35.0,29.0,16.0,10.0,9.0,payment required
EKOS Research Associates,"May 4, 2010",[174],33.1,26.1,16.0,10.2,11.5,2.1
Nanos Research,"May 3, 2010",[175],37.2,33.2,16.2,9.6,3.8,3.1
Angus Reid Public Opinion,"April 29, 2010",[176],35.0,28.0,19.0,11.0,7.0,3.1
Leger Marketing,"April 29, 2010",[177],36.0,25.0,20.0,9.0,8.0,2.5
EKOS Research Associates,"April 27, 2010",[178],31.9,26.6,17.6,9.7,10.9,2.2
Harris-Decima,"April 25, 2010",[179],29.0,27.0,20.0,11.0,12.0,2.2
Ipsos Reid,"April 22, 2010",[180],35.0,29.0,16.0,9.0,10.0,payment required
EKOS Research Associates,"April 20, 2010",[181],31.7,27.1,16.3,9.5,12.6,2.3
EKOS Research Associates,"April 13, 2010",[182],31.4,29.0,16.4,8.8,11.1,2.7
Ipsos Reid,"April 8, 2010",[183],37.0,27.0,15.0,10.0,10.0,3.1
EKOS Research Associates,"April 6, 2010",[184],33.6,27.3,15.9,9.6,11.7,3.3
Harris-Decima,"April 5, 2010",[185],32.0,29.0,17.0,9.0,11.0,
EKOS Research Associates,"March 30, 2010",[186],32.2,27.0,16.0,9.0,12.7,2.1
Angus Reid Public Opinion,"March 26, 2010",[187],35.0,29.0,20.0,9.0,7.0,3.1
EKOS Research Associates,"March 23, 2010",[188],33.3,27.7,15.9,9.8,10.4,1.8
Ipsos Reid,"March 18, 2010",[189],34.0,28.0,18.0,9.0,10.0,
EKOS Research Associates,"March 16, 2010",[190],33.1,28.9,15.7,9.2,10.8,2.0
Nanos Research,"March 11, 2010",[191],34.7,34.6,17.8,7.7,5.2,3.5
EKOS Research Associates,"March 9, 2010",[192],31.9,29.6,16.0,9.1,11.0,2.0
Harris-Decima,"March 7, 2010",[193],33.0,29.0,16.0,10.0,11.0,
EKOS Research Associates,"March 2, 2010",[194],32.4,29.4,15.2,9.4,10.5,1.9
Harris-Decima,"February 28, 2010",[195],31.0,31.0,16.0,8.0,12.0,2.2
Angus Reid Public Opinion,"February 26, 2010",[196],33.0,29.0,20.0,9.0,9.0,3.1
Environics,"February 24, 2010",[197],31.0,30.0,16.0,9.0,13.0,3.1
EKOS Research Associates,"February 23, 2010",[198],33.4,30.3,15.8,8.2,10.4,1.8
Ipsos Reid,"February 22, 2010",[199],37.0,29.0,16.0,9.0,7.0,
EKOS Research Associates,"February 16, 2010",[200],31.2,29.0,16.5,8.8,11.8,1.6
Harris-Decima,"February 14, 2010",[201],32.0,30.0,16.0,10.0,10.0,
Angus Reid Public Opinion,"February 13, 2010",[202],34.0,30.0,18.0,9.0,8.0,2.2
Environics,"February 9, 2010",[203],33.0,37.0,13.0,8.0,9.0,3.2
