Polling firm,Last date of polling[1],Link,CPC,NDP,LPC,BQ,GPC,Margin of error[2],Sample size[3],Polling method[4],Lead
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[2],Sample size[3],Polling method[4],Lead
2015 election,"October 19, 2015",[1],31.9,19.7,39.5,4.7,3.4,,17559353.0,,7.6
,,,,,,,,,,,
Nanos Research,"October 18, 2015",[2],30.5,19.7,39.1,5.5,4.6,±3.5 pp,800.0,telephone,8.6
Forum Research,"October 18, 2015",[3],30.0,20.0,40.0,6.0,3.0,±3 pp,1373.0,IVR,10
EKOS,"October 18, 2015",[4],31.9,20.4,35.8,4.9,5.6,±2.1 pp,2122.0,IVR/telephone – rolling (1/3),3.9
EKOS,"October 17, 2015",[5],32.6,21.0,34.3,5.4,5.4,±2.4 pp,1621.0,IVR/telephone – rolling (1/2),1.7
Ipsos Reid,"October 17, 2015",[6],31.0,22.0,38.0,4.0,4.0,±2.2 pp,2503.0,online/telephone,7
Nanos Research,"October 17, 2015",[7],30.5,22.1,37.3,4.6,4.7,±2.2 pp,2000.0,telephone – rolling (2/5),6.8
EKOS,"October 16, 2015",[8],33.3,21.9,33.7,4.7,4.1,±2.5 pp,1537.0,IVR/telephone – rolling (1/2),0.4
Nanos Research,"October 16, 2015",[9],30.7,22.6,37.0,4.4,4.7,±2.5 pp,1600.0,telephone – rolling (1/2),6.3
Léger Marketing,"October 16, 2015",[10],30.0,22.0,38.0,6.0,4.0,±2.1 pp,2086.0,online,8
Angus Reid,"October 16, 2015",[11],31.0,22.0,35.0,5.0,5.0,±2.2 pp,2022.0,online,4
Mainstreet Research,"October 15, 2015",[12],33.0,21.0,38.0,4.0,5.0,±1.4 pp,5546.0,IVR,5
EKOS,"October 15, 2015",[13],32.8,22.7,34.0,3.4,5.1,±2.3 pp,1813.0,IVR/telephone – rolling (1/3),1.2
Nanos Research,"October 15, 2015",[14],30.6,23.5,36.5,4.3,4.7,±2.8 pp,1200.0,telephone – rolling (1/3),5.9
Forum Research,"October 14, 2015",[15],31.0,24.0,37.0,6.0,2.0,±3 pp,1438.0,IVR,6
EKOS,"October 14, 2015",[16],32.6,22.9,33.5,3.4,5.6,±2.6 pp,1438.0,IVR/telephone – rolling (1/3),0.9
Nanos Research,"October 14, 2015",[17],29.4,23.7,37.1,5.0,4.3,±2.8 pp,1200.0,telephone – rolling (1/3),7.7
EKOS,"October 13, 2015",[18],29.9,24.1,34.1,3.8,6.4,±2.9 pp,1179.0,IVR/telephone – rolling (1/3),4.2
Nanos Research,"October 13, 2015",[19],29.2,24.5,36.1,5.2,4.3,±2.8 pp,1200.0,telephone – rolling (1/3),6.9
Ipsos Reid,"October 13, 2015",[20],31.0,24.0,37.0,5.0,2.0,±3.0 pp,1349.0,online,6
EKOS,"October 12, 2015",[21],31.1,20.6,35.6,3.2,7.5,±2.9 pp,1115.0,IVR/telephone – rolling (2/3),4.5
Nanos Research,"October 11, 2015",[22],28.9,24.3,35.7,5.7,4.8,±2.8 pp,1200.0,telephone – rolling (1/3),6.8
Innovative Research,"October 11, 2015",[23],30.0,22.0,38.0,3.0,6.0,±3.1 pp,1143.0,telephone,8
EKOS,"October 10, 2015",[24],35.5,19.0,33.1,3.3,7.4,±2.6 pp,1428.0,IVR/telephone – rolling (2/3),2.4
Nanos Research,"October 10, 2015",[25],29.0,25.0,35.1,5.2,5.1,±2.8 pp,1200.0,telephone – rolling (1/3),6.1
Forum Research,"October 9, 2015",[26],31.0,23.0,37.0,5.0,3.0,±3 pp,1427.0,IVR,6
Nanos Research,"October 9, 2015",[27],28.6,24.9,34.8,5.5,5.4,±2.8 pp,1200.0,telephone – rolling (1/3),6.2
Angus Reid,"October 9, 2015",[28],33.0,25.0,31.0,6.0,3.0,±3 pp,1083.0,online,2
EKOS,"October 8, 2015",[29],33.7,20.4,33.8,3.5,7.2,±2.4 pp,1618.0,IVR/telephone – rolling (1/3),0.1
Nanos Research,"October 8, 2015",[30],31.0,25.0,34.0,5.3,4.2,±2.8 pp,1200.0,telephone – rolling (1/3),3.0
Innovative Research,"October 8, 2015",[31],30.0,24.0,35.0,5.0,5.0,n.a,3417.0,online,5
Mainstreet Research,"October 7, 2015",[32],36.0,20.0,35.0,4.0,5.0,±1.3 pp,5630.0,IVR,1
Léger Marketing,"October 7, 2015",[33],30.0,25.0,34.0,6.0,4.0,±2.1 pp,2087.0,online,4
EKOS,"October 7, 2015",[34],32.5,21.1,34.1,3.6,7.3,±2.3 pp,1753.0,IVR/telephone – rolling (1/3),1.6
Nanos Research,"October 7, 2015",[35],31.6,24.2,33.5,5.6,4.6,±2.8 pp,1200.0,telephone – rolling (1/3),1.9
Forum Research,"October 6, 2015",[36],31.0,26.0,35.0,4.0,3.0,±3 pp,1447.0,IVR,4
Abacus Data,"October 6, 2015",[37],33.0,24.0,32.0,4.0,5.0,±2.2 pp,2000.0,online,1
EKOS,"October 6, 2015",[38],34.1,21.4,32.3,4.0,6.9,±2.3 pp,1788.0,IVR/telephone – rolling (1/3),1.8
Nanos Research,"October 6, 2015",[39],32.1,23.0,34.3,5.1,4.6,±2.8 pp,1200.0,telephone – rolling (1/3),2.2
EKOS,"October 5, 2015",[40],35.1,22.2,30.9,4.0,6.6,±2.4 pp,1658.0,IVR/telephone – rolling,4.2
Nanos Research,"October 5, 2015",[41],31.5,23.1,35.0,4.9,4.6,±2.8 pp,1200.0,telephone – rolling (1/3),3.5
Ipsos Reid,"October 5, 2015",[42],33.0,26.0,32.0,5.0,3.0,±2.9 pp,1441.0,online,1
Nanos Research,"October 4, 2015",[43],31.0,22.8,35.6,4.8,4.7,±2.8 pp,1200.0,telephone – rolling (1/3),4.6
Nanos Research,"October 3, 2015",[44],31.0,24.3,35.3,4.3,4.5,±2.8 pp,1200.0,telephone – rolling (1/3),4.3
Nanos Research,"October 2, 2015",[45],30.5,25.1,34.6,4.5,4.8,±2.8 pp,1200.0,telephone – rolling (1/3),4.1
Mainstreet Research,"October 1, 2015",[46],37.0,24.0,29.0,4.0,7.0,±1.4 pp,5197.0,IVR,8
Innovative Research,"October 1, 2015",[47],29.0,29.0,31.0,5.0,6.0,n.a,1562.0,online,2
Nanos Research,"October 1, 2015",[48],31.9,25.9,33.5,4.3,3.9,±2.8 pp,1200.0,telephone – rolling (1/3),1.6
Léger Marketing,"September 30, 2015",[49],30.0,26.0,32.0,6.0,6.0,±2.1 pp,2107.0,online,2
Angus Reid,"September 30, 2015",[50],34.0,27.0,27.0,6.0,5.0,±2.5 pp,2021.0,online,7
Nanos Research,"September 30, 2015",[51],32.8,26.1,31.7,4.8,4.1,±2.8 pp,1200.0,telephone – rolling (1/3),1.1
Forum Research,"September 29, 2015",[52],34.0,28.0,27.0,5.0,5.0,±3 pp,1499.0,IVR,6
Nanos Research,"September 29, 2015",[53],32.1,26.3,32.2,4.6,4.4,±2.8 pp,1200.0,telephone – rolling (1/3),0.1
EKOS,"September 29, 2015",[54],33.4,25.6,26.7,5.3,7.8,±1.9 pp,2609.0,IVR,6.7
Nanos Research,"September 28, 2015",[55],32.6,27.0,31.4,4.4,4.0,±2.8 pp,1200.0,telephone – rolling (1/3),1.2
Ipsos Reid,"September 28, 2015",[56],32.0,27.0,33.0,4.0,4.0,±3.0 pp,1354.0,online,1
Nanos Research,"September 27, 2015",[57],33.0,26.9,31.6,4.2,3.6,±2.8 pp,1200.0,telephone – rolling (1/3),1.4
Abacus Data,"September 27, 2015",[58],32.0,27.0,29.0,5.0,5.0,±1.6 pp,3814.0,online,3
Nanos Research,"September 26, 2015",[59],31.5,27.6,32.5,4.0,3.7,±2.8 pp,1200.0,telephone – rolling (1/3),1.0
Nanos Research,"September 25, 2015",[60],29.6,30.3,31.8,3.1,4.5,±2.8 pp,1200.0,telephone – rolling (1/3),1.5
Nanos Research,"September 24, 2015",[61],28.9,31.1,32.3,2.5,4.2,±2.8 pp,1200.0,telephone – rolling (1/3),1.2
Innovative Research,"September 24, 2015",[62],31.0,29.0,28.0,3.0,8.0,n.a.,2805.0,online,2
Forum Research,"September 23, 2015",[63],31.0,28.0,31.0,4.0,4.0,±3 pp,1557.0,IVR,Tie
Nanos Research,"September 23, 2015",[64],30.5,30.8,31.5,2.3,3.7,±2.8 pp,1200.0,telephone – rolling (1/3),0.7
Léger Marketing,"September 23, 2015",[65],31.0,29.0,31.0,5.0,5.0,±2.1 pp,2115.0,online,Tie
Innovative Research,"September 23, 2015",[66],32.0,27.0,30.0,3.0,7.0,±2.5 pp,1784.0,telephone,2
Nanos Research,"September 22, 2015",[67],31.5,29.1,31.6,2.6,4.2,±2.8 pp,1200.0,telephone – rolling (1/3),0.1
EKOS,"September 22, 2015",[68],35.4,24.5,26.3,4.2,7.7,±2.0 pp,2343.0,IVR,9.1
Nanos Research,"September 21, 2015",[69],31.3,29.4,30.3,3.4,4.6,±2.8 pp,1200.0,telephone – rolling (1/3),1.0
Ipsos Reid,"September 21, 2015",[70],27.0,30.0,33.0,5.0,4.0,±3.4 pp,1103.0,online,3
Nanos Research,"September 20, 2015",[71],31.0,29.1,29.4,3.8,5.5,±2.8 pp,1200.0,telephone – rolling (1/3),1.6
Nanos Research,"September 19, 2015",[72],30.8,29.1,30.3,3.7,5.1,±2.8 pp,1200.0,telephone – rolling (1/3),0.5
Forum Research,"September 18, 2015",[73],33.0,29.0,29.0,4.0,4.0,±3 pp,922.0,IVR,4
