Polling firm,Last date of polling[1],Link,Stephen Harper,Thomas Mulcair,Justin Trudeau,Elizabeth May,Margin of error[1]
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Margin of error[1]
Nanos Research,"October 17, 2015",[366],30.1,18.9,35.2,5.3,±2.2 pp
Nanos Research,"October 16, 2015",[367],30.2,19.0,35.0,5.3,±2.5 pp
Nanos Research,"October 15, 2015",[368],30.0,19.3,34.6,5.6,±2.8 pp
Nanos Research,"October 14, 2015",[369],29.2,20.1,33.9,5.8,±2.8 pp
Nanos Research,"October 13, 2015",[370],28.8,19.9,33.0,6.4,±2.8 pp
Ipsos Reid,"October 13, 2015",[20],32.0,30.0,38.0,,±3.0 pp
Nanos Research,"October 11, 2015",[371],28.1,20.5,32.3,6.4,±2.8 pp
Nanos Research,"October 10, 2015",[372],28.2,22.6,30.2,5.8,±2.8 pp
Forum Research,"October 9, 2015",[26],26.0,22.0,29.0,8,±3 pp
Nanos Research,"October 9, 2015",[373],28.1,23.1,30.4,5.5,±2.8 pp
Nanos Research,"October 8, 2015",[374],30.8,22.8,29.8,4.9,±2.8 pp
Nanos Research,"October 7, 2015",[375],32.6,19.9,30.8,4.9,±2.8 pp
Forum Research,"October 6, 2015",[376],27.0,22.0,28.0,9,±3 pp
Nanos Research,"October 6, 2015",[377],33.2,18.7,30.4,5.8,±2.8 pp
Nanos Research,"October 5, 2015",[378],31.7,19.0,30.6,5.1,±2.8 pp
Nanos Research,"October 4, 2015",[379],31.1,20.7,30.2,5.4,±2.8 pp
Nanos Research,"October 3, 2015",[380],31.7,22.7,29.4,4.6,±2.8 pp
Nanos Research,"October 2, 2015",[381],32.6,24.4,27.7,4.8,±2.8 pp
Nanos Research,"October 1, 2015",[382],33.2,23.2,28.3,4.4,±2.8 pp
Léger Marketing,"September 30, 2015",[383],24.0,24.0,23.0,,±2.1 pp
Nanos Research,"September 30, 2015",[384],32.9,24.1,27.3,4.3,±2.8 pp
Forum Research,"September 29, 2015",[385],29.0,25.0,22.0,9,±3 pp
Nanos Research,"September 29, 2015",[386],32.0,23.5,28.0,4.4,±2.8 pp
Nanos Research,"September 28, 2015",[387],31.4,24.8,27.4,4.0,±2.8 pp
Ipsos Reid,"September 28, 2015",[56],35.0,34.0,32.0,,±3.0 pp
Nanos Research,"September 27, 2015",[388],32.4,23.7,25.9,4.5,±2.8 pp
Nanos Research,"September 26, 2015",[389],31.4,23.0,27.8,4.6,±2.8 pp
Nanos Research,"September 25, 2015",[390],30.2,24.4,27.2,5.5,±2.8 pp
Nanos Research,"September 24, 2015",[391],29.2,25.6,29.2,4.9,±2.8 pp
Forum Research,"September 23, 2015",[63],25.0,24.0,25.0,9,±3 pp
Nanos Research,"September 23, 2015",[392],30.1,26.0,28.3,5.1,±2.8 pp
Nanos Research,"September 22, 2015",[393],30.2,26.2,27.1,5.8,±2.8 pp
Nanos Research,"September 21, 2015",[394],30.3,26.1,27.0,6.1,±2.8 pp
Ipsos Reid,"September 21, 2015",[395],30.0,38.0,32.0,,±3.4 pp
Nanos Research,"September 20, 2015",[396],29.3,25.9,25.3,6.1,±2.8 pp
Nanos Research,"September 19, 2015",[397],30.0,25.5,26.6,5.2,±2.8 pp
Forum Research,"September 18, 2015",[398],28.0,24.0,24.0,9,±3 pp
Nanos Research,"September 18, 2015",[399],29.7,26.3,25.5,6.0,±2.8 pp
Nanos Research,"September 17, 2015",[400],30.1,28.6,25.4,5.8,±2.8 pp
Nanos Research,"September 16, 2015",[401],31.2,28.1,24.6,6.2,±2.8 pp
Forum Research,"September 15, 2015",[402],25.0,30.0,19.0,8,±3 pp
Nanos Research,"September 15, 2015",[403],31.0,29.1,24.5,5.7,±2.8 pp
Nanos Research,"September 14, 2015",[404],31.6,28.5,24.3,5.9,±2.8 pp
Ipsos Reid,"September 13, 2015",[405],32.0,36.0,32.0,,±3.6 pp
Nanos Research,"September 13, 2015",[406],29.4,29.6,25.6,5.2,±2.8 pp
Nanos Research,"September 12, 2015",[407],30.2,28.4,26.3,4.6,±2.8 pp
Nanos Research,"September 11, 2015",[408],29.9,27.0,28.3,4.0,±2.8 pp
Forum Research,"September 10, 2015",[87],25.0,31.0,22.0,7,±3 pp
Nanos Research,"September 10, 2015",[409],30.2,27.3,27.5,4.5,±2.8 pp
Innovative Research,"September 10, 2015",[89],23.0,24.0,20.0,6,
Nanos Research,"September 9, 2015",[410],28.2,27.7,28.5,4.5,±2.8 pp
Nanos Research,"September 8, 2015",[411],25.7,29.4,28.0,5.6,±2.8 pp
Ipsos Reid,"September 8, 2015",[412],29.0,39.0,32.0,,±3.6 pp
Nanos Research,"September 6, 2015",[413],25.3,29.8,28.2,5.2,±2.8 pp
Leger Marketing,"September 2, 2015",[414],21.0,25.0,21.0,,±2.1 pp
Forum Research,"September 1, 2015",[96],24.0,31.0,24.0,8,±3 pp
