Polling firm,Last date of polling[1],Link,LPC,CPC,NDP,BQ,GPC,PPC,Margin of error[2],Sample size[3],Polling method[4],Lead
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Margin of error[2],Sample size[3],Polling method[4],Lead
2019 election,"October 21, 2019",HTML,33.1,34.3,16.0,7.6,6.5,1.6,,18170880,,1.2
,,,,,,,,,,,,
Nanos Research,"October 20, 2019",[1],31.7,32.5,20.8,7.2,6.0,1.5,±3.6 pp,800,telephone,0.8
Mainstreet Research,"October 20, 2019",[2],31.6,32.2,18.3,7.9,6.1,2.8,±2.17 pp,2032,IVR,0.6
Research Co.,"October 20, 2019",[3],32.0,31.0,19.0,7.0,8.0,2.0,±3.1 pp,957,online,1.0
EKOS,"October 20, 2019",[4],34.2,30.0,18.3,5.0,8.1,3.5,±2.2 pp,1994,telephone/IVR,4.2
Campaign Research,"October 20, 2019",[5],31.4,31.3,17.8,6.6,9.1,2.7,±1.4 pp,1498,online (rolling),0.1
Ipsos,"October 19, 2019",[6],31.0,33.0,18.0,7.0,6.0,3.0,±2 pp,3108,online/telephone,2.0
Abacus Data,"October 19, 2019",[7],34.0,32.0,16.0,8.0,8.0,2.0,±2.1 pp,2000,online,2.0
Nanos Research,"October 19, 2019",[8],31.0,31.5,18.8,7.0,9.5,1.8,±2.4 pp,"1,600 (1/2)",telephone (rolling),0.5
Campaign Research,"October 19, 2019",[9],31.7,31.4,17.4,6.6,9.1,2.7,±1.6 pp,1554,online (rolling),0.3
Forum Research,"October 18, 2019",[10],31.7,29.9,17.5,9.0,8.3,3.0,±3 pp,1206,IVR,1.8
Leger,"October 18, 2019",[11],33.0,33.0,18.0,8.0,6.0,2.0,±2.13 pp,2117,online,0.0
Mainstreet Research,"October 18, 2019",[12],32.8,31.9,18.3,7.2,5.5,3.3,±2.11 pp,"2,134 (1/3)",IVR (rolling),0.9
Nanos Research,"October 18, 2019",[13],32.6,30.3,18.4,7.1,9.3,1.9,±2.8 pp,"1,200 (1/3)",telephone (rolling),2.3
Campaign Research,"October 18, 2019",[14],31.0,31.0,18.0,7.0,9.0,3.0,±2.2 pp,1987,online,0.0
Innovative Research,"October 17, 2019",[15],33.0,31.0,14.0,9.0,8.0,4.0,,1964,online,2.0
Innovative Research,"October 17, 2019",[16],34.0,30.0,19.0,6.0,8.0,2.0,,3094,online,4.0
EKOS,"October 17, 2019",[17],31.0,32.5,17.6,5.5,7.9,3.6,±2.3 pp,1881,telephone/IVR,1.5
Mainstreet Research,"October 17, 2019",[18],32.1,31.9,18.8,7.6,5.8,3.0,±2.11 pp,"2,163 (1/3)",IVR (rolling),0.2
Nanos Research,"October 17, 2019",[19],31.5,31.6,19.0,6.2,9.5,1.8,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.1
DART/Maru,"October 16, 2019",[20],29.0,33.0,21.0,8.0,7.0,2.0,±2.9 pp,1518,online,4.0
Forum Research,"October 16, 2019",[21],30.0,29.0,20.0,7.0,8.0,4.0,±3 pp,1028,IVR,1.0
Mainstreet Research,"October 16, 2019",[22],31.9,30.9,18.6,7.6,7.0,3.2,±2.12 pp,"2,128 (1/3)",IVR (rolling),1.0
Nanos Research,"October 16, 2019",[23],31.5,32.5,18.9,6.0,9.2,1.6,±2.8 pp,"1,200 (1/3)",telephone (rolling),1.0
Mainstreet Research,"October 15, 2019",[24],30.9,30.6,18.3,7.9,7.7,3.6,±2.15 pp,"2,070 (1/3)",IVR (rolling),0.3
Nanos Research,"October 15, 2019",[25],31.9,32.5,18.8,5.9,9.4,1.1,±2.8 pp,"1,200 (1/3)",telephone (rolling),0.6
Angus Reid,"October 15, 2019",[26],29.0,33.0,19.0,8.0,8.0,3.0,±2.0 pp,2100,online,4.0
