Polling firm,Last date of polling,Link,Justin Trudeau,Andrew Scheer,Jagmeet Singh,Yves-François Blanchet,Elizabeth May,Maxime Bernier,Unsure,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[1],Lead
Nanos Research,"September 6, 2019",[538],33.6,22.7,7.4,1.4,8.1,2.4,24.4,±3.1 pp,10.9
Nanos Research,"August 30, 2019",[539],32.2,23.2,7.2,1.3,8.3,2.8,25.1,±3.1 pp,9.0
Nanos Research,"August 23, 2019",[540],30.9,25.1,6.7,1.4,8.7,2.6,24.6,±3.1 pp,5.8
Nanos Research,"August 16, 2019",[541],31.8,23.9,7.5,1.7,8.4,2.5,24.1,±3.1 pp,7.9
Nanos Research,"August 9, 2019",[542],31.4,25.0,7.0,1.8,8.5,1.9,24.3,±3.1 pp,6.4
Nanos Research,"August 2, 2019",[543],33.8,24.4,6.8,1.8,9.2,1.6,22.3,±3.1 pp,9.4
Forum Research,"July 28, 2019",[544],28.0,28.0,7.0,-,14.0,-,23.0,±3 pp,0.0
Nanos Research,"July 26, 2019",[545],32.5,24.1,7.7,2.5,9.1,1.6,22.4,±3.1 pp,8.4
Leger,"July 23, 2019",[145],23.0,24.0,7.0,,9.0,4,20.0,±2.5 pp,1.0
Nanos Research,"July 19, 2019",[546],32.8,24.0,8.0,2.3,8.8,1.8,22.3,±3.1 pp,8.8
Abacus Data,"July 17, 2019",[149],36.0,31.0,13.0,,14.0,6,,±2.6 pp,5.0
Ipsos,"July 15, 2019",[547],32.0,36.0,13.0,2,17.0,,,±3.5 pp,4.0
Campaign Research,"July 12, 2019",[151],24.0,20.0,7.0,1,9.0,3,21.0,±2.3 pp,4.0
Nanos Research,"July 12, 2019",[153],32.9,23.1,8.9,1.8,7.9,2.2,23.2,±3.1 pp,9.8
Nanos Research,"June 21, 2019",[163],27.9,24.0,9.7,1.6,7.7,2.1,27.0,±3.1 pp,2.9
Nanos Research,"June 14, 2019",[165],27.0,24.9,9.9,1.5,9.4,1.8,25.6,±2.3 pp,2.1
Campaign Research,"June 9, 2019",[548],24.0,24.0,7.0,1,9.0,4,17.0,±2.6 pp,0.0
Abacus Data,"June 1, 2019",[549],33.0,30.0,12.0,,19.0,6,,±2.6 pp,3.0
Nanos Research,"May 31, 2019",[550],26.5,26.7,8.9,1.7,9.6,1.6,24.9,±3.1 pp,0.2
Nanos Research,"May 17, 2019",[176],27.9,28.6,6.8,1.5,10.0,1.8,23.3,±3.1 pp,0.8
Abacus Data,"May 3, 2019",[551],34.0,33.0,14.0,,14.0,6,,±1.5 pp,1.0
Leger,"April 22, 2019",[185],20.0,25.0,7.0,,8.0,3,21.0,±2.5 pp,5.0
Leger,"March 20, 2019",[198],24.0,25.0,8.0,,7.0,4,19.0,±2.51 pp,1.0
Nanos Research,"March 15, 2019",[199],30.3,27.3,8.9,1.7,7.2,2.8,21.8,±3.1 pp,3.0
Abacus Data,"March 10, 2019",[552],39.0,31.0,10.0,,13.0,7,,±3.3 pp,8.0
Campaign Research,"March 10, 2019",[201],23.0,24.0,7.0,1,8.0,,19.0,±2.5 pp,1.0
Abacus Data,"March 6, 2019",[553],35.0,33.0,13.0,,13.0,7,,±3.3 pp (final),2.0
Nanos Research,"March 1, 2019",[211],35.2,25.0,6.2,1.8,7.3,2.1,22.5,±3.1 pp,10.2
Nanos Research,"February 15, 2019",[218],35.7,23.4,5.3,1.6,7.7,2.7,22.1,±3.1 pp,12.3
Campaign Research,"February 11, 2019",[220],28.0,25.0,4.0,6,1.0,,17.0,±2.5 pp,3.0
Nanos Research,"February 8, 2019",[221],35.5,24.9,5.9,1.4,6.4,3.8,22.1,±3.1 pp,10.6
