Polling firm,Last date of polling,Link,Justin Trudeau,Andrew Scheer,Jagmeet Singh,Mario Beaulieu,Elizabeth May,Maxime Bernier,Unsure,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[1],Lead
Nanos Research,"February 1, 2019",[554],34.1,24.9,6.8,1.2,6.7,5.2,21.2,±3.1 pp,9.2
Nanos Research,"January 25, 2019",[224],33.5,26.1,7.5,1.2,6.7,4.9,20.1,±3.1 pp,7.4
Nanos Research,"January 18, 2019",[227],34.6,24.8,7.5,1.1,6.7,4.4,20.9,±3.1 pp,9.8
Nanos Research,"January 11, 2019",[228],36.4,23.9,6.8,1.3,6.2,4.5,20.9,±3.1 pp,12.5
Nanos Research,"January 4, 2019",[230],39.3,23.5,6.5,1.2,5.4,3.9,20.1,±3.1 pp,15.8
Nanos Research,"December 28, 2018",[231],39.1,23.7,5.0,1.0,5.7,4.2,21.3,±3.1 pp,15.4
Nanos Research,"December 21, 2018",[232],38.3,24.8,5.0,0.9,5.8,4.1,21.1,±3.1 pp,13.5
Abacus Data,"December 18, 2018",[233],45.0,29.0,10.0,,10.0,5.0,,±2.5 pp,16.0
Angus Reid,"December 18, 2018",[555],27.0,33.0,6.0,,7.0,,26.0,±2.5 pp,6.0
Nanos Research,"December 14, 2018",[234],37.4,25.6,6.3,0.7,5.4,2.6,22.0,±3.1 pp,11.8
Campaign Research,"December 13, 2018",[235],32.0,22.0,5.0,1.0,7.0,,17.0,±2.5 pp,10.0
Nanos Research,"December 7, 2018",[556],35.8,25.0,5.6,0.6,6.0,2.1,25.0,±3.1 pp,10.8
Nanos Research,"November 30, 2018",[238],37.5,23.4,5.7,0.6,5.5,2.5,24.9,±3.1 pp,14.1
Forum Research,"November 29, 2018",[239],33.0,32.0,6.0,,8.0,,22.0,±3 pp,1.0
Nanos Research,"November 23, 2018",[240],38.2,21.9,5.8,0.9,5.7,2.3,25.2,±3.1 pp,16.3
Leger,"November 20, 2018",[557],33.0,22.0,5.0,,6.0,5.0,,±2.51 pp,11.0
Nanos Research,"November 16, 2018",[242],39.5,20.2,7.7,0.7,5.5,2.2,24.3,±3.1 pp,19.3
Campaign Research,"November 9, 2018",[245],32.0,22.0,6.0,,6.0,,17.0,±2.5 pp,10.0
Nanos Research,"November 9, 2018",[246],41.7,20.0,8.6,1.0,5.5,2.6,20.6,±3.1 pp,21.7
Nanos Research,"November 2, 2018",[558],41.2,20.3,8.2,1.2,6.3,2.4,20.4,±3.1 pp,20.9
Nanos Research,"October 26, 2018",[249],40.8,21.3,8.0,1.6,5.5,2.7,20.0,±3.1 pp,19.5
Nanos Research,"October 19, 2018",[250],37.9,22.9,7.5,1.6,6.2,2.5,21.4,±3.1 pp,15.0
Nanos Research,"October 12, 2018",[251],39.1,23.4,7.1,1.0,5.5,3.1,20.9,±3.1 pp,15.7
Innovative Research,"October 1, 2018",[559],47.0,29.0,9.0,2.0,8.0,,,,18.0
Pollara,"September 20, 2018",[258],39.0,27.0,8.0,,,5.0,21.0,±3.1 pp,12.0
,,,,,,,,,,,
