Polling firm,Last date of polling,Link,Justin Trudeau,Andrew Scheer,Jagmeet Singh,Martine Ouellet,Elizabeth May,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[1],Lead
Nanos Research,"July 27, 2018",[272],40.4,24.5,6.5,1.2,5.8,±3.1 pp,15.9
Nanos Research,"July 20, 2018",[275],40.5,25.2,6.3,1.3,5.9,±3.1 pp,15.3
Nanos Research,"July 6, 2018",[279],42.6,24.4,7.1,0.9,6.0,±3.1 pp,18.2
Nanos Research,"June 22, 2018",[282],41.3,24.8,8.2,1.1,4.9,±3.1 pp,16.5
Nanos Research,"June 15, 2018",[285],38.7,25.4,8.8,0.8,4.3,±3.1 pp,13.3
Angus Reid,"June 14, 2018",[286],35.0,22.0,7.0,–,6,±3.1 pp,13.0
Nanos Research,"June 1, 2018",[288],34.3,25.6,10.0,1.2,5.7,±3.1 pp,8.7
Nanos Research,"May 25, 2018",[290],36.0,25.2,9.3,1.3,6.4,±3.1 pp,10.8
Nanos Research,"May 18, 2018",[291],39.2,22.4,8.1,1.3,6.8,±3.1 pp,16.8
Nanos Research,"May 11, 2018",[294],39.6,20.9,8.1,0.9,7.7,±3.1 pp,18.7
Forum Research,"April 20, 2018",[300],24.0,25.0,8.0,3,12,±2 pp,1.0
Nanos Research,"March 23, 2018",[560],38.5,26.5,8.9,1.9,4.9,±3.1 pp,12.0
Nanos Research,"March 16, 2018",[561],37.5,25.9,9.0,2.4,5.7,±3.1 pp,11.6
Angus Reid,"March 15, 2018",[309],26.0,22.0,7.0,–,–,±2 pp,4.0
Nanos Research,"March 9, 2018",[310],39.2,23.2,9.4,2.6,5.9,±3.1 pp,16.0
Nanos Research,"March 2, 2018",[313],40.4,22.8,8.6,1.8,6.6,±3.1 pp,17.6
Nanos Research,"February 23, 2018",[316],40.4,22.1,9.5,1.9,5.6,±3.1 pp,18.3
Nanos Research,"February 16, 2018",[317],41.0,21.9,9.3,1.5,5.4,±3.1 pp,20.1
Campaign Research,"February 10, 2018",[318],35.0,15.0,7.0,2,5,±2.1 pp,20.0
Nanos Research,"January 26, 2018",[322],40.8,22.1,8.3,2.3,5.8,±3.1 pp,18.7
Nanos Research,"January 12, 2018",[562],42.7,22.3,8.1,1.8,5.2,±3.1 pp,20.4
Nanos Research,"January 5, 2018",[563],45.6,20.3,9.0,1.4,4.1,±3.1 pp,25.3
Nanos Research,"December 29, 2017",[564],46.9,21.5,9.1,1.0,3.9,±3.1 pp,25.4
Nanos Research,"December 22, 2017",[565],48.3,22.0,7.9,0.8,4.5,±3.1 pp,26.3
Nanos Research,"December 15, 2017",[566],46.8,21.9,8.2,1.0,5.9,±3.1 pp,24.9
Forum Research,"December 14, 2017",[332],30.0,21.0,9.0,5,10,±3.1 pp,9.0
Nanos Research,"December 8, 2017",[567],45.4,23.5,8.0,1.3,6.4,±3.1 pp,21.9
Nanos Research,"December 1, 2017",[568],45.6,22.8,6.6,2.0,6.1,±3.1 pp,22.8
Nanos Research,"November 24, 2017",[569],44.1,22.8,7.2,1.6,5.3,±3.1 pp,21.3
Nanos Research,"November 17, 2017",[338],44.8,22.4,7.7,1.6,4.8,±3.1 pp,22.4
Nanos Research,"November 10, 2017",[340],45.0,21.1,8.8,1.4,5.2,±3.1 pp,23.9
Campaign Research,"November 9, 2017",[570],35.0,15.0,7.0,5,5,±2.2 pp,20.0
Nanos Research,"November 3, 2017",[571],43.8,21.0,8.5,1.9,5.4,±3.1 pp,22.8
Nanos Research,"October 27, 2017",[344],44.3,20.8,9.2,2.3,5.5,±3.1 pp,23.5
Campaign Research,"October 11, 2017",[572],36.0,14.0,6.0,1,5,±2.2 pp,22.0
,,,,,,,,,
