Polling firm,Last date of polling[1],Link,LPC,CPC,NDP,BQ,GPC,PPC[5],Margin of error[2],Sample size[3],Polling method[4],Lead
Polling firm,Last date of polling[1],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Margin of error[2],Sample size[3],Polling method[4],Lead
,"September 11, 2019",2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called,2019 Canadian Federal Election was called
Abacus Data,"September 10, 2019",[119],33,35,15,4,10,3,±2.2 pp,2000,online,2
Leger,"September 9, 2019",[120],34,35,11,5,11,3,±2.49 pp,1546,online,1
Mainstreet Research,"September 8, 2019",[121],37.5,34.0,8.4,3.6,10.8,4.6,±2.26 pp,1876,IVR,3.5
Nanos Research,"September 6, 2019",[122],34.6,30.7,16.5,4.0,11.0,2.0,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.9
Campaign Research,"September 5, 2019",[123],34,34,12,4,12,2,±2.14 pp,2094,online,0
Innovative Research,"September 5, 2019",[124],33,34,13,5,11,5,,3236,online,1
Nanos Research,"August 30, 2019",[125],35.4,31.3,15.7,4.4,10.3,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.1
EKOS,"August 29, 2019",[126],37.2,32.9,7.2,5.5,10.4,4.3,±3.3 pp,902,IVR,4.3
Leger,"August 29, 2019",[127],34,33,12,5,12,3,±2.14 pp,2102,online,1
Abacus Data,"August 29, 2019",[128],33,34,17,4,9,3,±1.5 pp,4549,online,1
Angus Reid,"August 26, 2019",[129],32,36,14,4,9,4,±2.5 pp,1534,online,4
Nanos Research,"August 23, 2019",[130],33.66,33.65,14.87,4.17,9.41,2.09,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.01
EKOS,"August 22, 2019",[131],33.1,34.1,10.4,5.1,11.2,3.7,±2.9 pp,1182,IVR,1.0
Leger,"August 19, 2019",[132],33,33,11,4,13,4,±2.5 pp,1535,online,0
Ipsos,"August 19, 2019",[133],33,35,18,3,9,1,±3.5 pp,1001,online,2
Abacus Data,"August 19, 2019",[134],32,32,17,4,10,3,±2.2 pp,2152,online,0
DART/Maru,"August 17, 2019",[135],32,39,15,5,7,1,±2.9 pp,1512,online,7
Nanos Research,"August 16, 2019",[136],34.61,31.41,14.58,4.16,10.00,1.68,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.20
Campaign Research,"August 13, 2019",[137],32,33,13,4,12,3,±2 pp,2365,online,1
Nanos Research,"August 9, 2019",[138],35.00,32.46,14.75,3.69,9.80,1.33,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.54
Abacus Data,"August 6, 2019",[139],32,33,17,4,10,3,±2.7 pp,1422,online,1
Nanos Research,"August 2, 2019",[140],36.7,30.8,16.1,3.7,9.3,1.4,±3.1 pp,"1,000 (1/2)",telephone (rolling),5.9
Mainstreet Research,"July 31, 2019",[141],34.5,34.1,11.1,4.4,11.1,3.3,±1.97 pp,2463,IVR,0.4
Innovative Research,"July 31, 2019",[142],36,32,14,4,10,4,,1804,online,4
Forum Research,"July 28, 2019",[143],31,34,12,5,12,5,±3 pp,1733,IVR,3
EKOS,"July 25, 2019",[144],30.6,36.0,9.9,4.6,12.9,3.8,±2.9 pp,1115,IVR,5.4
Leger,"July 23, 2019",[145],33,36,11,4,12,3,±2.5 pp,1536,online,3
EKOS,"July 18, 2019",[146],33.6,31.3,12.5,3.1,12.5,4.8,±2.9 pp,1186,IVR,2.3
Nanos Research,"July 19, 2019",[147],35.6,30.0,18.6,4.0,9.0,1.4,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.6
Research Co.,"July 17, 2019",[148],34,31,17,4,10,3,±3.1 pp,1000,online,3
Abacus Data,"July 17, 2019",[149],32,32,16,4,11,3,±2.6 pp,1500,online,0
Ipsos,"July 15, 2019",[150],31,37,18,5,7,1,±3.5 pp,1000,online,6
Campaign Research,"July 12, 2019",[151],33,32,14,4,14,3,±2.3 pp,1896,online,1
Angus Reid,"July 12, 2019",[152],30,38,14,4,10,2,±2.0 pp,2361,online,8
Nanos Research,"July 12, 2019",[153],35.9,29.7,18.5,4.8,8.3,1.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.2
EKOS,"July 8, 2019",[154],30.7,32.3,10.8,5.0,14.9,4.2,±3.2 pp,948,IVR,1.6
Innovative Research,"July 8, 2019",[155],35,32,12,4,11,5,,2515,online,3
Nanos Research,"July 5, 2019",[156],34.6,30.4,17.9,4.9,8.8,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.2
Abacus Data,"July 2, 2019",[157],32,33,16,4,11,3,±1.8 pp,3092,online,1
Mainstreet Research,"July 2, 2019",[158],35.0,33.2,10.4,4.5,10.3,4.6,±1.9 pp,2651,IVR,1.8
EKOS,"June 29, 2019",[159],31.6,34.1,9.7,3.8,12.6,5.7,,1194,IVR,2.5
Nanos Research,"June 28, 2019",[160],34.5,31.7,16.5,4.6,9.8,0.9,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
DART/Maru,"June 26, 2019",[161],33,37,17,5,7,1,±2.9 pp,1512,online,4
Forum Research,"June 23, 2019",[162],29,35,13,5,12,4,±3 pp,1539,IVR,6
Nanos Research,"June 21, 2019",[163],32.5,32.8,16.9,4.9,10.2,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.3
EKOS,"June 17, 2019",[164],30.1,34.2,12.0,4.3,13.2,3.6,±2.0 pp,2491,IVR,4.1
Nanos Research,"June 14, 2019",[165],30.3,34.0,16.8,4.6,11.4,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.7
Leger,"June 10, 2019",[166],29,38,13,4,11,3,±2.5 pp,1528,online,9
Ipsos,"June 7, 2019",[167],31,37,18,5,6,,±3.5 pp,1003,online,6
Nanos Research,"June 7, 2019",[168],30.9,34.2,16.9,4.0,11.3,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
Campaign Research,"June 6, 2019",[169],32,35,14,4,12,2,±1.9 pp,2735,online,3
Angus Reid,"June 4, 2019",[170],26,37,15,5,12,4,±2 pp,4698,online,11
Forum Research,"June 2, 2019",[171],30,34,13,6,13,4,±3 pp,1633,IVR,4
Nanos Research,"May 31, 2019",[172],29.5,34.3,16.4,4.4,11.5,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.8
Innovative Research,"May 30, 2019",[173],33,33,12,5,13,,,1691,online,0
Abacus Data,"May 30, 2019",[174],33,32,16,3,12,3,±2.6 pp,1500,online,1
Nanos Research,"May 24, 2019",[175],29.2,34.8,15.6,4.7,11.5,1.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.6
Nanos Research,"May 17, 2019",[176],30.6,35.9,14.2,4.0,11.1,1.1,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.3
Nanos Research,"May 10, 2019",[177],29.7,35.4,15.0,4.4,11.3,0.9,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.7
Nanos Research,"May 3, 2019",[178],31.8,34.5,15.9,4.6,9.7,0.9,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.7
Campaign Research,"May 1, 2019",[179],31,35,17,3,10,2,±2.6 pp,1471,online,4
Angus Reid,"April 30, 2019",[180],25,38,18,5,11,3,±2.5 pp,1525,online,13
Abacus Data,"April 30, 2019",[181],31,34,17,4,9,3,±1.5 pp,4015,online,3
Nanos Research,"April 26, 2019",[182],32.0,34.9,16.5,4.1,9.0,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.9
Ipsos,"April 25, 2019",[183],32,36,19,5,,,±3.5 pp,1000,online,4
Forum Research,"April 24, 2019",[184],30,37,14,6,9,2,±3 pp,1595,IVR,7
Leger,"April 22, 2019",[185],27,40,12,5,11,3,±2.5 pp,1522,online,13
Nanos Research,"April 18, 2019",[186],33.0,35.5,15.2,4.7,8.4,0.8,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.5
Nanos Research,"April 12, 2019",[187],34.1,35.0,14.9,4.5,8.8,0.7,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.9
Innovative Research,"April 10, 2019",[188],36,32,13,4,10,,,2527,online,4
Forum Research,"April 6, 2019",[189],29,42,12,6,9,2,±3 pp,1634,IVR,13
Campaign Research,"April 6, 2019",[190],32,34,15,5,10,3,±2.2 pp,2035,online,2
Nanos Research,"April 5, 2019",[191],32.8,34.9,16.6,4.0,9.5,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Nanos Research,"March 29, 2019",[192],34.6,35.1,16.6,4.4,8.1,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.5
Ipsos,"March 27, 2019",[193],30,40,21,5,,,±3.5 pp,1002,online,10
Mainstreet Research,"March 25, 2019",[194],35.0,37.4,11.6,3.1,7.9,3.8,±1.06 pp,8501,IVR,2.4
Angus Reid,"March 25, 2019",[195],28,37,17,5,8,4,±2 pp,5807,online,9
Nanos Research,"March 22, 2019",[196],32.5,34.6,19.4,3.9,8.3,0.6,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Forum Research,"March 20, 2019",[197],35,41,14,1,6,2,±3 pp,1490,IVR,6
Leger,"March 20, 2019",[198],31,37,14,4,10,3,±2.51 pp,1513,online,6
Nanos Research,"March 15, 2019",[199],32.6,35.5,19.9,3.2,7.7,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.9
Abacus Data,"March 10, 2019",[200],32,34,16,4,11,,±3.3 pp,900 (1/3),online (rolling),2
Campaign Research,"March 10, 2019",[201],30,36,16,4,10,2,±2.5 pp,1893,online,6
Abacus Data,"March 9, 2019",[202],31,35,16,4,11,,±3.3 pp,900 (1/3),online (rolling),4
Abacus Data,"March 8, 2019",[203],31,36,15,5,10,,±3.3 pp,900 (1/3),online (rolling),5
Nanos Research,"March 8, 2019",[204],32.9,36.1,17.9,3.6,8.3,0.5,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.2
Abacus Data,"March 7, 2019",[205],33,34,16,4,10,,±3.3 pp,900 (1/3),online (rolling),1
