Polling firm,Last date of polling,Link,Justin Trudeau,Andrew Scheer,Thomas Mulcair,Martine Ouellet,Elizabeth May,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[1],Lead
Nanos Research,"September 29, 2017",[357],43.9,20.3,9.7,1.3,4.0,±3.1 pp,23.6
Nanos Research,"September 22, 2017",[359],45.3,21.2,9.4,1.5,4.3,±3.1 pp,24.1
Nanos Research,"September 15, 2017",[360],46.3,19.7,10.1,1.5,4.1,±3.1 pp,26.6
Forum Research,"September 14, 2017",[361],34.0,20.0,12.0,4.0,5.0,±3 pp,14.0
Campaign Research,"September 11, 2017",[362],42.0,13.0,8.0,2.0,6.0,±2.3 pp,29.0
Nanos Research,"September 8, 2017",[363],47.8,19.7,9.7,1.3,3.7,±3.1 pp,28.1
Nanos Research,"September 1, 2017",[365],46.2,21.7,9.8,1.6,4.0,±3.1 pp,24.5
Nanos Research,"August 25, 2017",[367],48.0,20.4,9.0,1.3,4.3,±3.1 pp,27.6
Nanos Research,"August 18, 2017",[368],47.5,21.6,8.4,1.1,4.4,±3.1 pp,25.9
Forum Research,"August 17, 2017",[573],39.0,18.0,10.0,2.0,8.0,±3 pp,21.0
Nanos Research,"August 11, 2017",[370],47.1,21.3,9.2,1.4,4.9,±3.1 pp,25.8
Nanos Research,"August 4, 2017",[371],46.1,21.8,9.8,1.7,5.1,±3.1 pp,24.3
Nanos Research,"July 28, 2017",[372],44.0,21.5,9.7,1.6,6.0,±3.1 pp,22.5
Nanos Research,"July 21, 2017",[373],45.4,20.8,10.1,1.4,5.5,±3.1 pp,24.6
Nanos Research,"July 14, 2017",[375],43.9,21.9,9.8,1.4,5.5,±3.1 pp,22.0
Campaign Research,"July 10, 2017",[376],38.0,17.0,8.0,1.0,4.0,±2 pp,21.0
Nanos Research,"July 7, 2017",[377],45.6,21.4,8.1,0.7,5.4,±3.1 pp,24.2
Nanos Research,"June 30, 2017",[378],46.9,21.5,7.9,1.1,4.0,±3.1 pp,25.4
Nanos Research,"June 23, 2017",[379],46.3,21.2,8.4,1.0,4.5,±3.1 pp,25.1
Angus Reid,"June 12, 2017",[574],37.0,19.0,10.0,,,±2 pp,18.0
Forum Research,"June 8, 2017",[385],39.0,20.0,9.0,3.0,8.0,±3 pp,19.0
,,,,,,,,,
