Polling firm,Last date of polling,Link,Justin Trudeau,Rona Ambrose,Thomas Mulcair,Martine Ouellet,Elizabeth May,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[1],Lead
Nanos Research,"May 26, 2017",[389],45.7,18.4,9.1,0.2,4.9,±3.1 pp,27.3
Nanos Research,"May 19, 2017",[390],46.3,18.4,9.2,1.9,5.2,±3.1 pp,27.9
Nanos Research,"May 12, 2017",[395],47.8,19.4,10.3,2.0,5.4,±3.1 pp,28.4
Nanos Research,"May 5, 2017",[396],46.9,18.7,10.7,2.0,5.4,±3.1 pp,28.2
Nanos Research,"April 28, 2017",[397],48.2,18.4,9.4,1.6,5.4,±3.1 pp,29.8
Forum Research,"April 24, 2017",[398],32.0,12.0,10.0,2.0,8.0,±3 pp,20.0
Nanos Research,"April 21, 2017",[399],47.8,18.6,9.2,0.2,5.1,±3.1 pp,29.2
Nanos Research,"April 13, 2017",[575],46.5,19.4,8.7,1.7,5.3,±3.1 pp,27.1
,,,,,,,,,
