Polling firm,Last date of polling,Link,Justin Trudeau,Rona Ambrose,Thomas Mulcair,Rhéal Fortin,Elizabeth May,Margin of error[1],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Margin of error[1],Lead
Nanos Research,"March 17, 2017",[408],49.7,17.3,10.6,0.8,4.3,±3.1 pp,32.4
Nanos Research,"March 10, 2017",[409],48.7,17.0,10.8,0.8,4.9,±3.1 pp,31.7
Nanos Research,"March 3, 2017",[411],47.0,17.4,10.2,0.9,5.2,±3.1 pp,29.6
Nanos Research,"February 24, 2017",[413],46.3,18.3,9.9,0.9,4.9,±3.1 pp,28.0
Nanos Research,"February 17, 2017",[415],46.1,17.3,10.9,1.2,4.9,±3.1 pp,28.8
Nanos Research,"February 10, 2017",[416],46.4,19.1,9.6,1.0,4.9,±3.1 pp,27.3
Campaign Research,"February 6, 2017",[576],31.0,14.0,11.0,,,±3 pp,17.0
Nanos Research,"February 3, 2017",[418],45.4,20.0,10.2,1.2,5.5,±3.1 pp,25.4
Nanos Research,"January 27, 2017",[419],46.7,19.9,10.7,1.1,4.7,±3.1 pp,26.8
Forum Research,"January 21, 2017",[421],38.0,11.0,9.0,2.0,6.0,±3 pp,27.0
Nanos Research,"January 20, 2017",[422],46.6,20.3,10.2,0.9,5.1,±3.1 pp,26.3
Nanos Research,"January 13, 2017",[423],46.7,18.8,11.1,0.8,5.1,±3.1 pp,27.9
Nanos Research,"January 6, 2017",[577],49.3,18.1,10.0,0.5,4.0,±3.1 pp,31.2
Nanos Research,"December 30, 2016",[578],49.0,17.7,9.6,0.8,4.7,±3.1 pp,31.3
Nanos Research,"December 23, 2016",[579],50.6,17.1,8.8,0.9,4.6,±3.1 pp,33.5
Nanos Research,"December 9, 2016",[580],54.1,15.8,7.4,1.0,5.4,±3.1 pp,38.3
Nanos Research,"December 2, 2016",[581],54.0,15.5,8.5,1.1,5.3,±3.1 pp,38.5
Forum Research,"December 7, 2016",[430],40.0,14.0,12.0,2.0,6.0,±3 pp,26.0
Nanos Research,"November 25, 2016",[582],54.2,15.7,8.7,0.7,5.5,±3.1 pp,38.5
Nanos Research,"November 18, 2016",[583],52.2,17.1,8.3,0.5,5.3,±3.1 pp,35.1
Nanos Research,"November 11, 2016",[584],50.3,16.7,8.7,0.7,5.5,±3.1 pp,33.6
Nanos Research,"November 4, 2016",[585],49.5,16.2,8.3,0.5,5.6,±3.1 pp,33.3
Nanos Research,"October 28, 2016",[586],49.6,16.0,8.2,0.5,5.7,±3.1 pp,33.6
Nanos Research,"October 21, 2016",[587],50.4,14.6,8.4,0.6,6.1,±3.1 pp,35.8
Nanos Research,"October 14, 2016",[588],52.2,14.7,8.6,0.7,5.4,±3.1 pp,37.6
Nanos Research,"October 7, 2016",[589],55.9,14.5,7.7,0.6,4.5,±3.1 pp,41.4
Nanos Research,"September 30, 2016",[590],56.0,14.1,7.4,0.6,4.4,±3.1 pp,41.9
Nanos Research,"September 23, 2016",[591],55.9,15.0,7.9,1.1,3.8,±3.1 pp,40.9
Forum Research,"September 21, 2016",[448],44.0,13.0,8.0,2.0,7.0,±3 pp,31.0
Nanos Research,"September 16, 2016",[592],53.9,15.6,8.3,1.3,3.7,±3.1 pp,38.3
