Polling firm,Last date of polling,Link,LPC,CPC,NDP,BQ,GPC,PPC[1],Other,Margin of error[2],Sample size[3],Polling method[4],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Margin of error[2],Sample size[3],Polling method[4],Lead
Campaign Research,"September 19, 2019",[514],35.0,39.0,12.0,-,10.0,2,1,±2.17 pp,2035,Online/Telephone,4.0
Angus Reid,"September 18, 2019",[515],36.0,35.0,15.0,-,9.0,5,-,-,722,online,1.0
EKOS,"September 5, 2019",[516],40.8,29.9,10.9,-,11.9,4.8,1.8,±2.0 pp,2393,IVR,10.9
EKOS,"August 28, 2019",[517],46.7,29.2,7.6,-,9.4,5.7,1.3,±4.97 pp,389,IVR,17.5
EKOS,"August 27, 2019",[518],44.0,30.0,10.0,-,10.0,4,2,±1.9 pp,2601,IVR,14.0
EKOS,"August 19, 2019",[519],42.9,29.9,8.6,-,13.7,2.5,2.5,±5.39 pp,301,IVR,13.0
Corbett Communications,"August 13, 2019",[520],39.0,31.0,14.0,-,12.0,4,1,±3 pp,1099,Online,8.0
EKOS,"August 9, 2019",[521],40.3,28.9,11.9,-,12.2,5.2,1.5,±4.90 pp,400,IVR,11.4
EKOS,"July 26, 2019",[522],33.8,35.8,9.5,-,13.2,4.5,3.2,±4.89 pp,402,IVR,2.0
Corbett Communications,"July 10, 2019",[523],38.0,33.0,14.0,-,13.0,1,0,±3 pp,481,Online,5.0
Innovative Research,"April 16, 2019",[524],40.0,33.0,14.0,-,9.0,-,4,,945,Online,7.0
Innovative Research,"April 10, 2019",[525],41.0,34.0,13.0,-,9.0,-,4,,773,Online,7.0
Innovative Research,"April 1, 2019",[526],39.0,33.0,18.0,-,7.0,-,3,±4 pp,605,Telephone,6.0
