Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,Margin of error[b],Sample size[c],Polling method[d],Lead
Polling firm,Last date of polling[a],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Margin of error[b],Sample size[c],Polling method[d],Lead
2021 election,"September 20, 2021",HTML,33.7,32.6,17.8,7.6,2.3,4.9,1.1,—N/a,17042591,—N/a,1.1
,,,,,,,,,,,,,
Nanos Research,"September 19, 2021",[2],31.2,32.4,17.5,7.5,4.5,6.6,0.3,±3.6 pp,832,telephone,1.2
Forum Research,"September 19, 2021",[3],33.0,29.4,16.2,6.9,2.9,10.3,1.3,±3 pp,1181,IVR,3.6
Research Co.,"September 19, 2021",[4],32,32,19,7,4,6,1,±3.1 pp,1800,online,0
Mainstreet Research,"September 19, 2021",[5],30.4,33.4,18.1,6.0,2.1,9.3,0.7,±2.1 pp,"2,211 (1/4)",IVR (rolling),3.0
Abacus Data,"September 19, 2021",[6],32,31,19,7,4,6,2,±2.0 pp,2431,online,1
EKOS,"September 19, 2021",[7],27.3,32.6,18.0,7.3,3.9,9.9,1,±2.4 pp,"1,662 (1/4)",IVR (rolling),5.3
Counsel,"September 18, 2021",[8],30,31,19,7,4,7,2,±1.7 pp,3298,online,1
EKOS,"September 18, 2021",[9],26.9,32.1,18.5,7.2,4.4,10.0,0.9,±2.7 pp,"1,327 (1/3)",IVR (rolling),5.2
Nanos Research,"September 18, 2021",[10],30.5,30.8,21.0,6.5,4.7,5.6,1.0,±2.5 pp,"1,679 (1/2)",telephone (rolling),0.3
Mainstreet Research,"September 18, 2021",[11],30.5,31.9,19.0,6.4,2.5,8.9,0.8,±1.9 pp,"2,494 (1/2)",IVR (rolling),1.4
Abacus Data,"September 18, 2021",[12],31,32,21,6,3,6,1,±2.8 pp,"1,271 (1/3)",online (rolling),1
Ipsos,"September 18, 2021",[13],32,31,21,7,3,4,1,±2.3 pp,2359,online/telephone,1
Angus Reid,"September 18, 2021",[14],32,30,20,7,3,5,1,±2.2 pp,2042,online,2
EKOS,"September 17, 2021",[15],27.7,30.6,20.0,7.3,4.5,9.1,1,±2.6 pp,"1,422 (1/3)",IVR (rolling),2.9
Nanos Research,"September 17, 2021",[16],29.2,31.3,20.9,6.4,3.9,7.3,1.0,±2.8 pp,"1,241 (1/3)",telephone (rolling),2.1
Mainstreet Research,"September 17, 2021",[17],30.8,31.0,19.9,6.6,2.5,8.4,0.9,±2.2 pp,"1,871 (1/3)",IVR (rolling),0.2
Abacus Data,"September 17, 2021",[18],32,33,21,6,2,5,1,±2.7 pp,"1,333 (1/3)",online (rolling),1
Leger,"September 17, 2021",[19],33,32,19,7,2,6,1,±2.5 pp,2147,online,1
