Polling firm,Last date of polling,Link,Justin Trudeau,Erin O'Toole,Jagmeet Singh,Yves-François Blanchet,Annamie Paul,Maxime Bernier,Unsure,Margin of error[b],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[b],Lead
Research Co.,"September 13, 2021",[33],34.0,26.0,18.0,–,5.0,2,–,±3.1 pp,7.0
Leger,"September 13, 2021",[37],25.0,20.0,22.0,–,2.0,4,15,±2.4 pp,3.0
Nanos Research,"September 11, 2021",[48],34.0,26.2,17.7,3.2,2.0,4.7,12.2,±2.8 pp,7.8
Nanos Research,"September 8, 2021",[58],28.1,27.5,21.2,3.2,1.7,6.2,12.1,±2.8 pp,0.6
Nanos Research,"September 7, 2021",[62],29.9,26.3,21.1,2.9,1.9,4.8,13.0,±2.8 pp,3.6
Nanos Research,"September 2, 2021",[81],27.3,31.1,19.6,2.6,2.2,4.4,12.8,±3.1 pp,3.8
Leger,"August 30, 2021",[95],23.0,21.0,23.0,–,1.0,3,15,±2.4 pp,0.0
Innovative Research,"August 30, 2021",[96],34.0,28.0,26.0,4,3.0,5,,—N/a,6.0
Nanos Research,"August 28, 2021",[103],29.7,27.6,19.5,2.3,2.2,4.1,14.5,±3.1 pp,2.1
Nanos Research,"August 21, 2021",[129],32.6,26.3,17.9,3.2,2.0,3.6,14.4,±3.1 pp,6.3
Leger,"August 16, 2021",[148],27.0,15.0,18.0,–,1.0,3,17,±2.4 pp,9.0
Nanos Research,"August 13, 2021",[362],35.6,17.9,16.9,4.3,2.6,2.9,20.1,±3.1 pp,17.7
Leger,"August 12, 2021",[151],25.0,15.0,18.0,–,2.0,4,19,±2.4 pp,7.0
Leger,"August 1, 2021",[160],27.0,11.0,19.0,–,1.0,3,19,±2.52 pp,8.0
Nanos Research,"July 23, 2021",[363],38.9,15.7,17.6,3.5,1.0,3.5,19.9,±3.1 pp,21.3
Nanos Research,"July 9, 2021",[364],37.4,14.3,17.6,2.7,1.4,3.0,23.6,±3.1 pp,19.8
Leger,"July 4, 2021",[170],22.0,16.0,17.0,–,1.0,4,20,±2.52 pp,5.0
Nanos Research,"July 2, 2021",[365],35.1,15.7,16.7,3.4,1.7,2.8,24.6,±3.1 pp,18.4
Nanos Research,"June 25, 2021",[366],33.3,17.4,15.7,3.7,2.4,3.5,24.1,±3.1 pp,15.9
Ipsos,"June 22, 2021",[367],42.0,23.0,23.0,6,5.0,—N/a,—N/a,±2.9 pp,19.0
Nanos Research,"June 11, 2021",[368],35.1,19.9,13.8,4.2,4.2,4.7,18.1,±3.1 pp,15.2
Nanos Research,"May 14, 2021",[369],36.3,20.8,12.6,5.2,5.3,5.2,14.6,±3.1 pp,15.5
Innovative Research,"May 5, 2021",[370],44.0,20.0,23.0,2,4.0,6,,—N/a,21.0
Ipsos,"April 9, 2021",[206],42.0,25.0,17.0,8,7.0,—N/a,,±3.5 pp,17.0
Nanos Research,"April 2, 2021",[371],40.1,18.9,13.2,2.3,4.1,2.9,18.5,±3.1 pp,21.2
,,,,,,,,,,,
Nanos Research,"March 26, 2021",[372],38.9,19.3,13.7,2.2,4.7,3.2,18.0,±3.1 pp,19.6
Research Co.,"March 15, 2021",[373],40.0,15.0,12.0,3,2.0,2,25,±3.1 pp,25.0
Nanos Research,"March 12, 2021",[374],36.7,22.0,14.4,3.7,5.6,3.4,14.2,±3.1 pp,14.7
Nanos Research,"February 26, 2021",[375],34.0,24.5,15.2,4.2,4.6,4.1,14.2,±3.1 pp,9.5
Nanos Research,"February 5, 2021",[376],38.1,24.7,13.5,5.4,4.6,4.1,9.6,±3.1 pp,13.4
Nanos Research,"January 15, 2021",[377],38.5,23.9,13.3,4.6,4.2,3.2,12.3,±3.1 pp,14.6
Nanos Research,"January 1, 2021",[378],39.3,20.3,13.1,3.2,3.9,2.4,17.7,±3.1 pp,19.0
Nanos Research,"December 18, 2020",[379],38.2,21.1,13.2,3.6,2.2,2.2,19.6,±3.1 pp,17.1
Research Co.,"December 14, 2020",[241],39.0,22.0,13.0,3,2.0,2,,±3.1 pp,17.0
Nanos Research,"December 11, 2020",[380],37.5,19.7,13.5,3.9,3.2,2.3,19.9,±3.1 pp,17.8
Nanos Research,"November 20, 2020",[381],38.5,20.3,14.5,3.4,1.8,2.0,19.5,±3.1 pp,18.2
Nanos Research,"October 30, 2020",[382],39.0,20.1,12.7,2.8,2.5,1.9,21.0,±3.1 pp,18.9
Nanos Research,"October 23, 2020",[383],37.7,21.6,12.6,2.9,2.7,2.1,20.5,±3.1 pp,16.1
Nanos Research,"October 16, 2020",[384],38.5,23.0,11.1,1.9,2.9,2.5,20.1,±3.1 pp,15.0
Nanos Research,"October 9, 2020",[385],37.1,22.5,11.6,2.8,4.0,2.1,19.7,±3.1 pp,14.6
Nanos Research,"September 25, 2020",[386],35.6,22.8,13.2,3.1,3.3,2.1,19.9,±3.1 pp,12.8
Nanos Research,"September 4, 2020",[387],34.4,20.2,15.2,4.2,4.0,1.5,20.5,±3.1 pp,14.2
