Polling firm,Last date of polling,Link,Justin Trudeau,Andrew Scheer,Jagmeet Singh,Yves-François Blanchet,Elizabeth May,Maxime Bernier,Unsure,Margin of error[b],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[b],Lead
Nanos Research,"August 21, 2020",[387],33.9,18.6,14.3,4.7,5.4,1.8,21.4,±3.1 pp,15.3
Innovative Research,"August 18, 2020",[284],47.0,21.0,22.0,–,6.0,5.0,,—N/a,26.0
Nanos Research,"August 7, 2020",[388],32.6,20.7,12.5,5.2,6.7,3.1,19.2,±3.1 pp,11.9
Nanos Research,"July 17, 2020",[389],35.6,19.7,14.9,6.7,6.4,4.1,12.7,±3.1 pp,15.9
Nanos Research,"June 26, 2020",[390],40.2,18.0,13.7,4.7,7.4,2.7,13.2,±3.1 pp,22.2
Nanos Research,"June 12, 2020",[391],39.1,16.9,14.4,5.2,7.3,3.7,13.3,±3.1 pp,22.2
Nanos Research,"May 29, 2020",[392],38.8,15.5,14.4,6.1,5.8,4.8,13.2,±3.1 pp,23.3
Nanos Research,"May 15, 2020",[393],37.5,17.2,14.5,7.0,6.2,4.2,13.2,±3.1 pp,20.3
Nanos Research,"May 8, 2020",[394],38.0,17.0,14.3,7.0,7.5,4.0,12.0,±3.1 pp,21.0
Nanos Research,"May 1, 2020",[395],37.1,17.8,15.5,6.7,7.6,3.9,11.5,±3.1 pp,19.3
Nanos Research,"April 24, 2020",[396],38.0,17.3,15.7,6.6,7.0,4.3,11.2,±3.1 pp,20.7
Nanos Research,"April 17, 2020",[397],37.4,16.3,15.5,6.2,6.2,3.7,14.8,±3.1 pp,21.1
Nanos Research,"April 10, 2020",[398],37.6,17.1,15.2,5.7,4.8,1.1,16.5,±3.1 pp,20.5
Nanos Research,"April 3, 2020",[398],35.4,17.8,14.1,5.4,5.4,2.1,19.8,±3.1 pp,17.6
Nanos Research,"March 27, 2020",[399],31.9,19.7,13.2,4.3,5.8,1.8,23.3,±3.1 pp,12.2
Nanos Research,"March 20, 2020",[400],30.7,21.4,12.8,3.8,6.2,2.2,22.9,±3.1 pp,9.3
Nanos Research,"March 13, 2020",[399],32.3,19.2,12.2,3.8,6.9,2.5,23.1,±3.1 pp,13.1
Nanos Research,"March 6, 2020",[401],32.6,20.6,12.3,3.8,6.1,2.1,22.6,±3.1 pp,12.0
Nanos Research,"February 28, 2020",[402],31.9,19.7,13.2,4.3,5.8,1.1,23.3,±3.1 pp,12.2
Nanos Research,"February 14, 2020",[403],34.0,21.0,12.4,3.4,5.3,1.5,22.3,±3.1 pp,13.0
Nanos Research,"February 7, 2020",[404],34.5,20.6,12.9,4.2,4.9,1.8,21.2,±3.1 pp,13.9
Nanos Research,"January 31, 2020",[405],33.3,20.1,13.2,5.1,5.1,2.2,21.0,±3.1 pp,13.2
Nanos Research,"January 24, 2020",[406],33.3,19.8,13.4,4.8,6.1,1.9,20.6,±3.1 pp,13.5
Nanos Research,"January 17, 2020",[407],32.8,19.6,13.0,4.9,6.2,2.5,21.1,±3.1 pp,13.2
Nanos Research,"January 10, 2020",[408],31.0,20.9,14.4,4.2,6.8,2.0,20.7,±3.1 pp,10.1
Nanos Research,"January 3, 2020",[409],32.2,21.1,15.1,3.3,6.4,1.7,20.1,±3.1 pp,11.1
Nanos Research,"December 27, 2019",[410],34.4,21.1,14.4,3.1,5.3,2.2,19.4,±3.1 pp,13.3
Nanos Research,"December 20, 2019",[411],36.0,21.0,15.9,2.8,6.4,1.7,16.2,±3.1 pp,15.0
Nanos Research,"December 13, 2019",[412],35.8,21.9,16.1,2.6,7.0,1.5,15.3,±3.1 pp,13.9
Nanos Research,"December 6, 2019",[413],36.6,22.0,15.4,3.1,7.0,1.4,14.6,±3.1 pp,14.6
Nanos Research,"November 29, 2019",[414],38.2,21.5,15.1,2.7,7.4,1.1,14.0,±3.1 pp,16.7
Nanos Research,"November 22, 2019",[415],35.1,22.0,15.4,3.1,7.0,2.1,15.3,±3.1 pp,13.1
Nanos Research,"November 15, 2019",[416],32.3,23.9,17.8,3.9,5.8,1.8,13.5,±3.1 pp,8.4
Nanos Research,"November 8, 2019",[417],31.1,24.9,19.0,3.4,6.2,2.0,13.5,±3.1 pp,6.2
Nanos Research,"November 1, 2019",[418],30.0,27.0,17.3,3.4,7.2,1.6,13.6,±3.1 pp,3.0
