Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,GPC,PPC,Others[e],Margin of error[b],Sample size[c],Polling method[d],Lead
Polling firm,Last date of polling[a],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others[e],Margin of error[b],Sample size[c],Polling method[d],Lead
,"August 15, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021","A snap federal election was called for September 20, 2021"
Nanos Research,"August 13, 2021",[150],28.4,33.4,20.7,6.3,7.9,1.9,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.0
Leger,"August 12, 2021",[151],30,35,19,7,5,3,1,±2.4 pp,1615,online,5
Mainstreet Research,"August 11, 2021",[152],29.2,34.6,17.9,5.7,5.3,—N/a,7.3,±3.3 pp,909,IVR,5.4
Innovative Research,"August 11, 2021",[153],25,40,17,7,6,—N/a,5,—N/a,1282,online,15
Abacus Data,"August 11, 2021",[154],28,37,20,5,5,4,2,±1.8 pp,3000,online,9
Angus Reid,"August 10, 2021",[155],31,36,19,7,3,—N/a,5,±2 pp,1615,online,5
EKOS,"August 10, 2021",[147],27.7,36.3,18.6,5.3,6.8,4.6,0.7,±2.6 pp,1482,IVR,8.6
Nanos Research,"August 6, 2021",[156],27.3,37.0,19.0,5.8,7.0,2.2,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.7
Innovative Research,"August 4, 2021",[157],25,39,19,7,6,3,1,—N/a,1953,online,14
Angus Reid,"August 3, 2021",[158],30,35,19,7,3,—N/a,6,±2.5 pp,1605,online,5
Abacus Data,"August 2, 2021",[159],25,37,20,8,6,—N/a,—N/a,±2.2 pp,2000,online,12
Leger,"August 1, 2021",[160],29,36,20,7,4,3,2,±2.15 pp,2079,online,7
Nanos Research,"July 30, 2021",[156],25.5,38.8,19.5,5.9,6.4,2.6,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.3
EKOS,"July 28, 2021",[161],28.6,39.0,17.9,—N/a,4.2,—N/a,—N/a,±3 pp,1067,IVR,10.4
Angus Reid,"July 27, 2021",[162],30,33,21,7,4,—N/a,5,±2 pp,1606,online,3
Mainstreet Research,"July 26, 2021",[163],31.7,34.4,16.2,5.1,4.7,—N/a,7.9,±2.7 pp,1299,IVR,2.7
Nanos Research,"July 23, 2021",[156],25.0,37.3,21.4,6.0,5.5,3.5,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.3
Innovative Research,"July 21, 2021",[164],27,41,17,6,5,3,1,—N/a,834,online,14
EKOS,"July 21, 2021",[165],27.7,35.2,18.5,5.6,5.2,4.5,3.2,±2.2 pp,1934,IVR,7.5
Ipsos,"July 20, 2021",[166],30,36,20,7,3,2,2,±3.5 pp,1000,online,6
,,,,,,,,,,,,,
Angus Reid,"July 16, 2021",[168],31,33,20,7,3,4,2,±2.0 pp,1625,online,2
Nanos Research,"July 16, 2021",[150],23.6,39.3,21.7,4.8,6.8,3.0,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),15.7
Nanos Research,"July 9, 2021",[169],23.9,37.8,21.3,—N/a,6.5,—N/a,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.9
Leger,"July 4, 2021",[170],30,33,19,7,5,4,2,±2.52 pp,1518,online,3
Nanos Research,"July 2, 2021",[171],23.6,38.1,20.4,5.1,7.5,4.3,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.5
Abacus Data,"June 30, 2021",[172],25,37,20,7,6,3,1,±2.6 pp,1500,online,12
Nanos Research,"June 25, 2021",[171],24.7,37.1,19.3,5.8,7.9,4.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.4
Ipsos,"June 22, 2021",[173],26,38,20,8,7,1,1,±2.9 pp,1501,online/telephone,12
Abacus Data,"June 21, 2021",[174],27,37,18,9,5,3,1,±2.2 pp,2070,online,10
Leger,"June 20, 2021",[175],30,34,20,8,5,—N/a,4,±2.49 pp,1542,online,4
Nanos Research,"June 18, 2021",[171],25.4,37.4,18.2,7.0,6.5,4.2,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.0
Abacus Data,"June 16, 2021",[176],29,34,21,8,6,1,1,±2.6 pp,1500,online,5
Research Co.,"June 14, 2021",[177],30,38,20,5,5,1,1,±3.1 pp,1000,online,8
Mainstreet Research,"June 14, 2021",[178],27.3,37.7,17.2,5.0,5.9,—N/a,6.9,±2.7 pp,1291,IVR,10.4
EKOS,"June 14, 2021",[179],26.2,35.0,17.3,6.6,8.3,3.9,2.7,±2.6 pp,1412,IVR,8.8
Nanos Research,"June 11, 2021",[171],26.4,37.5,17.5,7.4,7.0,3.6,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.1
Innovative Research,"June 8, 2021",[180],26,37,17,7,8,—N/a,5,—N/a,1043,online,11
Angus Reid,"June 7, 2021",[181],30,33,21,6,4,—N/a,5,±2.0 pp,4948,online,3
Leger,"June 6, 2021",[182],29,32,22,6,6,—N/a,5,±2.5 pp,1539,online,3
Counsel,"June 4, 2021",[183],27.6,31.9,17.9,7.7,6.9,4.2,3.7,±1.7 pp,3175,online,4.3
Nanos Research,"June 4, 2021",[171],27.3,38.0,17.1,6.6,6.1,3.9,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.7
Innovative Research,"May 31, 2021",[184],27,38,15,8,8,4,1,—N/a,2579,online,11
Abacus Data,"May 28, 2021",[185],31,34,17,7,7,2,2,±2.1 pp,2000,online,3
Nanos Research,"May 28, 2021",[171],27.3,38.2,17.0,7.7,6.1,3.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.9
EKOS,"May 27, 2021",Twitter,27.8,35.4,17.9,5.6,7.0,4.0,3.0,±1.7 pp,1948,IVR,7.6
Leger,"May 23, 2021",[186],30,34,19,7,7,—N/a,3,±2.43 pp,1624,online,4
