Polling firm,Last date of polling,Link,LPC,CPC,NDP,BQ,GPC,PPC,Others,Margin of error[c],Sample size[d],Polling method[e],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Margin of error[c],Sample size[d],Polling method[e],Lead
Leger,"April 25, 2025",[585],42.0,24.0,5.0,26.0,2.0,1.0,—N/a,,893,Online,16.0
Synopsis,"April 11, 2025",[586],42.0,21.0,7.0,27.0,1.0,2.0,—N/a,,1000,Online,15.0
Leger,"March 10, 2025",[587],36.0,24.0,8.0,25.0,4.0,2.0,1,± 3.09pp,1007,Online,11.0
Leger,"February 2, 2025",[588],29.0,24.0,12.0,29.0,3.0,3.0,1,± 3.07 pp,1017,Online,0.0
Leger,"January 19, 2025",[589],21.0,26.0,7.0,37.0,4.0,2.0,1,± 3.09 pp,1003,Online,11.0
Leger,"December 2, 2024",[590],22.0,22.0,15.0,35.0,4.0,1.0,2,± 3.1 pp,1002,Online,13.0
Leger,"November 11, 2024",[591],22.0,24.0,13.0,35.0,3.0,3.0,0,± 3.08 pp,1010,Online,11.0
Leger,"October 6, 2024",[592],27.0,22.0,11.0,35.0,3.0,1.0,0,± 3.04 pp,1041,Online,8.0
Leger,"August 25, 2024",[593],27.0,23.0,14.0,29.0,5.0,3.0,0,± 3.04 pp,1041,Online,2.0
Leger,"June 3, 2024",[594],26.0,26.0,11.0,31.0,4.0,1.0,1,± 3.08 pp,1015,Online,5.0
Leger,"April 21, 2024",[595],26.0,24.0,10.0,35.0,2.0,2.0,1,± 3.05 pp,1026,Online,9.0
Pallas Data,"April 8, 2024",[596],25.3,26.2,9.9,28.6,0.7,2.2,0.6,± 2 pp,700,IVR,2.4
Leger,"March 18, 2024",[597],27.0,23.0,14.0,30.0,3.0,2.0,1,± 3.05 pp,1033,Online,3.0
Leger,"February 6, 2024",[598],28.0,24.0,14.0,29.0,3.0,2.0,1,± 3.05 pp,1032,Online,1.0
Leger,"December 4, 2023",[599],28.0,25.0,10.0,31.0,2.0,2.0,2,± 3.04 pp,846,Online,3.0
Pallas Data,"September 27, 2023",[600],34.0,25.0,7.0,28.0,3.0,2.0,1,± 2.96 pp,1095,IVR,6.0
Leger,"September 25, 2023",[601],29.0,23.0,13.0,29.0,2.0,1.0,—N/a,± 3.0 pp,1046,Online,0.0
Leger,"February 26, 2023",[602],33.0,15.0,13.0,31.0,4.0,2.0,—N/a,± 3.0 pp,1044,Online,2.0
Leger,"November 6, 2022",[603],34.0,18.0,12.0,30.0,2.0,2.0,—N/a,± 3.1 pp,1028,Online,4.0
