Polling firm,Last date of polling,Link,LPC,CPC,NDP,GPC,PPC,Others,Margin of error[f],Sample size[g],Polling method[h],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Margin of error[f],Sample size[g],Polling method[h],Lead
Campaign Research (Ontario PC internal),"March 26, 2025",[604],48,33,11,4,-,4,,1902,online,15
Mainstreet Research,"February 17, 2025",[605],41,39,13,2,2,2,± 2.7 pp,"1,278 (1/3)",online (rolling),2
Mainstreet Research,"February 16, 2025",[606],42,38,14,2,2,1,± 2.8 pp,"1,229 (1/3)",online (rolling),4
Mainstreet Research,"February 15, 2025",[607],41,39,13,2,2,2,± 2.8 pp,"1,228 (1/3)",online (rolling),2
Mainstreet Research,"February 14, 2025",[608],43,39,10,2,3,1,± 2.7 pp,"1,272 (1/3)",online (rolling),4
Mainstreet Research,"February 13, 2025",[609],43,41,8,3,2,2,± 2.7 pp,"1,294 (1/3)",online (rolling),2
Mainstreet Research,"February 12, 2025",[610],43,40,10,2,2,2,± 2.7 pp,"1,314 (1/3)",online (rolling),3
Mainstreet Research,"February 11, 2025",[611],43,39,10,2,2,2,± 2.7 pp,"1,303 (1/3)",online (rolling),4
Mainstreet Research,"February 10, 2025",[612],45,37,12,2,1,2,± 2.7 pp,"1,301 (1/3)",online (rolling),8
Mainstreet Research,"February 9, 2025",[613],43,39,9,5,2,2,± 2.7 pp,"1,347 (1/3)",online (rolling),4
Mainstreet Research,"February 8, 2025",[614],42,36,13,4,2,2,± 2.8 pp,"1,187 (1/3)",online (rolling),6
Mainstreet Research,"February 7, 2025",[615],44,36,12,4,2,2,± 2.8 pp,"1,262 (1/3)",online (rolling),8
Mainstreet Research,"February 6, 2025",[616],42,36,14,3,2,2,± 2.5 pp,"1,515 (1/4)",online (rolling),6
Mainstreet Research,"February 5, 2025",[617],42,37,12,4,2,2,± 2.8 pp,"1,236 (1/3)",online (rolling),5
Mainstreet Research,"February 4, 2025",[618],42,37,11,4,2,2,± 2.9 pp,"1,162 (1/3)",online (rolling),5
Mainstreet Research,"February 3, 2025",[619],43,39,9,4,2,2,± 3.0 pp,"1,080 (1/3)",online (rolling),4
Mainstreet Research,"February 2, 2025",[620],42,39,11,3,2,2,± 2.6 pp,"1,374 (1/3)",online (rolling),3
Mainstreet Research,"February 1, 2025",[621],41,40,13,3,2,2,± 2.9 pp,"1,124 (1/3)",online (rolling),1
Mainstreet Research,"January 31, 2025",[622],39,39,14,3,1,2,± 2.8 pp,"1,247 (1/3)",online (rolling),0
Mainstreet Research,"January 30, 2025",[623],40,39,13,5,2,2,± 2.4 pp,"1,644 (1/3)",online (rolling),1
Mainstreet Research,"January 26, 2025",[624],40,38,12,4,2,2,± 3.2 pp,936,online,2
Abacus Data,"June 25, 2024",[625],27,44,19,5,—N/a,5,± 3.1 pp,1000,online,17
Abacus Data,"May 15, 2024",[626],29,45,17,4,—N/a,5,± 3.1 pp,1000,online,16
